"Data Import Template"
"Table:","Tree Species"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Tree Species","","","","","","","","","","","","","","","","","","","","~","Tree Species Local Name","local_names"
"Column Labels:","ID","Tree Family","Wikipedia Link","Occurance","Leaf Image","Tree Image","Leaf Shape","Leaf Attachment","Leaf Type","Leaf Veination","Leaf Margin","Canopy Shape","Bark","Flow Size (cm)","Flower","Fruit","Fruit Size (cm)","Fruiting Months","Publish","Page Name","","ID","Local Name"
"Column Name:","name","tree_family","wikipedia_link","occurance","leaf_image","tree_image","leaf_shape","leaf_attachment","leaf_type","leaf_veination","leaf_margin","canopy_shape","bark","flow_size","flower","fruit","fruit_size","fruiting_months","publish","page_name","~","name","local_name"
"Mandatory:","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","","Yes","No"
"Type:","Data (text)","Link","Data","Select","Select","Select","Select","Select","Select","Select","Select","Select","Data","Data","Data","Data","Data","Data","Check","Data","","Data","Data"
"Info:","","Valid Tree Family","","One of: Rare, Occasional, Common","One of: attach_files:","One of: attach_files:","One of: Elliptic, Lanceolate, Oblong, Ovate, Lobed, Linear","One of: Alternate, Opposite","One of: Simple, Uni-pinnate, Multi-pinnata, Digitate","One of: No, Parallel, Reticulate","One of: Acuminate, Creanate, Crenate-serrate, Crenulate, Cuneate, Dentale, Dentate, Entire, No, palmate, Peltet, Serrate, Sinuate, Spinus, Tooth margin, Undulate, Wavy","One of: Conical, Erect, Globular, Irregular, Oval, Spreading, Trailing, Vase shaped","","","","","","","0 or 1","","","Leave blank for new records",""
"Start entering data below this line"
"","""Acacia Auriculiformis""","Mimosaceae","http://en.wikipedia.org/wiki/Acacia_auriculiformis","Common","","","Lanceolate","Opposite","Simple","","","Irregular","","0","Fragrant, yellow","Coiled,Twisted","0","June,July",1,"acacia-auriculiformis","","""000000139""","Austalian Babhul"
"","""Acacia Catechu""","Mimosaceae","http://en.wikipedia.org/wiki/Acacia_catechu","Common","","","Oblong","Opposite","Multi-pinnata","","","Irregular","","0","Spikes","Pods brown","0","July,Aug",1,"acacia-catechu","","""000000140""","Khair"
"","""Acacia Chundra""","Mimosaceae","http://en.wikipedia.org/wiki/Acacia_chundra","Common","","","Oblong","Opposite","Multi-pinnata","","","Irregular","brown, thin,fissured.branches  pendulous,slender","0","Spikes","Pods brown","0","July,Aug",1,"acacia-chundra","","""000000141""","Khair"
"","""Acacia Eburnea""","Mimosaceae","http://en.wikipedia.org/wiki/Acacia_karroo","Occasional","","","Oblong","Opposite","Multi-pinnata","","","Trailing","","0","Fragrant yellow","pods brown","0","March,April",1,"acacia-eburnea","","""000000142""","Dev Babhul"
"","""Acacia Farnesiana""","Mimosaceae","http://en.wikipedia.org/wiki/Vachellia_farnesiana","Occasional","","","Oblong","Opposite","Multi-pinnata","","","Trailing","yellowish.","0","Fragrant yellow","pods brown","0","March,April",1,"acacia-farnesiana","","""000000143""","Dev Babhul"
