ID,POINT_X,POINT_Y,SCIENTIFIC,ADDRESS,PLOTTYPE,PLOTLENGTH,PLOTWIDTH,POWERLINE,OWNER,STEWARD,SPONSOR,DATEPLANTED,DIAMETER,HEIGHT,CANOPYHEIGHT,CONDITION,CANOPYCONDITION
31500025,73.916842,18.566048,polyalthia longifolia,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,3.761464968,20,,Diseased,
31500026,73.916845,18.566142,grevillea robusta,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,3.13455414,15,,Healthy,
31500027,73.916845,18.566142,grevillea robusta,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,3.13455414,15,,Healthy,
31500028,73.916845,18.566142,polyalthia longifolia,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,3.761464968,15,,Diseased,
31500029,73.916964,18.56609,polyalthia longifolia,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,3.761464968,20,,Diseased,
31500030,73.916893,18.566098,grevillea robusta,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,3.13455414,20,,Healthy,
31500031,73.916808,18.566077,polyalthia longifolia,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,7.522929936,10,,Diseased,
31500032,73.916808,18.566077,tectona grandis,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,1.253821656,10,,Healthy,
31500033,73.916808,18.566077,azadirachta indica,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,4.388375796,25,,Healthy,
31500034,73.916788,18.565941,polyalthia longifolia,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,6.26910828,20,,Healthy,
31500035,73.916801,18.565958,azadirachta indica,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,5.642197452,30,,Healthy,
31500036,73.916714,18.565927,tectona grandis,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,4.388375796,15,,Healthy,
31500037,73.91672,18.565839,alstonia macrophylla,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,3.761464968,30,,Healthy,
31500038,73.91672,18.565839,acacia auriculiformis,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,10.03057325,30,,Healthy,
31500039,73.916728,18.565958,mimusops elengi,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,3.13455414,10,,Heavily Lopped,
31500040,73.916646,18.566001,barringtonia acutangula,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,3.761464968,20,,Healthy,
31500041,73.916646,18.566001,swietenia macrophylla,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,3.13455414,15,,Healthy,
31500042,73.916632,18.565904,barringtonia acutangula,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,5.015286624,20,,Healthy,
31500043,73.916639,18.565951,swietenia macrophylla,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,3.13455414,10,,Healthy,
31500044,73.916635,18.565919,mimusops elengi,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,2.507643312,12,,Healthy,
31500045,73.916635,18.565919,azadirachta indica,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,3.13455414,13,,Healthy,
31500046,73.916607,18.565957,cassia roxburghii,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,7.522929936,30,,Healthy,
31500047,73.916561,18.565944,cassia renigera,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,6.26910828,20,,Healthy,
31500048,73.916584,18.565988,mimusops elengi,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,3.13455414,10,,Healthy,
31500049,73.916526,18.565892,barringtonia acutangula,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,5.015286624,10,,Healthy,
31500050,73.916486,18.565918,swietenia macrophylla,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,2.507643312,12,,Healthy,
31500051,73.91648,18.565938,swietenia macrophylla,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,1.880732484,10,,Healthy,
31500052,73.916497,18.565983,swietenia macrophylla,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,1.629968153,11,,Healthy,
31500053,73.916497,18.565983,delonix regia,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,30.09171975,25,,Healthy,
31500054,73.916517,18.565994,barringtonia acutangula,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,1.880732484,10,,Healthy,
31500055,73.91648,18.565961,swietenia macrophylla,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,1.504585987,10,,Healthy,
31500056,73.916385,18.565945,terminalia catappa,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,3.13455414,15,,Healthy,
31500057,73.916472,18.566011,swietenia macrophylla,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,2.382261146,10,,Healthy,
31500058,73.916437,18.565979,swietenia macrophylla,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,2.131496815,13,,Healthy,
31500059,73.916394,18.565936,barringtonia acutangula,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,3.009171975,10,,Healthy,
31500060,73.916383,18.565981,barringtonia acutangula,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,3.13455414,10,,Healthy,
31500061,73.916383,18.565981,ochna obtusata,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,4.388375796,19,,Healthy,
31500062,73.916383,18.565981,swietenia macrophylla,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,1.880732484,10,,Healthy,
31500063,73.916419,18.566009,swietenia macrophylla,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,1.253821656,10,,Healthy,
31500064,73.916434,18.565977,swietenia macrophylla,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,1.755350318,10,,Healthy,
31500065,73.916434,18.565977,barringtonia acutangula,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,1.504585987,10,,Healthy,
31500066,73.91638,18.565917,alstonia scholaris,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,2.633025478,14,,Healthy,
31500067,73.91638,18.565917,neolamarckia cadamba,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,1.880732484,10,,Healthy,
31500068,73.916398,18.566007,swietenia macrophylla,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,1.504585987,10,,Healthy,
31500069,73.916384,18.565962,thespesia populnea,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,4.388375796,16,,Healthy,
31500070,73.916391,18.566009,barringtonia acutangula,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,1.629968153,10,,Healthy,
31500071,73.916335,18.56599,barringtonia acutangula,"Viman Nagar,Pune",,,,FALSE,PMC,No,,,2.00611465,10,,Healthy,
