ID,POINT_X,POINT_Y,SCIENTIFIC,ADDRESS,PLOTTYPE,PLOTLENGTH,PLOTWIDTH,POWERLINE,OWNER,STEWARD,SPONSOR,DATEPLANTED,DIAMETER,HEIGHT,CANOPYHEIGHT,CONDITION,CANOPYCONDITION
71700780,73.819746,18.547308,melaleuca bracteata,"Sakal Nagar,Pune",,,,FLASE,PMC,No,,,15.04585987,60,,,
71700641,73.820335,18.546855,olea dioica,"Sakal Nagar,Pune",,,,FLASE,PMC,No,,,5.015286624,40,,,
71600011,73.821371,18.545766,alstonia macrophylla,"Sakal Nagar,Pune",,,,FLASE,PMC,No,,,2.507643312,20,,,
71700709,73.820114,18.54708,cocos nucifera,"Sakal Nagar,Pune",,,,FLASE,PMC,No,,,5.015286624,50,,,
71300049,73.826425,18.544351,ficus benghalensis,"Sakal Nagar,Pune",,,,FLASE,PMC,No,,,125.3821656,90,,,
71400055,73.826045,18.544888,ficus benghalensis,"Sakal Nagar,Pune",,,,FLASE,PMC,No,,,75.22929936,80,,,
71300038,73.825629,18.54309,samanea saman (Albizia saman),"Sakal Nagar,Pune",,,,FLASE,PMC,No,,,50.15286624,70,,,
71400057,73.826058,18.544918,tamarindus indica,"Sakal Nagar,Pune",,,,FLASE,PMC,No,,,50.15286624,70,,,
71700887,73.819326,18.548197,coccothrinax argentata,"Sakal Nagar,Pune",,,,FLASE,PMC,No,,,3.13455414,70,,,
71300044,73.826772,18.543815,ficus benghalensis,"Sakal Nagar,Pune",,,,FLASE,PMC,No,,,62.6910828,60,,,
71300047,73.82667,18.544167,ficus benghalensis,"Sakal Nagar,Pune",,,,FLASE,PMC,No,,,37.61464968,60,,,
71500099,73.823554,18.548297,ficus benghalensis,"Sakal Nagar,Pune",,,,FLASE,PMC,No,,,50.15286624,60,,,
71700645,73.820362,18.54687,cocos nucifera,"Sakal Nagar,Pune",,,,FLASE,PMC,No,,,15.04585987,60,,,
71700707,73.820132,18.54705,bauhinia tomentosa,"Sakal Nagar,Pune",,,,FLASE,PMC,No,,,15.04585987,60,,,
71700770,73.819431,18.54706,polyalthia longifolia,"Sakal Nagar,Pune",,,,FLASE,PMC,No,,,11.2843949,60,,,
71700654,73.820493,18.54729,azadirachta indica,"Sakal Nagar,Pune",,,,FLASE,PMC,No,,,15.04585987,60,,,
71700828,73.819262,18.547986,cocos nucifera,"Sakal Nagar,Pune",,,,FLASE,PMC,No,,,6.26910828,60,,,
71700886,73.819375,18.548181,grevillea robusta,"Sakal Nagar,Pune",,,,FLASE,PMC,No,,,5.015286624,60,,,
71700966,73.819546,18.54928,polyalthia longifolia,"Sakal Nagar,Pune",,,,FLASE,PMC,No,,,4.388375796,60,,,
71700914,73.819184,18.549299,polyalthia longifolia,"Sakal Nagar,Pune",,,,FLASE,PMC,No,,,5.015286624,60,,,
71700968,73.819512,18.549302,polyalthia longifolia,"Sakal Nagar,Pune",,,,FLASE,PMC,No,,,15.04585987,60,,,
71700975,73.81942,18.54934,calophyllum inophyllum,"Sakal Nagar,Pune",,,,FLASE,PMC,No,,,7.522929936,60,,,
71700933,73.819154,18.549829,polyalthia longifolia,"Sakal Nagar,Pune",,,,FLASE,PMC,No,,,3.13455414,60,,,
71700935,73.819189,18.549858,leucaena latisiliqua,"Sakal Nagar,Pune",,,,FLASE,PMC,No,,,37.61464968,60,,,
71500023,73.822764,18.545513,cocos nucifera,"Sakal Nagar,Pune",,,,FLASE,PMC,No,,,11.2843949,55,,,
71500029,73.8227,18.545544,jacaranda mimosifolia,"Sakal Nagar,Pune",,,,FLASE,PMC,No,,,12.53821656,55,,,
71500029,73.822632,18.545473,jacaranda mimosifolia,"Sakal Nagar,Pune",,,,FLASE,PMC,No,,,15.04585987,55,,,
71500193,73.822859,18.546588,cocos nucifera,"Sakal Nagar,Pune",,,,FLASE,PMC,No,,,37.61464968,55,,,
71500206,73.822581,18.546586,tectona grandis,"Sakal Nagar,Pune",,,,FLASE,PMC,No,,,8.776751592,55,,,
71500436,73.823547,18.544882,azadirachta indica,"Sakal Nagar,Pune",,,,FLASE,PMC,No,,,10.03057325,55,,,
