ID,POINT_X,POINT_Y,SCIENTIFIC,ADDRESS,PLOTTYPE,PLOTLENGTH,PLOTWIDTH,POWERLINE,OWNER,SPONSOR,DATEPLANTED,DIAMETER,HEIGHT,CANOPYHEIGHT,CONDITION,CANOPYCONDITION
81500166,73.814469,18.551411,gliricidia sepium,"Sindh Socitey,Pune",,,,FALSE,PMC,,,1.880732484,10,,Healthy,
81500167,73.814469,18.551411,leucaena latisiliqua,"Sindh Socitey,Pune",,,,FALSE,PMC,,,15.04585987,25,,Healthy,
81500168,73.814451,18.551517,gliricidia sepium,"Sindh Socitey,Pune",,,,FALSE,PMC,,,3.13455414,15,,Healthy,
81500169,73.814451,18.551517,leucaena latisiliqua,"Sindh Socitey,Pune",,,,FALSE,PMC,,,15.6727707,25,,Healthy,
81500170,73.814421,18.551546,gliricidia sepium,"Sindh Socitey,Pune",,,,FALSE,PMC,,,14.41894904,30,,Healthy,
81500171,73.814524,18.551494,delonix regia,"Sindh Socitey,Pune",,,,FALSE,PMC,,,12.53821656,28,,Healthy,
81500172,73.814509,18.551635,delonix regia,"Sindh Socitey,Pune",,,,FALSE,PMC,,,16.0489172,30,,Healthy,
81500174,73.814546,18.551144,delonix regia,"Sindh Socitey,Pune",,,,FALSE,PMC,,,16.92659236,27,,Healthy,
81500174,73.814507,18.551087,leucaena latisiliqua,"Sindh Socitey,Pune",,,,FALSE,PMC,,,12.28745223,28,,Healthy,
81500175,73.81467,18.551063,spathodea campanulata,"Sindh Socitey,Pune",,,,FALSE,PMC,,,14.41894904,26,,Healthy,
81500176,73.814729,18.551185,spathodea campanulata,"Sindh Socitey,Pune",,,,FALSE,PMC,,,12.53821656,28,,Healthy,
81500177,73.81471,18.551234,delonix regia,"Sindh Socitey,Pune",,,,FALSE,PMC,,,16.55044586,20,,Healthy,
81500178,73.814778,18.551209,spathodea campanulata,"Sindh Socitey,Pune",,,,FALSE,PMC,,,15.6727707,30,,Healthy,
81500179,73.814645,18.551149,spathodea campanulata,"Sindh Socitey,Pune",,,,FALSE,PMC,,,18.18041401,25,,Healthy,
81500180,73.814732,18.5512,spathodea campanulata,"Sindh Socitey,Pune",,,,FALSE,PMC,,,5.642197452,15,,Healthy,
81500181,73.814788,18.551232,delonix regia,"Sindh Socitey,Pune",,,,FALSE,PMC,,,10.65748408,17,,Healthy,
81500182,73.814767,18.551193,delonix regia,"Sindh Socitey,Pune",,,,FALSE,PMC,,,20.68805732,20,,Healthy,
81500183,73.814766,18.551276,delonix regia,"Sindh Socitey,Pune",,,,FALSE,PMC,,,15.6727707,20,,Healthy,
81500184,73.814873,18.551198,delonix regia,"Sindh Socitey,Pune",,,,FALSE,PMC,,,10.65748408,18,,Healthy,
81500185,73.814813,18.551223,delonix regia,"Sindh Socitey,Pune",,,,FALSE,PMC,,,16.92659236,15,,Healthy,
