-----
{
 "description": "Isher Ahluwalia Committee estimated the 20 years investment requirement from different sources for Urban water supply, sewage, solid waste management and storm water based on service level benchmark developed by Ministry of Urban Development.", 
 "file_name": "Required_Investment_in_Various_Sectors.xls", 
 "title": "Download XLS for Investment Requirement Estimates By High Powered Expert Committee (HPEC) - Water and Sanitation/Storm Water Drainage", 
 "url": "http://data.gov.in/sites/default/files/Required_Investment_in_Various_Sectors.xls"
}
-----
"Sector","Requirement of investment from all sources (in Rs. cr)","Percentage share in required investment in urban sector "
"Water supply",320908.0,10.4
"Sewerage",242688.0,7.8
"Solid waste management",48582.0,1.6
"Storm water drains",191031.0,6.2
