-----
{
 "description": "The table refers to District wise Construction of Dugwells over the years. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlState1.1.csv", 
 "title": "Download CSV for Districtwise Construction of Dugwells over the years", 
 "url": "http://data.gov.in/sites/default/files/dgwlState1.1.csv"
}
-----
"State","District","Upto 1993-94","During 1994-95","During 1995-96","During 1996-97","During 1997-98","During 1998-99","During 1999-00","During 2000-01","Total (1994-01)"
"ANDAMAN & NICOBARS","NICOBAR",7,0,0,0,0,0,0,1,8
"ANDHRA PRADESH","ADILABAD",16879,3188,2195,1620,1645,982,484,397,27390
"ANDHRA PRADESH","ANANTHAPUR",49153,1551,1001,619,281,167,109,56,52937
"ANDHRA PRADESH","CHITTOOR",105007,5318,2427,1405,887,784,567,228,116623
"ANDHRA PRADESH","CUDDAPAH",38639,993,663,689,333,276,105,85,41783
"ANDHRA PRADESH","EAST GODAVARI",1630,194,195,56,62,37,12,21,2207
"ANDHRA PRADESH","GUNTUR",6417,2344,396,247,690,393,306,2598,13391
"ANDHRA PRADESH","KARIMNAGAR",163483,14611,9384,5838,4551,4807,3011,2315,208000
"ANDHRA PRADESH","KHAMMAM",26145,3814,2767,2437,1603,1113,624,469,38972
"ANDHRA PRADESH","KRISHNA",13021,765,648,674,797,452,339,256,16952
"ANDHRA PRADESH","KURNOOL",24670,2752,2077,1721,1060,970,671,821,34742
"ANDHRA PRADESH","MAHABOOBNAGAR",76226,6091,3741,2099,1656,869,622,505,91809
"ANDHRA PRADESH","MEDAK",46564,2158,1135,654,875,329,208,196,52119
"ANDHRA PRADESH","NALGONDA",76273,10160,8595,4832,3645,3144,1648,1094,109391
"ANDHRA PRADESH","NELLORE",29233,2096,1535,839,481,442,265,348,35239
"ANDHRA PRADESH","NIZAMABAD",12982,1435,1106,497,379,252,123,72,16846
"ANDHRA PRADESH","PRAKASAM",21931,1448,1016,979,676,497,365,203,27115
"ANDHRA PRADESH","RANGAREDDY",25156,1622,1063,754,394,499,410,142,30040
"ANDHRA PRADESH","SRIKAKULAM",30430,1497,1257,1147,829,548,444,237,36389
"ANDHRA PRADESH","VISAKHAPATNAM",22259,1233,588,964,613,492,175,31,26355
"ANDHRA PRADESH","VIZIANAGARAM",32901,891,466,483,361,327,147,220,35796
"ANDHRA PRADESH","WARANGAL",112039,17295,12703,7655,5097,3390,1569,958,160706
"ANDHRA PRADESH","WEST GODAVARI",8433,765,469,415,123,160,14,35,10414
"ARUNACHAL PRADESH","CHANGLANG",0,0,0,0,0,0,0,1,1
"ARUNACHAL PRADESH","EAST SIANG",0,0,1,0,0,0,0,0,1
"ARUNACHAL PRADESH","PAPUMPARE",0,0,0,1,1,0,0,0,2
"ASSAM","BARPETA",0,0,0,0,0,16,2,5,23
"ASSAM","CACHAR",0,0,1,0,0,0,0,0,1
"ASSAM","DHUBRI",10,1,3,0,0,0,0,0,14
"ASSAM","GOALPARA",4,0,5,1,5,3,1,1,20
"ASSAM","JORHAT",0,0,0,0,0,6,4,0,10
"ASSAM","KOKRAJHAR",0,0,0,0,0,1,1,2,4
"ASSAM","LAKHIMPUR",13,3,2,2,2,5,21,10,58
"ASSAM","MORIGAON",1,2,2,1,3,8,1,0,18
"ASSAM","NAGOAN",1,0,0,0,0,0,0,1,2
"ASSAM","SIBSAGAR",0,0,0,0,0,0,0,3,3
"ASSAM","SONITPUR",0,0,0,1,0,0,0,0,1
"BIHAR","AURANGABAD",4797,474,404,175,171,119,44,19,6203
"BIHAR","BANKA",5481,757,504,262,315,224,150,154,7847
"BIHAR","BHAGALPUR",2045,553,749,714,418,236,85,88,4888
"BIHAR","BHOJPUR",2307,135,36,16,28,23,32,20,2597
"BIHAR","BUXAR",569,89,60,23,28,15,5,0,789
"BIHAR","EAST CHAMPARAN",20,1,1,0,0,0,0,0,22
"BIHAR","GAYA",12630,1817,1192,785,631,425,233,169,17882
"BIHAR","GOPAALGANJ",4494,41,23,18,3,1,0,0,4580
"BIHAR","JAMUI",6013,812,591,398,317,270,195,99,8695
"BIHAR","JEHANABAD",2019,246,135,87,22,16,9,3,2537
"BIHAR","KAIMUR (BHABUA)",6660,845,519,217,153,97,47,58,8596
"BIHAR","KATIHAR",15,0,0,0,0,0,0,0,15
"BIHAR","LAKHISARAI",548,163,95,84,110,48,23,64,1135
"BIHAR","MADHEPURA",4,0,0,0,0,0,0,0,4
"BIHAR","MADHUBANI",121,0,0,0,0,0,0,0,121
"BIHAR","MUNGER",2892,253,137,109,42,22,1,4,3460
"BIHAR","MUZAFFARPUR",104,0,3,0,1,0,0,0,108
"BIHAR","NALANDA",12716,2499,1842,1375,934,697,366,301,20730
"BIHAR","NAWADA",2959,1181,1037,122,68,35,40,21,5463
"BIHAR","PATNA",3962,540,243,115,64,29,15,3,4971
