-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "AssamNSDPcurrent.csv", 
 "title": "Download CSV for Assam Net State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/AssamNSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006"
"Agriculture","502168","623726","670802","676048","786145","900050","1015674","973507","1017538","1054989","1094156","1162297","1206609"
"Foresty and Logging","29460","30128","30069","32682","35235","37825","45325","44567","52184","53157","53968","56853","58034"
"Fishing","35319","35132","45001","44301","43811","42903","49038","50316","51440","59653","73018","74998","86215"
"Mining and Quarrying","80501","77856","73630","65839","97805","98183","173032","172899","198020","265592","262702","265031","298859"
"Sub total of primary","647448","766842","819502","818870","962996","1078961","1283069","1241289","1319182","1433391","1483844","1559179","1649717"
"Manufacturing","113446","134601","144112","153557","192556","198221","228229","248824","216548","245340","294126","334449","375103"
"Registered","85422","103979","109941","117312","146372","143379","175466","197549","151972","182207","227269","260652","299791"
"Unregistered","28024","30622","34171","36245","46184","54842","52763","51275","64576","63133","66857","73797","75312"
"Construction","66758","81954","82755","102800","109093","136588","105609","159694","139884","151366","170535","217118","233606"
"Electricity, Gas and water Supply","-104","-1918","1808","907","-4177","-6491","-7616","-11134","-21435","2913","8502","16885","32012"
"Sub total of secondary","180100","214637","228675","257264","297472","328318","326222","397384","334997","399619","473163","568452","640721"
"Transport Storage and Communication","33007","34643","37512","38072","26437","39221","45116","43570","69892","85458","95724","117405","130973"
"Railways","4061","3502","4109","3278","2928","8018","9960","1328","9291","16260","15482","18844","22050"
"Transport by other means","22203","24130","26720","27885","16499","25005","29264","30118","33933","38034","42146","46575","50935"
"Storage","339","410","381","407","1210","-484","-321","-243","-316","-462","-555","-585","-709"
"Communication","6404","6601","6302","6502","5800","6682","6213","12367","26984","31626","38651","52571","58697"
"Trade, hotels and restaurants","238505","275512","311149","363019","296045","318426","318688","402410","557561","583190","601023","633054","708009"
"Banking and Insurance","41518","45459","56856","77809","88873","93753","113841","120344","133601","158861","168166","186979","205282"
"Real estate, ownership of dwelling and business","40019","40607","42466","44960","47967","48676","74389","88112","101069","110037","115382","117715","125496"
"Pubic Administration","74282","85708","94900","101887","136283","154967","191049","205710","206140","212887","235590","266359","282489"
"Other Services","92804","98139","125976","144642","164988","208721","274886","327395","344978","368186","397137","413260","441536"
"Sub total of tertiary","520135","580068","668859","770389","760593","863764","1017969","1187541","1413241","1518619","1613022","1734772","1893785"
"State domestic product","1347683","1561547","1717036","1846523","2021061","2271043","2627260","2826214","3067420","3351628","3570029","3862403","4184223"

"Figures are in Rs. Lakh"
