-----
{
 "description": "The table refers to Statewise Distribution of Dugwells according to Average Pumping Hours. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlNat1.11.csv", 
 "title": "Download CSV for Statewise Distribution of Dugwells according to Average Pumping Hours", 
 "url": "http://data.gov.in/sites/default/files/dgwlNat1.11.csv"
}
-----
"State","Avg pumping hours (0-4)","Avg pumping hours (4 - 8)","Avg pumping hours (8-12)","Avg pumping hours (12 -16)","Avg pumping hours (16 - 20)","Avg pumping hours (20 - 24)","Total"
"ANDHRA PRADESH",786214,326285,70051,1283,553,830,1185216
"ARUNACHAL PRADESH",0,3,1,0,0,0,4
"ASSAM",92,50,12,0,0,0,154
"BIHAR",86792,46515,1567,197,61,45,135177
"CHHATTISGARH",86484,104348,4124,3735,5064,1228,204983
"GOA",4713,365,34,1,0,3,5116
"GUJARAT",616282,289594,25627,2743,562,792,935600
"HARYANA",7047,8972,2522,221,55,2,18819
"HIMACHAL PRADESH",1125,454,217,91,9,0,1896
"JAMMU & KASHMIR",319,1256,927,14,2,0,2518
"JHARKHAND",275408,45771,1934,219,170,53,323555
"KARNATAKA",227974,95296,4084,395,80,154,327983
"KERALA",153139,12259,381,99,49,29,165956
"MADHYA PRADESH",404213,793437,65176,7414,6093,373,1276706
"MAHARASHTRA",1267643,337924,39527,6172,2813,4479,1658558
"MANIPUR",0,3,0,0,0,0,3
"MEGHALAYA",11,0,0,0,0,0,11
"NAGALAND",170,113,0,0,0,0,283
"ORISSA",372147,5827,345,25,12,23,378379
"PUNJAB",290,2194,376,63,7,1,2931
"RAJASTHAN",720333,406739,37630,4259,1917,620,1171498
"TAMIL NADU",1345264,265253,38738,4861,1219,1166,1656501
"TRIPURA",202,17,0,0,0,40,259
"UTTAR PRADESH",78559,37945,6439,790,409,261,124403
"UTTARANCHAL",57,251,299,95,59,76,837
"WEST BENGAL",31211,7447,653,36,17,13,39377
"ANDAMAN & NICOBARS",8,0,0,0,0,0,8
"DADRA & NAGAR HAVELI",562,10,0,0,0,0,572
"PONDICHERRY",12,28,28,10,0,0,78
"ALL INDIA",6466271,2788356,300692,32723,19151,10188,9617381
