-----
{
 "description": "The table refers to District wise Distribution of Surface Lift Schemes according to ownership. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftstate5.2.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Lift Schemes according to ownership", 
 "url": "http://data.gov.in/sites/default/files/srfcliftstate5.2.csv"
}
-----
"State","District","Government","Cooperative Societies","Panchayat","Group of farmers","Individual farmers","Others","Total"
"ANDAMAN & NICOBARS","ANDAMAN",5,0,1,0,1663,0,1669
"ANDAMAN & NICOBARS","NICOBAR",0,0,0,0,27,0,27
"ANDHRA PRADESH","ADILABAD",205,1,0,1,1246,1,1454
"ANDHRA PRADESH","ANANTHAPUR",1,0,0,0,0,0,1
"ANDHRA PRADESH","CHITTOOR",0,0,0,0,23,0,23
"ANDHRA PRADESH","CUDDAPAH",13,1,0,1,402,0,417
"ANDHRA PRADESH","EAST GODAVARI",10,3,0,3,42,0,58
"ANDHRA PRADESH","GUNTUR",91,13,1,312,1128,5,1550
"ANDHRA PRADESH","KARIMNAGAR",18,0,0,68,327,58,471
"ANDHRA PRADESH","KHAMMAM",214,17,5,82,3894,4,4216
"ANDHRA PRADESH","KRISHNA",42,10,1,39,10,4,106
"ANDHRA PRADESH","KURNOOL",19,1,0,173,1946,10,2149
"ANDHRA PRADESH","MAHABOOBNAGAR",19,0,1,97,1262,0,1379
"ANDHRA PRADESH","MEDAK",0,0,0,1,986,0,987
"ANDHRA PRADESH","NALGONDA",335,1,15,307,3757,8,4423
"ANDHRA PRADESH","NELLORE",31,5,1,254,2522,3,2816
"ANDHRA PRADESH","NIZAMABAD",4,0,0,5,1774,0,1783
"ANDHRA PRADESH","PRAKASAM",78,16,3,787,460,5,1349
"ANDHRA PRADESH","RANGAREDDY",3,0,0,141,128,0,272
"ANDHRA PRADESH","SRIKAKULAM",23,0,0,5,5,0,33
"ANDHRA PRADESH","VISAKHAPATNAM",26,0,0,8,20,0,54
"ANDHRA PRADESH","VIZIANAGARAM",33,0,0,38,128,0,199
"ANDHRA PRADESH","WARANGAL",83,0,0,28,103,0,214
"ANDHRA PRADESH","WEST GODAVARI",14,0,0,3,222,0,239
"ARUNACHAL PRADESH","DIBANG VALLEY",9,0,0,0,0,0,9
"ARUNACHAL PRADESH","LOHIT",4,1,0,1,0,0,6
"ARUNACHAL PRADESH","TIRAP",1,0,0,0,0,0,1
"ARUNACHAL PRADESH","UPPER SUBANSIRI",2,0,0,0,0,0,2
"ARUNACHAL PRADESH","WEST KAMENG",2,0,0,0,0,0,2
"ARUNACHAL PRADESH","WEST SIANG",1,0,0,0,0,0,1
"ASSAM","BARPETA",15,0,0,1,9,2,27
"ASSAM","BONGAIGAON",0,0,0,0,193,0,193
"ASSAM","CACHAR",21,1,0,244,3,7,276
"ASSAM","DARRANG",0,3,0,3,2,0,8
"ASSAM","DHEMAJI",6,0,0,0,2,0,8
"ASSAM","DHUBRI",13,0,0,1,15,0,29
"ASSAM","DIBRUGARH",2,0,0,0,1,0,3
"ASSAM","GOALPARA",9,0,1,0,9,0,19
"ASSAM","GOLAGHAT",2,0,0,6,31,1,40
"ASSAM","HAILAKANDI",15,1,0,0,0,0,16
"ASSAM","JORHAT",14,0,0,2,7,0,23
"ASSAM","KAMRUP",40,0,1,1,68,0,110
"ASSAM","KARBIANGLONG",5,0,0,17,0,0,22
