-----
{
 "description": "The table refers to Block wise Dugwells in the command of Major/Medium Projects and Supplimentary Irrigation. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.14.csv", 
 "title": "Download CSV for Blockwise Dugwells in the command of Major/Medium Projects and Supplimentary Irrigation", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.14.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Location of Tubewell (Nos) - Inside Command,Location of Tubewell (Nos) - Outside Command,Total,Supplementary Irrigation (Ha) - Kharif,Supplementary Irrigation (Ha) - Rabi,Supplementary Irrigation (Ha) - Perennial,Supplementary Irrigation (Ha) - Others,Total
ANDAMAN & NICOBARS,NICOBAR,CAMPBELL BAY,4,4,8,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,ADILABAD,0,469,469,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,ASIFABAD,27,43,70,25,0,0,0,25
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,0,403,403,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BEJJUR,0,322,322,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BELA,0,328,328,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,0,531,531,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BHAINSA,0,21,21,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BHEEMINI,0,274,274,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BOATH,0,94,94,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,CHENNUR,0,372,372,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,DAHEGAON,0,380,380,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,DANDEPALLE,0,1796,1796,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,DILAWARPUR,0,876,876,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,54,368,422,31,16,0,0,47
ANDHRA PRADESH,ADILABAD,ICHODA,1,525,526,2,0,0,0,2
ANDHRA PRADESH,ADILABAD,INDERAVELLY,0,743,743,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,JAINAD,32,147,179,30,0,2,0,31
ANDHRA PRADESH,ADILABAD,JAINOOR,0,240,240,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,JAIPUR,5,511,516,3,0,0,0,3
ANDHRA PRADESH,ADILABAD,JANNARAM,28,351,379,10,9,9,0,27
ANDHRA PRADESH,ADILABAD,KADDAMPEDDUR,21,1744,1765,5,0,0,0,5
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,1,334,335,1,1,0,0,2
ANDHRA PRADESH,ADILABAD,KASIPET,0,163,163,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KERAMERI,0,183,183,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KHANPUR,10,2501,2511,5,0,0,0,5
ANDHRA PRADESH,ADILABAD,KOTAPALLE,0,128,128,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KOUTHALA,0,384,384,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KUBEER,0,54,54,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KUNTALA,0,26,26,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,101,1106,1207,55,38,0,0,93
ANDHRA PRADESH,ADILABAD,LOHESRA,0,160,160,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,LUXETTIPET,24,1556,1580,20,10,11,0,41
ANDHRA PRADESH,ADILABAD,MAMDA,0,531,531,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,MANCHERIAL,64,1867,1931,29,0,0,0,29
ANDHRA PRADESH,ADILABAD,MANDAMARRI,15,582,597,9,0,0,0,9
ANDHRA PRADESH,ADILABAD,NARNOOR,61,546,607,26,21,13,0,60
ANDHRA PRADESH,ADILABAD,NENNAL,0,356,356,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,NERADIGONDA,11,115,126,6,3,0,0,9
ANDHRA PRADESH,ADILABAD,NIRMAL,93,1668,1761,93,62,24,0,179
ANDHRA PRADESH,ADILABAD,REBBANA,0,308,308,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,SARANGAPUR,0,196,196,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,SIRPUR (T),0,350,350,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,SIRPUR (U),0,387,387,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,TALAMADUGU,0,813,813,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,TAMSI,0,445,445,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,TANDUR,0,218,218,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,TIRYANI,0,184,184,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,UTNUR,0,769,769,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,VEMANPALLE,0,234,234,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,WANKDI,0,140,140,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,AGALI,0,962,962,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,0,954,954,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,1,514,515,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,0,616,616,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,0,716,716,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,0,609,609,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,0,446,446,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,47,182,229,88,0,1,0,89
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,66,629,695,0,71,0,0,71
ANDHRA PRADESH,ANANTHAPUR,BUKKAPATNAM,1,905,906,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,381,1441,1822,208,0,13,0,221
ANDHRA PRADESH,ANANTHAPUR,CHENNE KOTHAPALLE,0,781,781,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,0,1348,1348,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,D.HIRCHAL,0,613,613,0,0,0,0,0
