-----
{
 "description": "The table refers to district wise distribution of dugwells according to ownership. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Statedgwltab1.2.csv", 
 "title": "Download CSV for District wise Distribution of Dugwells according to ownership for 2nd census of minor irrigation schemes", 
 "url": "http://data.gov.in/sites/default/files/Statedgwltab1.2.csv"
}
-----
"State","District","Government","Cooperative Societies","Panchayat","Group of farmers","Individual farmers","Others","Total"
"JAMMU & KASHMIR","Udhampur",2,0,0,0,4,3,9
"KARNATAKA","BANGALORE RURAL",5,3,1,57,11694,10,11770
"KARNATAKA","BANGALORE URBAN",1,0,0,133,2320,1,2455
"KARNATAKA","BELGAUM",38,1,1,259,53955,336,54590
"KARNATAKA","BELLARY",0,0,0,6,4523,49,4578
"KARNATAKA","BIDAR",15,1,0,1,16836,4,16857
"KARNATAKA","BIJAPUR",88,6,2,12,37906,10,38024
"KARNATAKA","CHIKKAMAGALORE",1,0,0,5,2577,3,2586
"KARNATAKA","CHITRADURGA",1,0,0,46,11196,0,11243
"KARNATAKA","DAKSHINA KANNADA",2,0,2,1,30839,0,30844
"KARNATAKA","DHARWAR",6,0,0,2,6086,0,6094
"KARNATAKA","GULBARGA",44,5,3,79,20187,3,20321
"KARNATAKA","HASSAN",16,0,0,119,2528,1,2664
"KARNATAKA","KODAGU",0,0,0,0,176,0,176
"KARNATAKA","KOLAR",102,0,0,26,26441,5,26574
"KARNATAKA","MANDYA",3,0,0,2,9171,9,9185
"KARNATAKA","MYSORE",28,49,0,3,15621,1,15702
"KARNATAKA","RAICHUR",0,0,0,14,17176,0,17190
"KARNATAKA","SHIMOGA",23,23,8,244,5471,0,5769
"KARNATAKA","TUMKUR",5,1,2,61,30755,7,30831
"KARNATAKA","UTTARA KANNADA",78,0,3,1,14324,0,14406
"KERALA","ALAPUZHA",47,1,0,0,2966,0,3014
"KERALA","ERANAKULAM",21,3,149,16,14436,37,14662
"KERALA","IDUKKI",64,5,31,32,4447,3,4582
"KERALA","KANNUR",7,0,1,2,11645,4,11659
"KERALA","KASARAGODE",16,0,36,5,4521,0,4578
"KERALA","KOLLAM",1,0,1,0,2395,2,2399
"KERALA","KOTTAYAM",0,0,0,0,8631,4,8635
"KERALA","KOZHIKODE",1,0,0,0,9508,0,9509
"KERALA","MALAPPURAM",2,0,1,12,9564,0,9579
"KERALA","PALAKKAD",22,4,3,31,5737,0,5797
"KERALA","PATHANAMTHITTA",7,1,1,2,4816,1,4828
"KERALA","THIRUVANANTHAPURAM",1,0,7,0,8154,0,8162
"KERALA","THRISSUR",58,1,1,5,38665,15,38745
"KERALA","WAYANAD",118,8,0,1,409,10,546
"MADHYA PRADESH","BALAGHAT",43,55,106,65,8020,16,8305
"MADHYA PRADESH","BASTAR",16,3,0,0,6420,0,6439
"MADHYA PRADESH","BETUL",9,1,6,1999,42281,4,44300
"MADHYA PRADESH","BHIND",456,13,34,2740,7587,92,10922
"MADHYA PRADESH","BHOPAL",1,7,0,764,6296,1,7069
"MADHYA PRADESH","BILASPUR",26,3,3,7,10259,13,10311
"MADHYA PRADESH","CHHATARPUR",230,46,96,9675,31149,30,41226
"MADHYA PRADESH","CHHINDWARA",152,61,17,2417,28313,2,30962
"MADHYA PRADESH","DAMOH",30,44,22,247,9586,7,9936
"MADHYA PRADESH","DATIA",58,4,20,2884,10828,0,13794
"MADHYA PRADESH","DEWAS",72,31,37,1909,28122,39,30210
"MADHYA PRADESH","DHAR",196,2,6,1108,40830,12,42154
"MADHYA PRADESH","DURG",5,0,0,0,8500,0,8505
"MADHYA PRADESH","GUNA",320,41,109,1475,15386,42,17373
"MADHYA PRADESH","GWALIOR",3206,31,18,1139,10510,22,14926
"MADHYA PRADESH","HOSHANGABAD",43,6,9,275,23081,18,23432
"MADHYA PRADESH","INDORE",74,13,101,189,14966,4,15347
"MADHYA PRADESH","JABALPUR",9,6,4,420,10360,8,10807
"MADHYA PRADESH","JHABUA",49,19,8,379,14758,91,15304
"MADHYA PRADESH","KHANDWA",161,161,44,18,54062,6,54452
"MADHYA PRADESH","KHARGONE",53,9,10,0,67233,0,67305
"MADHYA PRADESH","MANDLA",13,8,5,25,1985,1,2037
"MADHYA PRADESH","MANDSAUR",2879,35,40,43296,77159,128,123537
"MADHYA PRADESH","MORENA",1856,20,81,6878,9440,77,18352
"MADHYA PRADESH","NARSIMHAPUR",126,32,91,851,17478,6,18584
"MADHYA PRADESH","PANNA",3,4,1,28,4994,5,5035
"MADHYA PRADESH","RAIGARH",273,82,187,117,11425,1,12085
"MADHYA PRADESH","RAIPUR",27,2,4,2,32522,4,32561
"MADHYA PRADESH","RAISEN",4,9,0,136,7448,3,7600
"MADHYA PRADESH","RAJGARH",54,35,28,7854,44782,17,52770
