-----
{
 "description": "The table refers to district wise distribution of shallow tubewells according to social status . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Districtshtbwl2.4.csv", 
 "title": "Download CSV for District wise Distribution of Shallow Tubewells according to Social status for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Districtshtbwl2.4.csv"
}
-----
State,District,Scheduled caste,Scheduled tribe,Other social status of farmers,Total,Owned by other than individual farmers,Total
ANDHRA PRADESH,ADILABAD,697,472,6050,7219,46,7265
ANDHRA PRADESH,ANANTHAPUR,833,416,19874,21123,178,21301
ANDHRA PRADESH,CHITTOOR,577,194,9364,10135,3,10138
ANDHRA PRADESH,CUDDAPAH,829,165,11809,12803,6,12809
ANDHRA PRADESH,EAST GODAVARI,1304,217,19250,20771,76,20847
ANDHRA PRADESH,GUNTUR,1575,154,14130,15859,61,15920
ANDHRA PRADESH,KARIMNAGAR,105,11,834,950,40,990
ANDHRA PRADESH,KHAMMAM,44,208,3302,3554,280,3834
ANDHRA PRADESH,KRISHNA,796,86,11664,12546,149,12695
ANDHRA PRADESH,KURNOOL,426,129,8147,8702,40,8742
ANDHRA PRADESH,MAHABOOB NAGAR,1217,994,19121,21332,96,21428
ANDHRA PRADESH,MEDAK,2105,1889,26841,30835,71,30906
ANDHRA PRADESH,NALGONDA,1172,736,11802,13710,9,13719
ANDHRA PRADESH,NELLORE,3388,840,25837,30065,129,30194
ANDHRA PRADESH,NIZAMABAD,4463,2740,38861,46064,143,46207
ANDHRA PRADESH,PRAKASAM,764,435,9763,10962,0,10962
ANDHRA PRADESH,RANGA REDDY,1144,655,14652,16451,3,16454
ANDHRA PRADESH,SRIKAKULUM,342,45,5169,5556,127,5683
ANDHRA PRADESH,VIJAYA NAGARAM,158,109,3560,3827,301,4128
ANDHRA PRADESH,VISAKHAPATNAM,124,62,5187,5373,15,5388
ANDHRA PRADESH,WARANGAL,211,292,2931,3434,77,3511
ANDHRA PRADESH,WEST GODAVARI,491,785,12794,14070,6,14076
ASSAM,BARPETA,62,270,1926,2258,105,2363
ASSAM,BONGAIGAON,177,172,477,826,26,852
ASSAM,CACHAR,0,0,0,0,1,1
ASSAM,DARRANG,101,366,1448,1915,336,2251
ASSAM,DHEMAJI,93,368,248,709,8,717
ASSAM,DHUBRI,106,118,2169,2393,95,2488
ASSAM,DIBRUGARH,111,214,871,1196,265,1461
ASSAM,GOALPARA,42,71,238,351,30,381
ASSAM,GOLAGHAT,46,132,277,455,40,495
ASSAM,HAILAKANDI,0,0,0,0,80,80
ASSAM,JORHAT,94,385,619,1098,392,1490
ASSAM,KAMRUP,49,122,977,1148,120,1268
ASSAM,KARBI ANGLONG,6,1,48,55,26,81
ASSAM,KARIMGANJ,0,0,0,0,84,84
ASSAM,KOKRAJHAR,12,555,191,758,0,758
ASSAM,LAKHIMPUR,51,341,620,1012,154,1166
ASSAM,MARIGAON,136,282,799,1217,178,1395
ASSAM,NAGAON,253,355,2505,3113,144,3257
ASSAM,NALBARI,81,297,891,1269,148,1417
ASSAM,SIBSAGAR,15,32,740,787,1,788
ASSAM,SONITPUR,225,433,2025,2683,184,2867
ASSAM,TINSUKIA,59,376,911,1346,66,1412
BIHAR,ARARIA,2430,265,10306,13001,90,13091
BIHAR,AURANGABAD,1081,119,7531,8731,46,8777
BIHAR,BANKA,399,17,5506,5922,3,5925
BIHAR,BEGUSARAI,2156,106,18882,21144,379,21523
BIHAR,BHABUA,905,60,10215,11180,461,11641
BIHAR,BHAGALPUR,395,540,9659,10594,4,10598
BIHAR,BHOJPUR,1126,175,13429,14730,75,14805
BIHAR,BUXAR,732,157,12082,12971,55,13026
BIHAR,CHAMPARAN EAST,2872,100,27631,30603,4,30607
BIHAR,CHAMPARAN WEST,2569,264,18276,21109,49,21158
BIHAR,CHATRA,6,0,136,142,0,142
BIHAR,DARBHANGA,1272,51,10513,11836,48,11884
BIHAR,DEOGHAR,0,0,1,1,0,1
BIHAR,DHANBAD,0,1,3,4,1,5
BIHAR,GAYA,2474,182,21389,24045,652,24697
BIHAR,GIRIDIH,14,0,345,359,10,369
BIHAR,GODDA,86,27,470,583,31,614
BIHAR,GOPALGANJ,1501,175,14710,16386,794,17180
BIHAR,HAZARIBAG,0,0,0,0,3,3
BIHAR,JAMUI,238,63,2838,3139,14,3153
BIHAR,JEHANABAD,1865,155,15732,17752,73,17825
BIHAR,KATIHAR,866,1683,21630,24179,339,24518
BIHAR,KHAGARIA,707,18,9979,10704,4,10708
BIHAR,KISHANGANJ,1019,345,7582,8946,1,8947
BIHAR,KODARMA,4,0,210,214,0,214
BIHAR,LAKHISARAI,296,10,4130,4436,0,4436
BIHAR,MADHEPURA,2214,203,11755,14172,2,14174
BIHAR,MADHUBANI,2560,158,11588,14306,88,14394
BIHAR,MUNGER,169,12,2919,3100,1,3101
BIHAR,MUZAFFARPUR,2401,81,28353,30835,61,30896
BIHAR,NALANDA,892,307,15238,16437,172,16609
BIHAR,NAWADA,1251,158,14409,15818,83,15901
BIHAR,PAKUR,3,21,177,201,0,201
BIHAR,PATNA,1543,115,21721,23379,70,23449
BIHAR,PURNIA,2622,1356,20095,24073,11,24084
BIHAR,RANCHI,3,66,19,88,2,90
BIHAR,ROHTAS,1212,71,15624,16907,402,17309
BIHAR,SAHARSA,2763,97,6945,9805,6,9811
BIHAR,SAHEBGANJ,126,117,1479,1722,42,1764
BIHAR,SAMASTIPUR,2632,250,26495,29377,463,29840
BIHAR,SARAN,1495,141,22570,24206,185,24391
BIHAR,SHEIKHPURA,346,11,4974,5331,15,5346
BIHAR,SHEOHAR,197,14,4245,4456,0,4456
BIHAR,SINGHBHUM EAST,65,670,517,1252,26,1278
BIHAR,SINGHBHUM WEST,0,1,10,11,4,15
BIHAR,SITAMARHI,1198,74,13613,14885,27,14912
BIHAR,SIWAN,2429,133,24307,26869,8,26877
BIHAR,SUPAUL,1628,175,11533,13336,2,13338
BIHAR,VAISHALI,1587,112,18918,20617,819,21436
GOA,NORTH GOA,0,0,20,20,0,20
GOA,SOUTH GOA,0,0,7,7,1,8
HARYANA,AMBALA,739,249,13526,14514,230,14744
HARYANA,BHIWANI,556,386,17511,18453,19,18472
HARYANA,FARIDABAD,783,295,24312,25390,215,25605
HARYANA,GURGAON,250,189,28034,28473,267,28740
HARYANA,HISAR,2043,327,42797,45167,205,45372
HARYANA,JIND,335,460,28752,29547,172,29719
HARYANA,KAITHAL,522,1508,28610,30640,325,30965
HARYANA,KARNAL,1521,1118,49041,51680,622,52302
HARYANA,KURUKSHETRA,954,1012,33587,35553,354,35907
HARYANA,MEHANDERGARH,364,681,22822,23867,363,24230
HARYANA,PANCHKULA,30,11,1127,1168,15,1183
HARYANA,PANIPAT,319,955,24791,26065,285,26350
HARYANA,RIWARI,444,980,21477,22901,357,23258
HARYANA,ROHTAK,670,2153,46983,49806,849,50655
HARYANA,SIRSA,483,714,23350,24547,175,24722
HARYANA,SONIPAT,1498,1349,33017,35864,266,36130
HARYANA,YAMUNA NAGAR,1095,911,23689,25695,245,25940
HIMACHAL PRADESH,Bilaspur,0,0,22,22,0,22
HIMACHAL PRADESH,Hamirpur,0,0,11,11,1,12
HIMACHAL PRADESH,Kangra,24,2,275,301,8,309
HIMACHAL PRADESH,Mandi,11,0,54,65,14,79
HIMACHAL PRADESH,Sirmaur,21,1,151,173,4,177
HIMACHAL PRADESH,Solan,5,0,55,60,25,85
HIMACHAL PRADESH,Una,9,2,703,714,226,940
JAMMU & KASHMIR,Budgam,0,0,0,0,1,1
JAMMU & KASHMIR,Jammu,261,0,421,682,386,1068
JAMMU & KASHMIR,Kathua,12,0,169,181,46,227
JAMMU & KASHMIR,Kupwara,0,0,2,2,9,11
