-----
{
 "description": "This data provides state-wise details of ongoing societal development projects as on 06th June 2013.", 
 "file_name": "Statewise_Ongoing_Societal_Development_Projects_as_on_06th_June_2013.xls", 
 "title": "Download XLS for State-wise Ongoing Societal Development Projects As On 06th June 2013", 
 "url": "http://data.gov.in/sites/default/files/Statewise_Ongoing_Societal_Development_Projects_as_on_06th_June_2013.xls"
}
-----
"Name of States","Ongoing Projects"
"Andhra Pradesh",5.0
"Assam",5.0
"Bihar",1.0
"Chandigarh",2.0
"Delhi",3.0
"Goa",2.0
"Gujarat",1.0
"Haryana",1.0
"Himachal Pradesh",1.0
"Jammu And Kashmir",3.0
"Karnataka",14.0
"Madhya Pradesh",2.0
"Maharashtra",9.0
"Manipur",9.0
"Meghalaya",2.0
"Mizoram",1.0
"Orissa",4.0
"Rajasthan",1.0
"Tamilnadu",14.0
"Tripura",1.0
"Uttar Pradesh",14.0
"Uttarakhand",4.0
"West Bengal",4.0
"Total",103.0
