-----
{
 "description": "The table refers to Block wise Construction of Deep Tubewells over the years. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwldistr3.1.csv", 
 "title": "Download CSV for Blockwise Construction of Deep Tubewells over the years", 
 "url": "http://data.gov.in/sites/default/files/dptbwldistr3.1.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Upto 1993-94,During 1994-95,During 1995-96,During 1996-97,During 1997-98,During 1998-99,During 1999-00,During 2000-01,Total (1994-01)
TAMIL NADU,COIMBATORE,PALLADAM,176,0,1,18,10,59,12,0,276
TAMIL NADU,COIMBATORE,PERIANAICKEN PALAYAM,510,61,124,94,128,41,12,4,974
TAMIL NADU,COIMBATORE,POLLACHI NORTH!,532,237,224,215,247,68,14,13,1550
TAMIL NADU,COIMBATORE,POLLACHI SOUTH,471,0,287,87,12,74,64,53,1048
TAMIL NADU,COIMBATORE,PONGALUR,424,142,119,272,126,271,61,254,1669
TAMIL NADU,COIMBATORE,SARCARSAMAKULAM,318,49,37,61,132,85,33,9,724
TAMIL NADU,COIMBATORE,SOOLUR,85,14,91,24,44,135,201,8,602
TAMIL NADU,COIMBATORE,SULTHANPET,70,104,78,89,222,197,38,41,839
TAMIL NADU,COIMBATORE,THIRUPPUR,513,78,322,134,116,117,28,12,1320
TAMIL NADU,COIMBATORE,THONDAMUTHUR,961,168,345,206,144,92,55,36,2007
TAMIL NADU,COIMBATORE,UDUMALAIPETTAI,1349,25,35,60,40,342,242,30,2123
TAMIL NADU,CUDDALORE,ANNAGRAMAM,2,1,0,0,0,0,0,0,3
TAMIL NADU,CUDDALORE,BHUVANAGIRI,9,0,0,2,0,0,1,0,12
TAMIL NADU,CUDDALORE,CUDDALORE,349,49,13,22,32,34,24,10,533
TAMIL NADU,CUDDALORE,KAMMAPURAM,261,27,6,32,45,8,18,4,401
TAMIL NADU,CUDDALORE,KATTUMANNARKOIL,194,23,60,36,19,420,220,8,980
TAMIL NADU,CUDDALORE,KEERAPPALAYAM,175,0,1,0,6,181,0,0,363
TAMIL NADU,CUDDALORE,KUMARATCHI,8,0,0,1,1,2,2,1,15
TAMIL NADU,CUDDALORE,KURINJIPADY,206,66,36,50,42,1,3,6,410
TAMIL NADU,CUDDALORE,MANGALORE,29,0,0,0,0,0,0,0,29
TAMIL NADU,CUDDALORE,NALLUR,10,4,2,2,0,0,0,0,18
TAMIL NADU,CUDDALORE,PANRUTI,10,1,0,8,3,2,2,0,26
TAMIL NADU,CUDDALORE,VRIDHACHALAM,683,106,61,85,35,20,6,4,1000
TAMIL NADU,DHARMAPURI,BARUGUR,49,1,3,0,0,7,30,8,98
TAMIL NADU,DHARMAPURI,HOSUR,178,41,56,68,231,110,45,33,762
TAMIL NADU,DHARMAPURI,KAVERIPATTINAM,10,0,0,0,0,0,0,5,15
TAMIL NADU,DHARMAPURI,KELAMANGALAM(DEN),28,19,13,25,17,20,31,43,196
TAMIL NADU,DHARMAPURI,KRISHNAGIRI,9,1,0,0,0,0,0,0,10
TAMIL NADU,DHARMAPURI,PAPPIREDDIPATTY,2,3,4,3,4,47,12,27,102
TAMIL NADU,DHARMAPURI,SHOOLAGIRI,31,44,20,58,54,50,49,10,316
TAMIL NADU,DHARMAPURI,THALLY,309,11,21,32,22,40,49,38,522
TAMIL NADU,DHARMAPURI,VEPPANAPPALLI,0,1,2,0,0,0,0,0,3
TAMIL NADU,DINDIGUL,ATHOOR,150,70,42,46,39,7,3,0,357
TAMIL NADU,DINDIGUL,BATLAGUNDU,5,0,0,23,20,16,9,0,73
TAMIL NADU,DINDIGUL,DINDIGUL,0,0,0,0,0,1,0,1,2
TAMIL NADU,DINDIGUL,GUZILIAMPARAI,82,11,29,83,70,35,20,3,333
TAMIL NADU,DINDIGUL,NATHAM,1,10,0,0,1,2,2,5,21
TAMIL NADU,DINDIGUL,NILAKOTTAI,6,11,4,0,1,6,12,1,41
TAMIL NADU,DINDIGUL,ODDANCHATRAM,184,35,171,101,127,134,48,39,839
TAMIL NADU,DINDIGUL,PALANI,17,1,4,2,17,4,12,3,60
TAMIL NADU,DINDIGUL,REDDIYARCHATRAM,3,0,2,2,3,7,4,13,34
TAMIL NADU,DINDIGUL,SHANARPATTI,1,19,17,6,24,35,25,6,133
TAMIL NADU,DINDIGUL,THOPPAMPATTI,11,2,0,4,54,136,37,15,259
TAMIL NADU,DINDIGUL,VADAMADURAI,37,52,19,26,54,42,23,24,277
TAMIL NADU,DINDIGUL,VEDASANDUR,100,68,78,87,67,65,53,10,528
TAMIL NADU,ERODE,AMMAPETTAI,17,3,7,6,3,0,9,1,46
TAMIL NADU,ERODE,ANTHIYUR,2,0,4,32,55,55,0,1,149
TAMIL NADU,ERODE,BHAVANI,118,5,108,15,9,48,4,9,316
TAMIL NADU,ERODE,BHAVANISAGAR,54,26,54,144,48,73,38,19,456
TAMIL NADU,ERODE,CHENNIMALAI,109,2,12,14,14,12,2,6,171
TAMIL NADU,ERODE,DHARAPURAM,0,5,3,3,1,6,17,0,35
TAMIL NADU,ERODE,ERODE,4,0,1,0,0,0,0,0,5
TAMIL NADU,ERODE,GOBICHETTIPALAYAM,380,77,223,171,37,78,210,137,1313
TAMIL NADU,ERODE,KANGEYAM,0,4,2,3,5,7,6,9,36
TAMIL NADU,ERODE,KODUMUDI,0,0,0,0,0,0,0,1,1
TAMIL NADU,ERODE,KUMDADAM,31,1,3,1,3,13,16,6,74
TAMIL NADU,ERODE,MODAKURICHI,261,1,0,0,0,0,0,0,262
TAMIL NADU,ERODE,MOOLANUR,1,0,0,0,0,5,18,26,50
TAMIL NADU,ERODE,NAMBIYUR,450,132,225,311,190,114,117,94,1633
TAMIL NADU,ERODE,PERUNTHURAI,355,21,31,45,32,71,20,7,582
TAMIL NADU,ERODE,SATHYAMANGALAM,108,70,18,29,31,107,26,7,396
TAMIL NADU,ERODE,THALAVADI,31,4,34,36,40,97,32,7,281
