-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 1993-94.", 
 "file_name": "UttarPradeshGSDPconst_1.csv", 
 "title": "Download CSV for Uttar Pradesh Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/UttarPradeshGSDPconst_1.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","3052674","3157315","3216708","3507736","3307410","3328098","3627185","3589470","3687365","3750101","3853530","3888104"
"Foresty and Logging","50782","35687","26215","40781","59260","142926","147635","153640","158304","162204","166250","170658"
"Fishing","36667","38754","40278","41391","43484","50700","53354","58406","63197","70058","74851","77694"
"Mining and Quarrying","61529","68285","80823","90455","92828","98041","113678","110633","94244","132499","120696","124633"
"Sub total of primary","3201652","3300041","3364024","3680363","3502982","3619765","3941852","3912149","4003110","4114862","4215327","4261089"
"Manufacturing","1099046","1317132","1363211","1650850","1581420","1541574","1551197","1514744","1538095","1670319","1751033","1851952"
"Registered","642927","830523","821960","1109131","957818","928029","920681","888195","876121","966453","997955","1035660"
"Unregistered","456119","486609","541251","541719","623602","613545","630516","626549","661974","703866","753078","816292"
"Construction","338208","339092","392114","409254","477656","541955","571515","614484","626030","686052","726841","768518"
"Electricity, Gas and water Supply","288685","314853","327790","330071","337877","361689","325152","340520","359661","344755","374250","391809"
"Sub total of secondary","1725939","1971077","2083115","2390175","2396953","2445218","2447864","2469748","2523786","2701126","2852124","3012279"
"Transport Storage and Communication","429833","452729","479207","525982","550524","580734","639257","689089","750065","919966","1009767","1118560"
"Railways","148053","139201","149961","155857","163553","179428","186421","186502","197705","209990","223465","237805"
"Transport by other means","236916","250982","259408","287318","310550","316680","346968","365649","368612","380742","399938","427348"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","44864","62546","69838","82807","76421","84626","105868","136938","183748","329234","386364","453407"
"Trade, hotels and restaurants","1086811","1140798","1166983","1300243","1248585","1292196","1370832","1355458","1384018","1430484","1483176","1502339"
"Banking and Insurance","203741","222315","230146","326327","406657","358684","377088","404032","417543","512062","550193","591163"
"Real estate, ownership of dwelling and business","551100","563000","572772","583634","597867","611665","625276","640051","656235","677093","698704","758948"
"Pubic Administration","356813","344816","378635","393986","462726","462327","507870","506644","506281","513051","563895","631406"
"Other Services","489220","515872","549488","571190","597076","661528","673270","710737","763245","767960","797202","880243"
"Sub total of tertiary","3117518","3239530","3377231","3701362","3863435","3967134","4193593","4306011","4477387","4820616","5102937","5482659"
"State domestic product","8045109","8510648","8824372","9771900","9763371","10032117","10583309","10687908","11004283","11636604","12170388","12756027"

"Figures are in Rs. Lakh"
