-----
{
 "description": "Data provides details on social group-wise distribution in percentage across levels of education for students currently enrolled in age bracket 20 years to 24 years from 2009-10 onwards.", 
 "file_name": "EquityinAccess_Students_Enrolment_HE.xls", 
 "title": "Download XLS for Social Group-wise Distribution In Percentage Across Levels of Education For Students Enrolled In Age Bracket 20 To 24 Years From 2009-10 Onwards", 
 "url": "http://data.gov.in/sites/default/files/EquityinAccess_Students_Enrolment_HE.xls"
}
-----
" Education Level","Students enrolled (%) - Scheduled Tribe","Students enrolled (%)  - Scheduled Caste","Students enrolled (%) - Other Backward Classes","Students enrolled (%) - Other "
"Not Attending",88.6,88.4,83.3,74.3
"Currently Attending In: Egs/ Nfec/ Aec / TLC   ",0.0,0.0,0.0,0.0
"Primary (Class I To Iv/ V) ",0.0,0.2,0.1,0.1
"Middle ",0.4,0.3,0.2,0.1
"Secondary",0.6,0.5,0.5,0.4
"Higher Secondary",1.8,1.5,1.8,2.0
"Graduation",5.6,5.6,8.7,13.1
"Post Graduation",0.8,1.4,1.9,3.3
"Below Graduate Level",1.6,0.9,1.5,2.2
"Diploma Or Certificate (Graduate Level)",0.3,0.9,1.3,2.9
"Diploma Or Certificate  In Post Graduate And Above Level",0.2,0.3,0.7,1.5
"Total",100.0,100.0,100.0,100.0
