-----
{
 "description": "The table refers to District wise Distribution of Dugwells by type. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlState1.5.csv", 
 "title": "Download CSV for Districtwise Distribution of Dugwells by type", 
 "url": "http://data.gov.in/sites/default/files/dgwlState1.5.csv"
}
-----
"State","District","Pucca","Kuchcha","Dug-cum 
Borewell","Others","Total"
"ANDAMAN & NICOBARS","NICOBAR",4,0,0,4,8
"ANDHRA PRADESH","ADILABAD",14079,12563,471,277,27390
"ANDHRA PRADESH","ANANTHAPUR",15216,22738,14657,326,52937
"ANDHRA PRADESH","CHITTOOR",55831,48489,11502,801,116623
"ANDHRA PRADESH","CUDDAPAH",22410,15916,3292,165,41783
"ANDHRA PRADESH","EAST GODAVARI",1634,159,392,22,2207
"ANDHRA PRADESH","GUNTUR",3726,9184,344,137,13391
"ANDHRA PRADESH","KARIMNAGAR",22177,179532,5652,639,208000
"ANDHRA PRADESH","KHAMMAM",9356,25548,2542,1526,38972
"ANDHRA PRADESH","KRISHNA",6609,6559,3780,4,16952
"ANDHRA PRADESH","KURNOOL",12792,17647,4118,185,34742
"ANDHRA PRADESH","MAHABOOBNAGAR",12797,69138,7841,2033,91809
"ANDHRA PRADESH","MEDAK",10265,39333,2297,224,52119
"ANDHRA PRADESH","NALGONDA",22541,56714,29251,885,109391
"ANDHRA PRADESH","NELLORE",17379,14927,2826,107,35239
"ANDHRA PRADESH","NIZAMABAD",4187,10101,2253,305,16846
"ANDHRA PRADESH","PRAKASAM",13324,12948,634,209,27115
"ANDHRA PRADESH","RANGAREDDY",11379,16518,1850,293,30040
"ANDHRA PRADESH","SRIKAKULAM",29496,6481,345,67,36389
"ANDHRA PRADESH","VISAKHAPATNAM",21030,4550,471,304,26355
"ANDHRA PRADESH","VIZIANAGARAM",29053,6106,538,99,35796
"ANDHRA PRADESH","WARANGAL",37500,112640,8021,2545,160706
"ANDHRA PRADESH","WEST GODAVARI",4729,153,5516,16,10414
"ARUNACHAL PRADESH","CHANGLANG",1,0,0,0,1
"ARUNACHAL PRADESH","EAST SIANG",1,0,0,0,1
"ARUNACHAL PRADESH","PAPUMPARE",2,0,0,0,2
"ASSAM","BARPETA",23,0,0,0,23
"ASSAM","CACHAR",0,1,0,0,1
"ASSAM","DHUBRI",14,0,0,0,14
"ASSAM","GOALPARA",5,15,0,0,20
"ASSAM","JORHAT",4,6,0,0,10
"ASSAM","KOKRAJHAR",4,0,0,0,4
"ASSAM","LAKHIMPUR",11,27,18,2,58
"ASSAM","MORIGAON",14,4,0,0,18
"ASSAM","NAGOAN",1,0,0,1,2
"ASSAM","SIBSAGAR",3,0,0,0,3
"ASSAM","SONITPUR",0,0,0,1,1
"BIHAR","AURANGABAD",5534,125,527,17,6203
"BIHAR","BANKA",6792,920,130,5,7847
"BIHAR","BHAGALPUR",4111,527,247,3,4888
"BIHAR","BHOJPUR",2414,120,59,4,2597
"BIHAR","BUXAR",614,17,157,1,789
"BIHAR","EAST CHAMPARAN",22,0,0,0,22
"BIHAR","GAYA",14562,511,2806,3,17882
"BIHAR","GOPAALGANJ",4436,116,27,1,4580
"BIHAR","JAMUI",7552,964,169,10,8695
"BIHAR","JEHANABAD",2019,86,427,5,2537
"BIHAR","KAIMUR (BHABUA)",5554,122,2912,8,8596
"BIHAR","KATIHAR",5,0,10,0,15
"BIHAR","LAKHISARAI",975,149,11,0,1135
"BIHAR","MADHEPURA",2,2,0,0,4
"BIHAR","MADHUBANI",116,0,5,0,121
"BIHAR","MUNGER",3331,86,40,3,3460
"BIHAR","MUZAFFARPUR",103,5,0,0,108
"BIHAR","NALANDA",6465,391,13825,49,20730
"BIHAR","NAWADA",3203,735,1359,166,5463
"BIHAR","PATNA",2834,439,1691,7,4971
"BIHAR","ROHTAS(SASARAM)",5854,68,674,43,6639
"BIHAR","SARAN",10481,1400,72,28,11981
"BIHAR","SHEKHPURA",602,16,1,0,619
"BIHAR","SIWAN",13699,460,106,7,14272
"BIHAR","VAISHALI",484,31,508,0,1023
"CHHATTISGARH","BASTER",2153,1283,10,517,3963
"CHHATTISGARH","BILASPUR",9950,151,169,8,10278
"CHHATTISGARH","DANTEWADA",504,32,0,137,673
"CHHATTISGARH","DHAMTARI",3387,1106,965,361,5819
"CHHATTISGARH","DURG",6147,1520,473,476,8616
"CHHATTISGARH","JANJGIR-CHAMPA",12951,263,15,19,13248
"CHHATTISGARH","JASHPUR",24506,1814,31,23,26374
"CHHATTISGARH","KANKER",4800,660,75,1961,7496
"CHHATTISGARH","KORBA",6496,487,2,5,6990
"CHHATTISGARH","KORIA",17426,1084,7,9,18526
"CHHATTISGARH","KVARDHA",946,66,84,579,1675
"CHHATTISGARH","MAHASAMUND",4640,195,24,381,5240
"CHHATTISGARH","RAIGARH",15506,1415,18,30,16969
"CHHATTISGARH","RAIPUR",10984,3815,506,547,15852
"CHHATTISGARH","RAJNANDGAON",6606,648,107,97,7458
"CHHATTISGARH","SURGUJA",47258,8396,116,36,55806
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",570,2,0,0,572
"GOA","NORTH GOA",1962,1692,7,87,3748
"GOA","SOUTH GOA",835,526,0,7,1368
"GUJARAT","AHMEDABAD",9013,3779,573,49,13414
"GUJARAT","AMRELI",45246,35430,64,119,80859
"GUJARAT","ANAND",1392,39,512,58,2001
"GUJARAT","BANASKANTHA",38593,3494,8252,602,50941
"GUJARAT","BHARUCH",4142,256,558,7,4963
"GUJARAT","BHAVNAGAR",60489,57206,300,40,118035
"GUJARAT","DAHOD",25495,8387,65,73,34020
"GUJARAT","DANG",994,539,1,1,1535
"GUJARAT","GANDHINAGAR",32,0,3,0,35
"GUJARAT","JAMNAGAR",79836,3242,190,3,83271
"GUJARAT","JUNAGADH",130916,3102,23,71,134112
"GUJARAT","KACHCHH",21654,2598,6123,151,30526
"GUJARAT","KHEDA",13477,841,1471,13,15802
"GUJARAT","MEHSANA",4290,2974,471,88,7823
"GUJARAT","NARMADA",2459,289,24,0,2772
"GUJARAT","NAVSARI",11660,116,1027,2,12805
"GUJARAT","PANCHMAHAL",35693,8297,374,73,44437
"GUJARAT","PATAN",24,22,46,0,92
"GUJARAT","PORBANDAR",17253,5034,18,2,22307
"GUJARAT","RAJKOT",60358,34752,559,8015,103684
"GUJARAT","SABARKANTHA",68936,10264,5181,106,84487
"GUJARAT","SURAT",20662,218,264,6,21150
"GUJARAT","SURENDRANAGAR",20154,16207,594,160,37115
"GUJARAT","VADODARA",16496,1991,1598,20,20105
"GUJARAT","VALSAD",9123,183,1,2,9309
"HARYANA","AMBALA",237,0,80,30,347
"HARYANA","BHIWANI",2501,127,272,155,3055
"HARYANA","FATEHABAD",38,0,0,29,67
"HARYANA","GURGAON",5245,13,43,485,5786
"HARYANA","HISSAR",107,0,0,0,107
"HARYANA","JHAJJAR",1125,294,32,303,1754
"HARYANA","KAITHAL",660,22,50,29,761
"HARYANA","KARNAL",1084,3,500,2,1589
"HARYANA","MAHENDRAGARH",478,42,74,21,615
"HARYANA","PANCHKULA",63,0,0,29,92
"HARYANA","PANIPAT",623,39,1,56,719
"HARYANA","REWARI",586,19,16,46,667
"HARYANA","ROHTAK",140,22,21,29,212
"HARYANA","SIRSA",643,74,20,28,765
"HARYANA","SONEPAT",1556,20,6,79,1661
"HARYANA","YAMUNANAGAR",505,10,106,1,622
"HIMACHAL PRADESH","Bilaspur",34,1,0,0,35
"HIMACHAL PRADESH","Hamirpur",129,94,1,0,224
"HIMACHAL PRADESH","Kangra",139,116,0,1,256
"HIMACHAL PRADESH","Kullu",2,0,0,0,2
"HIMACHAL PRADESH","Mandi",8,0,0,2,10
"HIMACHAL PRADESH","Sirmaur",368,2,30,0,400
"HIMACHAL PRADESH","Solan",739,1,2,0,742
"HIMACHAL PRADESH","Una",203,1,23,0,227
"JAMMU & KASHMIR","ANANTNAG",1,1,0,0,2
"JAMMU & KASHMIR","BADGAM",0,0,1,0,1
"JAMMU & KASHMIR","BARAMULLA",7,12,10,0,29
"JAMMU & KASHMIR","JAMMU",146,84,1133,1,1364
"JAMMU & KASHMIR","KATHUA",73,31,981,2,1087
"JAMMU & KASHMIR","RAJOURI",1,0,0,0,1
"JAMMU & KASHMIR","SRINAGAR",6,13,2,0,21
"JAMMU & KASHMIR","UDHAMPUR",11,0,2,0,13
"JHARKHAND","BOKARO",12146,1223,16,4,13389
"JHARKHAND","CHATRA",14315,1201,10,19,15545
"JHARKHAND","DEOGHAR",12536,522,1,12,13071
"JHARKHAND","DHANBAD",6617,326,4,5,6952
"JHARKHAND","DUMKA",25884,1099,16,12,27011
"JHARKHAND","EAST SINGHBHUM",1729,25,0,0,1754
"JHARKHAND","GARHWA",18217,1655,19,12,19903
"JHARKHAND","GIRIDIH",22781,1445,48,20,24294
"JHARKHAND","GODDA",16607,1030,18,13,17668
"JHARKHAND","GUMLA",20806,2635,16,21,23478
"JHARKHAND","HAZARIBAGH",36470,3248,12,15,39745
"JHARKHAND","JAMTARA",7956,428,12,42,8438
"JHARKHAND","KODERMA",3755,110,0,1,3866
"JHARKHAND","LATEHAR",11421,978,2,7,12408
"JHARKHAND","LOHARDAGA",12750,762,10,34,13556
"JHARKHAND","PAKUR",431,20,1,38,490
"JHARKHAND","PALAMU",18907,793,77,12,19789
"JHARKHAND","RANCHI",35593,3737,34,29,39393
"JHARKHAND","SAHEBGANJ",1662,5,0,17,1684
"JHARKHAND","SARAIKELA",2501,143,2,2,2648
"JHARKHAND","SIMDEGA",15693,682,4,23,16402
"JHARKHAND","WEST SINGHBHUM",2018,45,0,8,2071
"KARNATAKA","Bagalkote",1854,9179,451,147,11631
"KARNATAKA","Bangalore",508,148,15,57,728
"KARNATAKA","Bangalore Rural",6344,2155,687,131,9317
"KARNATAKA","Belgaum",8964,55661,715,469,65809
"KARNATAKA","Bellary",1067,1650,134,9,2860
"KARNATAKA","Bidar",3802,11422,647,72,15943
"KARNATAKA","Bijapur",2542,38645,1322,602,43111
"KARNATAKA","Chamaraja Nagara",1970,3216,2130,12,7328
"KARNATAKA","Chikmagalur",906,352,37,5,1300
"KARNATAKA","Chitradurga",448,1353,396,117,2314
"KARNATAKA","Dakshina Kannada",13996,22055,555,319,36925
"KARNATAKA","Davanagere",120,474,107,86,787
"KARNATAKA","Dharwar",207,208,36,12,463
"KARNATAKA","Gadag",440,1666,57,38,2201
"KARNATAKA","Gulbarga",3047,15619,333,69,19068
"KARNATAKA","Hassan",612,945,165,37,1759
"KARNATAKA","Haveri",98,78,36,51,263
"KARNATAKA","Kodagu",67,55,0,0,122
"KARNATAKA","Kolar",6468,3688,808,232,11196
"KARNATAKA","Koppal",214,1608,271,35,2128
