-----
{
 "description": "The table refers to district wise distribution of shallow tubewells by status . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Districtshtbwl2.6.csv", 
 "title": "Download CSV for District wise Distribution of Shallow Tubewells by Status for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Districtshtbwl2.6.csv"
}
-----
State,District,In use,Not in use - Temporarily,Not in use - Salinity,Not in use - Dried up,Not in use - Destroyed,Not in use - Others,Total - Not in use,Grand total ( Use  + Not in use)
ANDHRA PRADESH,ADILABAD,7084,66,5,78,4,28,181,7265
ANDHRA PRADESH,ANANTHAPUR,20356,479,33,386,25,22,945,21301
ANDHRA PRADESH,CHITTOOR,9835,247,18,26,8,4,303,10138
ANDHRA PRADESH,CUDDAPAH,12264,183,14,332,4,12,545,12809
ANDHRA PRADESH,EAST GODAVARI,20471,278,13,38,20,27,376,20847
ANDHRA PRADESH,GUNTUR,15760,89,9,43,6,13,160,15920
ANDHRA PRADESH,KARIMNAGAR,869,112,0,3,4,2,121,990
ANDHRA PRADESH,KHAMMAM,3455,331,11,11,13,13,379,3834
ANDHRA PRADESH,KRISHNA,12178,145,220,7,1,144,517,12695
ANDHRA PRADESH,KURNOOL,8368,185,34,128,13,14,374,8742
ANDHRA PRADESH,MAHABOOB NAGAR,19684,1209,89,385,29,32,1744,21428
ANDHRA PRADESH,MEDAK,29231,1262,52,282,58,21,1675,30906
ANDHRA PRADESH,NALGONDA,13102,537,4,74,0,2,617,13719
ANDHRA PRADESH,NELLORE,29475,335,35,296,36,17,719,30194
ANDHRA PRADESH,NIZAMABAD,45528,602,33,29,10,5,679,46207
ANDHRA PRADESH,PRAKASAM,10537,330,20,27,25,23,425,10962
ANDHRA PRADESH,RANGA REDDY,14864,690,17,791,9,83,1590,16454
ANDHRA PRADESH,SRIKAKULUM,5595,38,4,17,22,7,88,5683
ANDHRA PRADESH,VIJAYA NAGARAM,3880,164,10,40,17,17,248,4128
ANDHRA PRADESH,VISAKHAPATNAM,5303,21,4,27,5,28,85,5388
ANDHRA PRADESH,WARANGAL,3402,94,7,4,1,3,109,3511
ANDHRA PRADESH,WEST GODAVARI,13117,897,19,37,2,4,959,14076
ASSAM,BARPETA,1675,445,24,94,47,78,688,2363
ASSAM,BONGAIGAON,593,259,0,0,0,0,259,852
ASSAM,CACHAR,1,0,0,0,0,0,0,1
ASSAM,DARRANG,1613,637,1,0,0,0,638,2251
ASSAM,DHEMAJI,424,291,2,0,0,0,293,717
ASSAM,DHUBRI,1869,612,1,0,1,5,619,2488
ASSAM,DIBRUGARH,1055,406,0,0,0,0,406,1461
ASSAM,GOALPARA,265,116,0,0,0,0,116,381
ASSAM,GOLAGHAT,176,277,0,27,10,5,319,495
ASSAM,HAILAKANDI,80,0,0,0,0,0,0,80
ASSAM,JORHAT,1468,22,0,0,0,0,22,1490
ASSAM,KAMRUP,892,334,0,0,20,22,376,1268
ASSAM,KARBI ANGLONG,80,0,1,0,0,0,1,81
ASSAM,KARIMGANJ,84,0,0,0,0,0,0,84
ASSAM,KOKRAJHAR,613,144,1,0,0,0,145,758
ASSAM,LAKHIMPUR,627,535,1,3,0,0,539,1166
ASSAM,MARIGAON,1114,280,1,0,0,0,281,1395
ASSAM,NAGAON,2500,757,0,0,0,0,757,3257
ASSAM,NALBARI,1038,283,6,61,20,9,379,1417
ASSAM,SIBSAGAR,752,34,0,1,0,1,36,788
ASSAM,SONITPUR,1931,668,10,5,136,117,936,2867
ASSAM,TINSUKIA,1308,87,0,2,1,14,104,1412
BIHAR,ARARIA,12603,96,0,256,112,24,488,13091
BIHAR,AURANGABAD,8257,351,0,94,48,27,520,8777
BIHAR,BANKA,5872,42,0,7,4,0,53,5925
BIHAR,BEGUSARAI,20913,91,38,156,314,11,610,21523
BIHAR,BHABUA,11562,55,0,12,8,4,79,11641
BIHAR,BHAGALPUR,10523,34,0,16,17,8,75,10598
BIHAR,BHOJPUR,14481,194,0,73,30,27,324,14805
BIHAR,BUXAR,12254,561,0,144,16,51,772,13026
BIHAR,CHAMPARAN EAST,30256,170,0,89,43,49,351,30607
BIHAR,CHAMPARAN WEST,20798,185,0,92,20,63,360,21158
BIHAR,CHATRA,141,0,0,0,1,0,1,142
BIHAR,DARBHANGA,11737,49,0,72,7,19,147,11884
BIHAR,DEOGHAR,1,0,0,0,0,0,0,1
BIHAR,DHANBAD,5,0,0,0,0,0,0,5
BIHAR,GAYA,24168,322,0,161,11,35,529,24697
BIHAR,GIRIDIH,369,0,0,0,0,0,0,369
BIHAR,GODDA,571,21,0,12,9,1,43,614
BIHAR,GOPALGANJ,16738,210,0,169,16,47,442,17180
BIHAR,HAZARIBAG,2,1,0,0,0,0,1,3
BIHAR,JAMUI,2979,66,0,103,5,0,174,3153
BIHAR,JEHANABAD,17504,266,19,13,9,14,321,17825
BIHAR,KATIHAR,24441,58,0,6,10,3,77,24518
BIHAR,KHAGARIA,10535,92,0,21,15,45,173,10708
BIHAR,KISHANGANJ,8387,140,0,52,348,20,560,8947
BIHAR,KODARMA,211,2,0,1,0,0,3,214
BIHAR,LAKHISARAI,4282,16,0,87,44,7,154,4436
BIHAR,MADHEPURA,13596,41,0,22,76,439,578,14174
BIHAR,MADHUBANI,13685,276,305,75,39,14,709,14394
BIHAR,MUNGER,3050,42,4,1,2,2,51,3101
BIHAR,MUZAFFARPUR,30431,295,40,46,65,19,465,30896
BIHAR,NALANDA,16062,406,0,100,33,8,547,16609
BIHAR,NAWADA,15469,238,0,171,19,4,432,15901
BIHAR,PAKUR,201,0,0,0,0,0,0,201
BIHAR,PATNA,22785,345,0,241,51,27,664,23449
BIHAR,PURNIA,23826,38,0,48,87,85,258,24084
BIHAR,RANCHI,90,0,0,0,0,0,0,90
