-----
{
 "description": "This table gives an over view of Ministry/Department - Wise Twelfth Five Year Plan (2012-17) Outlay for Transport Sectors. It gives the details regarding the Gross Budgetary Support (GBS) Outlay in the Twelfth Five Year plan (2012-17) and the Internal and Extra Budgetary Resources (IEBR). ", 
 "file_name": "12th_five_year_plan_outlay_for_transport_sectors.xls", 
 "title": "Download XLS for Ministry/Department \u2013 Wise Twelfth Five Year Plan (2012-17) Outlay for Various Transport Sectors", 
 "url": "http://data.gov.in/sites/default/files/12th_five_year_plan_outlay_for_transport_sectors.xls"
}
-----
"Name of Ministry/Department","Twelfth Plan (2012-17) GBS Outlays","IEBR"
"Ministry of Road Transport and Highways",144769.0,64834.0
"Ministry of Civil Aviation",16983.0,16215.0
"Ministry of Railways",194221.0,225000.0
"Ministry of Shipping",6960.0,21990.0
"PMGSY (part of Rural Development Allocation)",126491.0,0.0
