-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "MizoramNSDPconst.csv", 
 "title": "Download CSV for Mizoram Net State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/MizoramNSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003"
"Agriculture","0","0","0","0","0","0","0","0","17742","15939"
"Foresty and Logging","0","0","0","0","0","0","0","0","892","1145"
"Fishing","0","0","0","0","0","0","0","0","1259","1101"
"Mining and Quarrying","0","0","0","0","0","0","0","0","215","53"
"Sub total of primary","0","0","0","0","0","0","0","0","20108","18238"
"Manufacturing","0","0","0","0","0","0","0","0","1793","1852"
"Manu-Registered","0","0","0","0","0","0","0","0","476","469"
"Manu-Unregistered","0","0","0","0","0","0","0","0","1317","1383"
"Construction","0","0","0","0","0","0","0","0","10770","12657"
"Electricity, Gas and water Supply","0","0","0","0","0","0","0","0","-576","1103"
"Sub total of secondary","0","0","0","0","0","0","0","0","11987","15612"
"Transport Storage and Communication","0","0","0","0","0","0","0","0","3879","2055"
"Railways","0","0","0","0","0","0","0","0","1","6"
"Transport by other means","0","0","0","0","0","0","0","0","3161","688"
"Storage","0","0","0","0","0","0","0","0","0","3"
"Communication","0","0","0","0","0","0","0","0","717","1358"
"Trade, hotels and restaurants","0","0","0","0","0","0","0","0","9581","8179"
"Banking and Insurance","0","0","0","0","0","0","0","0","2287","3443"
"Real estate, ownership of dwelling and business","0","0","0","0","0","0","0","0","14010","15626"
"Pubic Administration","0","0","0","0","0","0","0","0","18420","21426"
"Other Services","0","0","0","0","0","0","0","0","14481","14328"
"Sub total of tertiary","0","0","0","0","0","0","0","0","62658","65057"
"State domestic product","0","0","0","0","0","0","0","0","94753","98907"

"Figures are in Rs. Lakh"
