-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 1993-94.", 
 "file_name": "TamilNaduGSDPconst_1.csv", 
 "title": "Download CSV for Tamil Nadu Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/TamilNaduGSDPconst_1.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","1287273","1438349","1242165","1227620","1347763","1475086","1392506","1457728","1457215","1111745","1081095","1252737"
"Foresty and Logging","41484","42433","41593","41740","43399","44726","47691","44159","43704","46757","45281","44867"
"Fishing","55545","60064","60296","64528","58394","66452","65748","66368","67255","65746","64977","73489"
"Mining and Quarrying","42173","46139","43560","42005","43650","41261","43972","52047","53472","57123","69183","69837"
"Sub total of primary","1426475","1586985","1387614","1375893","1493206","1627525","1549917","1620302","1621646","1281371","1260536","1440930"
"Manufacturing","1509247","1745847","1927539","1934767","1907226","1845965","2029151","2206588","2021638","2125430","2097417","2219010"
"Registered","972381","1108313","1249558","1254244","1236390","1188053","1279686","1382124","1217658","1254603","1309129","1381135"
"Unregistered","536866","637534","677981","680523","670836","657912","749465","824464","803980","870827","788288","837875"
"Construction","300252","339967","343132","364562","437391","491900","560120","551010","597077","623999","685100","696743"
"Electricity, Gas and water Supply","129468","157736","171196","190328","193100","215592","240166","296613","142357","268140","163732","181648"
"Sub total of secondary","1938967","2243550","2441867","2489657","2537717","2553457","2829437","3054211","2761072","3017569","2946249","3097401"
"Transport Storage and Communication","423289","473718","515870","554479","602296","641241","713146","804788","872784","955478","1060806","1183552"
"Railways","38832","39113","42428","43641","49400","51777","54661","57681","56894","55409","58965","59270"
"Transport by other means","282703","315437","330897","339292","362483","373041","388373","424929","419772","432262","437068","444451"
"Storage","6312","6241","6478","6475","6796","6822","7226","7376","7333","6963","7225","7457"
"Communication","95442","112927","136067","165071","183617","209601","262886","314802","388785","460844","557548","672374"
"Trade, hotels and restaurants","749813","908228","994031","1033716","1113753","1139518","1271130","1446156","1416996","1554703","1685828","1906807"
"Banking and Insurance","315188","353765","389052","538145","641593","621485","679458","641485","636922","710277","763169","776441"
"Real estate, ownership of dwelling and business","317781","325372","332713","340062","389829","423418","465267","526598","571860","619801","673957","738792"
"Pubic Administration","231218","222394","239678","266187","309608","372884","425767","448527","450070","429015","459872","478669"
"Other Services","352171","364436","401319","435440","522485","590814","523330","558998","569716","602110","645582","702247"
"Sub total of tertiary","2389460","2647913","2872663","3168029","3579564","3789360","4078098","4426552","4518348","4871384","5289214","5047716"
"State domestic product","5754902","6478448","6702144","7033579","7610487","7970342","8457452","9101065","8901065","9170324","9495999","10324839"

"Figures are in Rs. Lakh"
