-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "MadhyaPradeshNSDPcurrent_1.csv", 
 "title": "Download CSV for Madhya Pradesh Net State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/MadhyaPradeshNSDPcurrent_1.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006"
"Agriculture","1356884","1388472","1511835","1794500","1870795","2140927","2278883","1655551","2203899","1843473","2726620","2635209","2431539"
"Foresty and Logging","96715","119112","127233","132831","164986","162973","153816","174926","202342","198701","213024","235160","241833"
"Fishing","3240","4279","6456","8093","10854","11456","14471","15583","18330","15576","18887","24005","24460"
"Mining and Quarrying","94252","89406","97838","109844","127366","161147","240284","234479","288101","305395","403155","431649","489022"
"Sub total of primary","1551091","1601269","1743362","2045268","2174001","2476503","2687454","2080539","2712672","2363145","3361686","3326023","3186854"
"Manufacturing","401938","536013","621575","690094","781133","847246","910982","1066504","1057758","837435","882985","950663","1073053"
"Registered","212270","268017","328715","355084","408574","428585","471513","572407","544973","477930","499896","547454","637283"
"Unregistered","189668","267996","292860","335010","372559","418661","439469","494097","512785","359505","383089","403209","435770"
"Construction","183164","202372","229268","252889","263377","322857","592642","478302","518497","620138","718427","804102","943109"
"Electricity, Gas and water Supply","46001","49077","54797","48688","58909","116394","78694","113220","105611","150925","172707","195177","221599"
"Sub total of secondary","631103","787462","905640","991671","1103419","1286497","1582318","1658026","1681866","1608498","1774119","1949942","2237761"
"Transport Storage and Communication","151378","181205","195806","225383","253697","278850","304677","328693","460014","521946","575549","638122","736551"
"Railways","82267","100272","106301","100765","107269","86604","101118","111994","154137","175770","172992","176518","198823"
"Transport by other means","50273","56645","66619","86828","107579","144125","164962","175173","241296","273002","308680","351019","395681"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","18838","24288","22886","37790","38849","48121","38597","41526","64581","73174","93877","110585","142047"
"Trade, hotels and restaurants","408789","448447","525084","628402","706196","802779","875414","779323","914147","845849","1083639","1097647","1136823"
"Banking and Insurance","84380","101284","132783","166015","192672","201744","229173","257787","286285","341741","381845","421829","488958"
"Real estate, ownership of dwelling and business","206791","224096","237126","255116","272105","307699","350377","431015","477921","521212","551026","582501","625545"
"Pubic Administration","140835","153849","180639","201730","227856","307981","318583","323585","331355","351121","335367","364867","399076"
"Other Services","219360","245127","289153","345429","384115","477068","557095","596356","595418","622165","676346","762300","844787"
"Sub total of tertiary","1211533","1354008","1560591","1822075","2036641","2376121","2635319","2716759","3065140","3204034","3603772","3867266","4231740"
"State domestic product","3393727","3742739","4209593","4859014","5314061","6139121","6905091","6455324","7459678","7175677","8739577","9143231","9656355"

"Figures are in Rs. Lakh"
