-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 1993-94.", 
 "file_name": "HaryanaGSDPconst_3.csv", 
 "title": "Download CSV for Haryana Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/HaryanaGSDPconst_3.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","925330","990298","943219","1042455","961223","992804","1038454","1064861","1067378","1064485","1160834","1203194"
"Foresty and Logging","5752","6101","6220","6479","6396","6144","6040","6034","6417","6568","6469","6562"
"Fishing","3048","3257","3781","4052","4327","4391","4050","4460","4667","4753","5305","5712"
"Mining and Quarrying","5227","5322","4588","8966","6959","8856","9643","11818","14718","8644","10456","10974"
"Sub total of primary","939357","1004978","957808","1061952","978905","1012195","1058187","1087173","1093180","1084450","1183064","1226442"
"Manufacturing","414039","453846","498399","545685","581338","617531","654878","691480","725317","772444","839228","917744"
"Registered","278578","310851","346373","382080","410845","435165","462028","488330","513070","547836","597375","656362"
"Unregistered","135461","142995","152026","163605","170493","182366","192850","203150","212247","224608","241853","261382"
"Construction","154581","166114","173402","171212","181095","196967","206831","217062","235266","226878","237671","248335"
"Electricity, Gas and water Supply","12000","13490","14407","16263","17722","20461","20357","23935","24615","26084","27378","28164"
"Sub total of secondary","580620","633450","686208","733160","780155","834959","882066","932477","985198","1025406","1104277","1194243"
"Transport Storage and Communication","144353","150416","162639","185698","200059","228094","259442","288669","324899","379766","438738","505254"
"Railways","20630","21489","22923","25671","24659","26610","36595","39918","41226","45940","48888","52310"
"Transport by other means","107760","108808","115608","130567","136848","150873","162902","184111","205138","236263","274105","312389"
"Storage","1589","1769","1724","1654","1724","1796","1933","2015","2489","2908","2744","2920"
"Communication","14374","18350","22384","27806","36828","48815","58012","62625","76046","94655","113001","137635"
"Trade, hotels and restaurants","255778","273109","298360","362206","388089","381760","441935","542136","609823","661899","715834","815874"
"Banking and Insurance","53037","58591","63806","89663","109695","107952","138575","138240","143105","167742","180233","197175"
"Real estate, ownership of dwelling and business","79990","83223","86356","89800","93265","96866","100480","105431","109974","114425","119356","124549"
"Pubic Administration","55430","58417","59909","65553","68672","94764","93877","89409","90330","91872","97495","106206"
"Other Services","104565","107029","112544","121450","129425","144479","148471","153181","161533","168310","174116","180419"
"Sub total of tertiary","693153","730785","783614","914370","989205","1053915","1182780","1317066","1439664","1584014","1725772","1929477"
"State domestic product","2213130","2369213","2427630","2709482","2748265","2901069","3123033","3336716","3518042","3693870","4013113","4350162"

"Figures are in Rs. Lakh"
