-----
{
 "description": "This data pertains to public account disbursements (major head-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Public_Account_Disbursements_FY_2000-11.xls", 
 "title": "Download XLS for Public Account Disbursements FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Public_Account_Disbursements_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to revenue receipts (sector-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Revenue_Receipts_FY_2000-11.xls", 
 "title": "Download XLS for Revenue Receipts FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Revenue_Receipts_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to public account receipts (major head-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Public_Account_Receipts_FY_2000-11.xls", 
 "title": "Download XLS for Public Account Receipts FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Public_Account_Receipts_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to total expenditure and disbursements (sector-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Total_Expenditure_And_Disbursements_FY_2000-11.xls", 
 "title": "Download XLS for Total Expenditure And Disbursements FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Total_Expenditure_And_Disbursements_FY_2000-11.xls"
}
-----
"Sector","Cat","Identity","FY 00","FY 01","FY 02","FY 03","FY 04","FY 05","FY 06","FY 07","FY 08","FY 09","FY 10","FY 11"
"LAOT-D","A","A Union Govt",22378.9416,21585.7084,25506.2309,29597.3958,26482.8368,25795.4218,6351.485,5382.2652,7080.3116,8321.9234,8570.5964,11021.6772
"LAOT-D","B","A UT Puducherry",7.5769,10.5046,7.1154,5.1369,4.4149,5.1087,3.0701,2.0187,2.5594,2.4453,2.1553,2.0272
"LAOT-D","B","Andhra Pradesh",60.0887,85.8195,86.0513,77.5671,55.3457,56.2239,59.5928,73.6876,95.6855,92.4142,80.7877,102.3775
"LAOT-D","B","Arunachal Pradesh",1.7894,2.401,2.9911,2.8745,3.1423,3.1161,0.8008,3.1874,2.7866,1.7102,1.7515,3.1611
"LAOT-D","B","Assam",58.2988,111.9562,11.8283,84.0295,20.8687,2.9913,2.5726,3.7823,2.8737,3.4519,2.2385,0.0985
"LAOT-D","B","Bihar",0.0,19.1969,6.8482,5.1149,1.9447,2.6542,3.6802,7.2081,7.3309,7.192,7.1162,14.8629
"LAOT-D","B","Chattisgarh",14.6534,0.28,1.3634,2.6803,1.2939,0.1673,0.0577,0.0,0.0,0.0,0.0,0.0
"LAOT-D","B","D NCT Delhi",863.0444,957.5562,1267.5956,765.0777,622.737,978.9805,563.8242,1275.8547,863.4684,960.7845,2048.1699,2564.7852
"LAOT-D","B","Goa",7.7077,9.1318,4.2779,2.8796,2.5584,2.5014,3.7279,3.3046,13.3476,22.467,33.2288,11.4058
"LAOT-D","B","Gujarat",136.3232,148.2216,121.1654,116.4951,90.5286,95.1189,75.2697,44.6986,46.9922,69.6807,77.2241,60.8258
"LAOT-D","B","Haryana",51.5462,71.3253,87.702,94.9835,91.05,101.0985,141.5593,149.6516,155.5816,189.8685,189.6152,188.6045
"LAOT-D","B","Himachal Pradesh",0.0,31.8665,14.0275,24.947,12.7486,6.3943,11.3404,12.9115,10.3434,10.3914,5.9562,7.9013
"LAOT-D","B","Jammu and Kashmir",37.7172,1.1926,0.8419,3.9851,2.7277,1.5606,1.0013,0.6019,0.6354,0.2968,1.2434,0.5936
"LAOT-D","B","Jharkhand",0.794,0.6241,8.6976,11.6669,11.3106,10.5665,15.7412,13.9688,11.5552,7.2597,12.2858,11.632
"LAOT-D","B","Karnataka",11.5293,9.2386,43.5961,65.1504,45.6856,60.9146,15.9479,3.5667,1.5144,2.5979,5.1187,1.516
"LAOT-D","B","Kerala",77.5879,68.3911,38.055,4.8283,3.8664,4.8161,5.1639,6.2079,6.5113,5.0266,54.4384,53.7447
"LAOT-D","B","Madhya Pradesh",10.7175,16.5326,7.6242,1.3476,0.6626,0.3045,0.1199,0.0263,0.0525,0.0986,0.0057,0.0034
"LAOT-D","B","Maharastra",2652.7401,-1269.567,-1439.1751,189.908,64.684,409.4398,264.7358,398.2915,500.6626,476.1424,237.3698,239.8798
"LAOT-D","B","Manipur",0.8418,0.391,0.3843,0.2016,0.2126,0.045,0.126,5.2858,3.851,0.3418,0.193,0.2485
"LAOT-D","B","Meghalaya",54.2075,39.3069,13.0445,17.5368,18.6788,9.3763,2.9427,3.6765,7.1829,6.9515,16.1361,15.1913
"LAOT-D","B","Mizoram",0.3751,1.8882,2.8769,0.1007,0.5046,0.45,0.1,0.25,1.9773,5.277,19.7726,22.718
