-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 1993-94.", 
 "file_name": "AndhraGSDPcurrent.csv", 
 "title": "Download CSV for Andhra Pradesh Gross State Domestic Product at factor cost at Current Prices for the year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/AndhraGSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006"
"Agriculture","1742176","2036779","2354735","2666302","2407819","3257344","3235780","3673378","3687600","3423800","4137900","4408600","4871500"
"Foresty and Logging","66862","80487","99928","111737","127339","148862","160011","165359","161900","170600","177000","186700","195500"
"Fishing","117289","145316","161394","180370","212711","260257","318855","417775","502800","625000","647500","617100","692900"
"Mining and Quarrying","141197","155632","169764","193165","263152","283660","362590","405115","476900","535100","585700","647400","731600"
"Sub total of primary","2067524","2418214","2785821","3151574","3011021","3950123","4077236","4661627","4829200","4754500","5548100","5859800","6491500"
"Manufacturing","837239","1024348","1209147","1326776","1474452","1613464","1679066","1708901","1893300","2105100","2293600","2548500","2796800"
"Registered","568429","697763","801232","890147","976095","1065961","1117879","1126191","1256400","1426000","1557600","1742200","1914200"
"Unregistered","268810","326585","407915","436629","498357","547503","561187","582710","636900","679100","736000","806300","882600"
"Construction","287294","357772","402129","444963","528165","611539","722587","830129","957200","1079900","1227500","1390800","1572000"
"Electricity, Gas and water Supply","143866","201165","209602","242353","271213","337389","376929","400988","353500","493700","513800","566500","607100"
"Sub total of secondary","1268399","1583285","1820878","2014092","2273830","2562392","2778582","2940018","3204000","3678700","4034900","4505800","4975900"
"Transport Storage and Communication","376765","431824","517846","589452","680337","753356","862545","963424","1069400","1208900","1392800","1580200","1784300"
"Railways","89978","100865","124920","140958","162550","146484","171944","188411","200200","224000","228700","256600","289700"
"Transport by other means","224489","258137","306035","341053","386285","436326","494988","553327","627300","711000","828600","923000","1021000"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","62298","72822","86891","107441","131502","170546","195613","221686","241900","273900","335500","400600","473600"
"Trade, hotels and restaurants","756185","928947","1073856","1260014","1304047","1575665","1682918","1860914","1995700","2143900","2386600","2600600","2887800"
"Banking and Insurance","204498","248416","339028","363885","413750","460130","515776","600129","755100","892000","984800","1104900","1241800"
"Real estate, ownership of dwelling and business","382707","423765","473934","527990","596578","697969","805223","927847","1071700","1215000","1394400","1557200","1751600"
"Pubic Administration","250240","298022","336937","379233","442331","509668","623005","704552","736400","808000","872600","964800","1095200"
"Other Services","480346","559864","637058","728503","856333","984407","1178295","1353415","1486800","1637500","1832100","2084200","2361100"
"Sub total of tertiary","2450741","2890838","3378659","3849077","4293376","4981195","5667762","6410281","7115100","7905300","8863300","9891900","11121800"
"State domestic product","5786664","6892337","7985358","9014743","9578227","11493710","12523580","14011926","15148200","16338500","18446300","20257500","22589200"

"Figures are in Rs. Lakh"
