-----
{
 "description": "The table refers to Block wise Distribution of Deep Tubewells in use and their Potential Created/ Utilised according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwldistr3.15.csv", 
 "title": "Download CSV for Blockwise Distribution of Deep Tubewells in use and their Potential Created/ Utilised according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/dptbwldistr3.15.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No. in use - Public,No. in use - Private,No. in use - Total,Potential created (Ha) - Public,Potential created (Ha) - Private,Potential created (Ha) - Total,Potential utilised (Ha) - Public,Potential utilised (Ha) - Private,Potential utilised (Ha) - Total
ANDHRA PRADESH,ADILABAD,CHENNUR,0,20,20,0,48,48,0,48,48
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,JAIPUR,0,17,17,0,25,25,0,25,25
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,0,17,17,0,63,63,0,63,63
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,0,2,2,0,17,17,0,17,17
ANDHRA PRADESH,ADILABAD,SIRPUR (T),0,1,1,0,24,24,0,24,24
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,0,560,560,0,1857,1857,0,1296,1296
ANDHRA PRADESH,CHITTOOR,B KOTHAKOTA,2,626,628,4,803,807,2,386,388
ANDHRA PRADESH,CHITTOOR,BAIREDDI PALLE,0,336,336,0,571,571,0,449,449
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,0,619,619,0,1099,1099,0,903,903
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,0,170,170,0,294,294,0,294,294
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,0,73,73,0,104,104,0,101,101
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,0,81,81,0,347,347,0,141,141
ANDHRA PRADESH,CHITTOOR,CHITTOOR,0,390,390,0,432,432,0,420,420
ANDHRA PRADESH,CHITTOOR,CHOWDEPALLE,0,596,596,0,1550,1550,0,1172,1172
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,1,1210,1211,1,2607,2608,0,1657,1658
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,0,1012,1012,0,1509,1509,0,1158,1158
ANDHRA PRADESH,CHITTOOR,GUDI PALLE,0,510,510,0,1059,1059,0,811,811
ANDHRA PRADESH,CHITTOOR,GUDIPALA,0,287,287,0,452,452,0,348,348
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,0,819,819,0,1248,1248,0,1164,1164
ANDHRA PRADESH,CHITTOOR,IRALA,0,766,766,0,888,888,0,714,714
ANDHRA PRADESH,CHITTOOR,K V P PURAM,0,81,81,0,147,147,0,122,122
ANDHRA PRADESH,CHITTOOR,KALAKADA,0,142,142,0,208,208,0,132,132
ANDHRA PRADESH,CHITTOOR,KALIKIRI,0,21,21,0,29,29,0,16,16
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,0,243,243,0,499,499,0,372,372
ANDHRA PRADESH,CHITTOOR,KUPPAM,0,1394,1394,0,2933,2933,0,2264,2264
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,0,592,592,0,1208,1208,0,869,869
ANDHRA PRADESH,CHITTOOR,MANDANPALLE,3,707,710,8,1114,1122,8,913,921
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,0,404,404,0,578,578,0,468,468
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,0,419,419,0,898,898,0,550,550
ANDHRA PRADESH,CHITTOOR,PAKALA,0,2,2,0,4,4,0,1,1
ANDHRA PRADESH,CHITTOOR,PALAMANER,0,366,366,0,589,589,0,564,564
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,0,185,185,0,432,432,0,295,295
ANDHRA PRADESH,CHITTOOR,PEDDA PANJANI,0,780,780,0,1553,1553,0,1110,1110
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,0,398,398,0,860,860,0,729,729
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMUDRAM,0,1120,1120,0,1465,1465,0,1292,1292
ANDHRA PRADESH,CHITTOOR,PENUMURU,0,1000,1000,0,1314,1314,0,1175,1175
ANDHRA PRADESH,CHITTOOR,PICHATUR,0,66,66,0,207,207,0,207,207
ANDHRA PRADESH,CHITTOOR,PILERU,0,419,419,0,1438,1438,0,876,876
ANDHRA PRADESH,CHITTOOR,PULICHERLA,0,882,882,0,2292,2292,0,1329,1329
ANDHRA PRADESH,CHITTOOR,PUNGANUR,2,1478,1480,2,2378,2380,1,1754,1755
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,3,104,107,6,275,281,5,156,161
ANDHRA PRADESH,CHITTOOR,RAMA KUPPAM,0,175,175,0,257,257,0,184,184
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,3,1204,1207,5,2409,2414,5,1727,1732
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,2,839,841,5,1547,1552,4,814,818
ANDHRA PRADESH,CHITTOOR,SANTHI PURAM,0,1392,1392,0,1875,1875,0,987,987
ANDHRA PRADESH,CHITTOOR,SATYAVEDU,0,65,65,0,92,92,0,55,55
ANDHRA PRADESH,CHITTOOR,SODAM,1,675,676,2,1288,1289,1,872,873
ANDHRA PRADESH,CHITTOOR,SOMALA,0,639,639,0,1090,1090,0,644,644
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,1,11,12,16,47,63,14,47,60
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,0,71,71,0,133,133,0,117,117
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,6,459,465,21,699,720,21,655,676
ANDHRA PRADESH,CHITTOOR,THAVANAMPALLE,0,1605,1605,0,1169,1169,0,725,725
ANDHRA PRADESH,CHITTOOR,TIRUPATI RURAL,0,1,1,0,3,3,0,3,3
ANDHRA PRADESH,CHITTOOR,TIRUPATI URBAN,0,5,5,0,15,15,0,15,15
ANDHRA PRADESH,CHITTOOR,VAYALPAD,7,715,722,9,853,862,9,742,752
ANDHRA PRADESH,CHITTOOR,VEDURU KUPPAM,0,195,195,0,305,305,0,138,138
ANDHRA PRADESH,CHITTOOR,VENKATAGIRI KOTA,11,1040,1051,9,1272,1280,8,1050,1058
ANDHRA PRADESH,CHITTOOR,YADAMARI,0,693,693,0,1121,1121,0,1082,1082
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,0,146,146,0,309,309,0,244,244
ANDHRA PRADESH,CUDDAPAH,A.KASINAYANI,1,591,592,5,3574,3580,4,2675,2680
ANDHRA PRADESH,CUDDAPAH,ATLUR,3,543,546,11,2885,2896,7,1924,1932
ANDHRA PRADESH,CUDDAPAH,B KODUR,1,478,479,3,1660,1663,3,1169,1172
ANDHRA PRADESH,CUDDAPAH,BADVEL,66,353,419,198,1676,1875,135,1154,1289
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATTAM,39,807,846,136,3553,3689,67,2426,2493
ANDHRA PRADESH,CUDDAPAH,CHAKRAYAPET,0,92,92,0,374,374,0,208,208
ANDHRA PRADESH,CUDDAPAH,CHENNUR,0,31,31,0,72,72,0,69,69
ANDHRA PRADESH,CUDDAPAH,CHINNAMANDEM,0,257,257,0,581,581,0,322,322
ANDHRA PRADESH,CUDDAPAH,CHINTHA KOMMADINNE,2,694,696,3,3663,3666,3,3491,3494
ANDHRA PRADESH,CUDDAPAH,CHITVEL,0,807,807,0,1802,1802,0,1800,1800
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,0,160,160,0,742,742,0,696,696
ANDHRA PRADESH,CUDDAPAH,DUVVUR,3,824,827,11,2694,2705,11,2676,2688
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,0,275,275,0,958,958,0,545,545
ANDHRA PRADESH,CUDDAPAH,GOPAVARAM,3,106,109,11,397,407,6,306,313
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,0,20,20,0,72,72,0,62,62
ANDHRA PRADESH,CUDDAPAH,KALASAPADU,1,971,972,4,3321,3325,4,3319,3323
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,0,15,15,0,65,65,0,23,23
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,1,492,493,8,1963,1971,1,1424,1425
ANDHRA PRADESH,CUDDAPAH,KODUR,0,693,693,0,1270,1270,0,1267,1267
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,0,54,54,0,140,140,0,139,139
ANDHRA PRADESH,CUDDAPAH,LINGALA,0,709,709,0,4126,4126,0,2750,2750
ANDHRA PRADESH,CUDDAPAH,MUDDANUR,0,556,556,0,2571,2571,0,2233,2233
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,0,48,48,0,111,111,0,98,98
ANDHRA PRADESH,CUDDAPAH,NANDALUR,0,217,217,0,507,507,0,168,168
ANDHRA PRADESH,CUDDAPAH,OBULAVARIPALLE,59,1071,1130,192,3092,3284,38,754,792
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,0,103,103,0,265,265,0,166,166
ANDHRA PRADESH,CUDDAPAH,PENAGALURU,0,721,721,0,1443,1443,0,1440,1440
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,0,225,225,0,1111,1111,0,902,902
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,0,777,777,0,3982,3982,0,2944,2944
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA,0,678,678,0,4059,4059,0,2944,2944
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,1,1245,1246,2,4996,4999,2,1649,1652
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,2,894,896,5,2573,2578,5,1543,1549
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,0,177,177,0,555,555,0,317,317
