-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 1993-94.", 
 "file_name": "UttarakhandGSDPcurrent_1.csv", 
 "title": "Download CSV for Uttarakhand Gross State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/UttarakhandGSDPcurrent_1.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","192419","239520","281124","288574","305390","333119","369793","413936","388956","410510","440235","467680"
"Foresty and Logging","26843","26800","28135","23686","28943","43747","45000","38432","43784","50065","53453","56589"
"Fishing","451","481","506","526","585","684","720","729","739","783","787","919"
"Mining and Quarrying","8272","8963","8416","6470","6256","9694","14276","11666","13660","17535","37852","39654"
"Sub total of primary","227985","275764","318181","319256","341174","387244","429789","464763","447139","478893","532327","564842"
"Manufacturing","80671","123861","91712","113155","110770","84919","86535","134830","126977","147052","172930","216334"
"Registered","69480","109532","74310","94919","90321","63016","62034","107963","99368","117951","140208","180348"
"Unregistered","11191","14329","17402","18236","20449","21903","24501","26867","27609","29101","32722","35986"
"Construction","39940","43368","55542","64486","77312","103557","101305","106728","151453","195217","220307","271936"
"Electricity, Gas and water Supply","12200","16029","17352","17726","21591","25618","25057","21630","34837","48657","51702","62788"
"Sub total of secondary","132811","183258","164606","195367","209673","214094","212897","263188","313267","390926","444939","551058"
"Transport Storage and Communication","24193","27982","31246","36419","40443","46874","51060","65029","71469","77209","88362","100745"
"Railways","2452","2606","3035","3190","3616","3972","4166","3912","4719","5443","5556","6261"
"Transport by other means","17114","18840","20984","24813","29105","34077","37488","42337","46341","50098","57115","65519"
"Storage","682","806","912","952","1110","1659","1818","2062","2254","2277","2485","2686"
"Communication","3945","5730","6315","7464","6612","7166","7588","16718","18155","19391","23206","26279"
"Trade, hotels and restaurants","44135","47449","52086","59165","60716","65347","68486","86522","91310","99009","115835","134273"
"Banking and Insurance","24891","29610","37917","49177","57227","55952","62074","69521","78259","96617","107059","123773"
"Real estate, ownership of dwelling and business","38585","41630","44836","48490","52458","59048","68192","79826","93745","106955","123459","145170"
"Pubic Administration","31502","33697","42830","46779","58472","66002","74959","79812","98832","100809","108732","144486"
"Other Services","44455","52028","61202","69509","78281","100079","104911","115037","124112","155944","216254","256187"
"Sub total of tertiary","207761","232396","270117","309539","347597","393302","429682","495747","557727","636543","759701","904634"
"State domestic product","568556","691419","752905","824163","898444","994640","1072369","1223699","1318132","1506362","1736967","2020533"

"Figures are in Rs. Lakh"
