-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 1993-94.", 
 "file_name": "BiharGSDPcurrent.csv", 
 "title": "Download CSV for Bihar Gross State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/BiharGSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006"
"Agriculture","1032734","1182268","985920","1450955","1299136","1602449","1501170","1680374","1589267","1869998","1654066","1825458","1845783"
"Foresty and Logging","44197","49479","53445","58251","65048","74491","82796","90142","92356","97594","103361","109679","116340"
"Fishing","32582","35837","41789","50329","52406","59022","69415","82251","102849","112298","118647","113248","126828"
"Mining and Quarrying","3354","8001","2804","3290","3605","9269","9451","10892","17893","8388","8756","8757","8747"
"Sub total of primary","1112867","1275585","1083958","1562825","1420195","1745231","1662832","1863659","1802365","2088278","1884830","2057142","2097698"
"Manufacturing","121232","113830","111232","120776","204216","150252","204801","188693","180032","261007","283621","309759","338018"
"Registered","57798","36607","43999","45088","72206","76628","105610","86323","75134","145921","161125","178757","198085"
"Unregistered","63434","77223","67233","75688","132010","73624","99191","102370","104898","115086","122496","131002","139933"
"Construction","77202","74423","87313","99792","107854","140030","193356","242426","206885","206389","234311","248605","263586"
"Electricity, Gas and water Supply","28052","38014","46681","62704","71690","59706","84290","64531","81579","86892","94931","104299","114741"
"Sub total of secondary","226486","226267","245226","283272","383760","349988","482447","495650","468496","554288","612863","662663","716345"
"Transport Storage and Communication","108726","131145","135933","148614","172544","189012","209621","244134","266130","290820","311555","336216","363166"
"Railways","59967","71079","72770","74429","88064","85122","96562","113694","127350","137228","140083","142997","145972"
"Transport by other means","33734","38131","38888","48596","54342","65062","72386","77711","79540","86904","90553","97461","103876"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","15025","21935","24275","25589","30138","38828","40673","52729","59240","66688","80919","95758","113318"
"Trade, hotels and restaurants","334743","386428","336707","495804","532892","630266","664227","781596","727347","827822","786901","852595","886586"
"Banking and Insurance","57820","66634","85995","118054","141772","154327","159157","179891","208388","230055","248862","269206","291214"
"Real estate, ownership of dwelling and business","81640","91157","102265","111309","122061","142755","156660","182864","227413","260414","295370","335498","381366"
"Pubic Administration","174194","200416","208000","238762","273686","331260","383379","395906","489483","473172","540703","598327","661684"
"Other Services","184722","216849","250263","295444","319244","360480","505276","553237","519353","591253","548863","602888","662684"
"Sub total of tertiary","941845","1092629","1119163","1407987","1562199","1808100","2078320","2337628","2438114","2673536","2732254","2994730","3246700"
"State domestic product","2281198","2594481","2448347","3254084","3366154","3903319","4223599","4696937","4708975","5316102","5229947","5714535","6060743"

"Figures are in Rs. Lakh"
