-----
{
 "description": "The table refers to District wise Distribution of Dugwells according to Horse Power of Lifting Device. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlState1.10.csv", 
 "title": "Download CSV for Districtwise Distribution of Dugwells according to Horse Power of Lifting Device", 
 "url": "http://data.gov.in/sites/default/files/dgwlState1.10.csv"
}
-----
"State","District","Horse Power (0-2)","Horse Power (2 - 4)","Horse Power (4 - 6)","Horse Power (6 -8)","Horse Power (8 - 10)","Horse Power (Above 10)","Unspecified","Total"
"ANDAMAN & NICOBARS","NICOBAR",4,0,1,0,0,0,3,8
"ANDHRA PRADESH","ADILABAD",708,17393,8595,34,27,88,545,27390
"ANDHRA PRADESH","ANANTHAPUR",291,3131,43474,4009,217,185,1630,52937
"ANDHRA PRADESH","CHITTOOR",618,55215,52141,2361,324,349,5615,116623
"ANDHRA PRADESH","CUDDAPAH",0,5545,33071,1890,397,234,646,41783
"ANDHRA PRADESH","EAST GODAVARI",12,34,751,1033,229,68,80,2207
"ANDHRA PRADESH","GUNTUR",444,1465,3831,12,13,23,7603,13391
"ANDHRA PRADESH","KARIMNAGAR",233,187438,18811,112,190,106,1110,208000
"ANDHRA PRADESH","KHAMMAM",363,25354,11864,232,79,0,1080,38972
"ANDHRA PRADESH","KRISHNA",92,4378,10174,1074,370,65,799,16952
"ANDHRA PRADESH","KURNOOL",53,978,32213,489,94,59,856,34742
"ANDHRA PRADESH","MAHABOOBNAGAR",288,10387,79783,289,74,246,742,91809
"ANDHRA PRADESH","MEDAK",175,18346,33344,22,7,0,225,52119
"ANDHRA PRADESH","NALGONDA",269,48050,53439,420,385,209,6619,109391
"ANDHRA PRADESH","NELLORE",27,3080,30534,417,33,86,1062,35239
"ANDHRA PRADESH","NIZAMABAD",59,5077,11574,18,3,115,0,16846
"ANDHRA PRADESH","PRAKASAM",811,2228,8371,171,173,105,15256,27115
"ANDHRA PRADESH","RANGAREDDY",165,15662,12968,108,27,95,1015,30040
"ANDHRA PRADESH","SRIKAKULAM",375,4990,4048,5,6,64,26901,36389
"ANDHRA PRADESH","VISAKHAPATNAM",13578,1426,1237,9,3,13,10089,26355
"ANDHRA PRADESH","VIZIANAGARAM",184,5432,3812,18,10,26,26314,35796
"ANDHRA PRADESH","WARANGAL",1365,144620,9866,249,67,583,3956,160706
"ANDHRA PRADESH","WEST GODAVARI",0,0,4969,2735,2259,444,7,10414
"ARUNACHAL PRADESH","CHANGLANG",0,0,0,0,0,1,0,1
"ARUNACHAL PRADESH","EAST SIANG",0,0,0,0,1,0,0,1
"ARUNACHAL PRADESH","PAPUMPARE",0,0,1,0,1,0,0,2
"ASSAM","BARPETA",0,0,23,0,0,0,0,23
"ASSAM","CACHAR",0,0,1,0,0,0,0,1
"ASSAM","DHUBRI",1,0,13,0,0,0,0,14
"ASSAM","GOALPARA",0,0,7,0,0,0,13,20
"ASSAM","JORHAT",0,0,10,0,0,0,0,10
"ASSAM","KOKRAJHAR",0,0,4,0,0,0,0,4
"ASSAM","LAKHIMPUR",0,0,58,0,0,0,0,58
"ASSAM","MORIGAON",0,0,18,0,0,0,0,18
"ASSAM","NAGOAN",0,0,2,0,0,0,0,2
"ASSAM","SIBSAGAR",0,0,3,0,0,0,0,3
"ASSAM","SONITPUR",0,0,1,0,0,0,0,1
"BIHAR","AURANGABAD",24,451,2806,78,4,4,2836,6203
"BIHAR","BANKA",51,146,4415,11,2,1,3221,7847
"BIHAR","BHAGALPUR",99,263,2533,71,7,0,1915,4888
"BIHAR","BHOJPUR",278,2,776,837,3,2,699,2597
"BIHAR","BUXAR",0,1,131,157,159,0,341,789
"BIHAR","EAST CHAMPARAN",0,0,0,0,0,0,22,22
"BIHAR","GAYA",172,758,11153,328,56,7,5408,17882
"BIHAR","GOPAALGANJ",637,40,690,84,0,1,3128,4580
"BIHAR","JAMUI",38,247,1827,2,0,6,6575,8695
"BIHAR","JEHANABAD",1,65,2005,10,1,1,454,2537
"BIHAR","KAIMUR (BHABUA)",7,2237,2920,2974,246,2,210,8596
"BIHAR","KATIHAR",0,0,15,0,0,0,0,15
"BIHAR","LAKHISARAI",15,1,257,3,0,0,859,1135
"BIHAR","MADHEPURA",0,0,0,0,0,0,4,4
"BIHAR","MADHUBANI",1,0,61,0,0,0,59,121
"BIHAR","MUNGER",41,99,1913,25,6,1,1375,3460
"BIHAR","MUZAFFARPUR",0,0,62,0,1,1,44,108
"BIHAR","NALANDA",347,614,18778,158,73,11,749,20730
"BIHAR","NAWADA",111,310,1062,12,1,11,3956,5463
"BIHAR","PATNA",2,328,3548,42,4,3,1044,4971
"BIHAR","ROHTAS(SASARAM)",12,1189,3808,1175,90,3,362,6639
"BIHAR","SARAN",46,1,1648,19,1,0,10266,11981
"BIHAR","SHEKHPURA",0,2,473,0,0,0,144,619
"BIHAR","SIWAN",0,0,1,3,0,0,14268,14272
"BIHAR","VAISHALI",1,8,879,30,0,1,104,1023
"CHHATTISGARH","BASTER",185,93,717,2,0,3,2963,3963
"CHHATTISGARH","BILASPUR",866,1198,7592,11,2,13,596,10278
"CHHATTISGARH","DANTEWADA",56,35,336,1,0,2,243,673
"CHHATTISGARH","DHAMTARI",901,1214,1071,2,1,3,2627,5819
"CHHATTISGARH","DURG",693,2553,1768,13,12,5,3572,8616
"CHHATTISGARH","JANJGIR-CHAMPA",904,1036,10292,1,0,22,993,13248
"CHHATTISGARH","JASHPUR",425,110,18505,1,1,26,7306,26374
"CHHATTISGARH","KANKER",757,407,860,0,0,2,5470,7496
"CHHATTISGARH","KORBA",390,31,5071,0,11,20,1467,6990
"CHHATTISGARH","KORIA",824,3,12500,0,1,14,5184,18526
"CHHATTISGARH","KVARDHA",169,114,380,4,0,0,1008,1675
"CHHATTISGARH","MAHASAMUND",585,407,1775,4,1,5,2463,5240
"CHHATTISGARH","RAIGARH",544,95,12375,3,0,4,3948,16969
"CHHATTISGARH","RAIPUR",1974,1481,2122,10,5,10,10250,15852
"CHHATTISGARH","RAJNANDGAON",749,1289,1113,9,5,16,4277,7458
"CHHATTISGARH","SURGUJA",3777,779,29542,12,2,198,21496,55806
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",31,154,333,6,43,1,4,572
"GOA","NORTH GOA",926,523,353,13,12,11,1910,3748
"GOA","SOUTH GOA",293,390,257,31,34,13,350,1368
"GUJARAT","AHMEDABAD",4186,98,4046,1334,1384,201,2165,13414
"GUJARAT","AMRELI",27,2494,77795,266,60,10,207,80859
