-----
{
 "description": "The table refers to Block wise Distribution of Dugwells by type. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.5.csv", 
 "title": "Download CSV for Blockwise Distribution of Dugwells by type", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.5.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Pucca,Kuchcha,"Dug-cum
Borewell",Others,"Total
"
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,0,0,716,0,716
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,223,383,1,2,609
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,154,129,162,1,446
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,92,66,71,0,229
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,71,76,449,99,695
ANDHRA PRADESH,ANANTHAPUR,BUKKAPATNAM,859,8,38,1,906
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,284,208,1330,0,1822
ANDHRA PRADESH,ANANTHAPUR,CHENNE KOTHAPALLE,664,94,23,0,781
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,614,524,200,10,1348
ANDHRA PRADESH,ANANTHAPUR,D.HIRCHAL,130,263,220,0,613
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,279,398,984,0,1661
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,109,656,27,1,793
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,161,263,297,0,721
ANDHRA PRADESH,ANANTHAPUR,GOOTY,172,235,79,0,486
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,339,849,30,0,1218
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,459,170,14,1,644
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATTA,51,31,630,0,712
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,75,284,175,0,534
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,355,189,380,21,945
ANDHRA PRADESH,ANANTHAPUR,KADIRI,284,322,26,0,632
ANDHRA PRADESH,ANANTHAPUR,KALYANDURG,48,77,921,8,1054
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,266,408,149,2,825
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,279,486,152,3,920
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,34,58,86,8,186
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,540,800,100,0,1440
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,5,401,405,0,811
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,31,185,796,0,1012
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,284,55,255,0,594
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,480,912,87,17,1496
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,15,1152,102,1,1270
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,2,518,18,1,539
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,429,561,31,7,1028
ANDHRA PRADESH,ANANTHAPUR,NAMBULIPULIKUNTA,297,612,73,1,983
ANDHRA PRADESH,ANANTHAPUR,NARPALA,388,995,453,3,1839
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,906,206,32,0,1144
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,135,220,13,0,368
ANDHRA PRADESH,ANANTHAPUR,PARIGI,438,144,135,13,730
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,13,1,363,0,377
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,17,4,7,1,29
ANDHRA PRADESH,ANANTHAPUR,PENU KONDA,734,231,271,5,1241
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,19,1640,14,4,1677
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,587,79,141,20,827
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,215,305,9,5,534
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,138,104,381,1,624
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,31,100,553,36,720
ANDHRA PRADESH,ANANTHAPUR,RODDAM,125,393,289,2,809
ANDHRA PRADESH,ANANTHAPUR,ROLLA,252,567,23,0,842
ANDHRA PRADESH,ANANTHAPUR,SETTUR,31,0,681,0,712
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,116,675,334,2,1127
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,420,235,74,4,733
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,10,269,803,2,1084
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,493,120,183,0,796
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,8,1164,56,1,1229
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,26,1069,20,4,1119
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,538,20,4,11,573
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,91,80,133,8,312
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,161,23,10,3,197
ANDHRA PRADESH,ANANTHAPUR,YADIKI,64,155,308,0,527
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,60,923,68,0,1051
ANDHRA PRADESH,CHITTOOR,B KOTHAKOTA,45,536,0,3,584
ANDHRA PRADESH,CHITTOOR,BAIREDDI PALLE,1401,1435,123,84,3043
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,1346,1780,312,5,3443
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,571,21,0,0,592
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,2419,94,218,35,2766
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,360,492,616,1,1469
ANDHRA PRADESH,CHITTOOR,CHITTOOR,406,1736,424,5,2571
ANDHRA PRADESH,CHITTOOR,CHOWDEPALLE,1116,298,203,42,1659
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,291,3620,196,1,4108
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,344,1240,398,213,2195
ANDHRA PRADESH,CHITTOOR,GUDI PALLE,719,174,21,2,916
ANDHRA PRADESH,CHITTOOR,GUDIPALA,209,1971,412,3,2595
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,685,830,20,174,1709
ANDHRA PRADESH,CHITTOOR,IRALA,853,1866,36,1,2756
ANDHRA PRADESH,CHITTOOR,K V P PURAM,708,88,402,26,1224
ANDHRA PRADESH,CHITTOOR,KALAKADA,121,1537,219,2,1879
ANDHRA PRADESH,CHITTOOR,KALIKIRI,715,206,438,0,1359
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,1422,1122,111,0,2655
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,2082,123,25,0,2230
ANDHRA PRADESH,CHITTOOR,KUPPAM,758,1527,248,0,2533
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,233,647,100,3,983
ANDHRA PRADESH,CHITTOOR,MANDANPALLE,539,528,4,2,1073
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,155,607,109,1,872
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,958,1,5,1,965
ANDHRA PRADESH,CHITTOOR,NAGARI,1266,16,355,1,1638
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,690,73,60,0,823
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,99,914,6,0,1019
ANDHRA PRADESH,CHITTOOR,NINDRA,836,24,480,0,1340
ANDHRA PRADESH,CHITTOOR,PAKALA,1304,945,15,6,2270
ANDHRA PRADESH,CHITTOOR,PALAMANER,480,1304,219,4,2007
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,528,1173,26,3,1730
ANDHRA PRADESH,CHITTOOR,PEDDA PANJANI,926,662,170,11,1769
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,38,960,3,2,1003
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMUDRAM,270,872,112,1,1255
ANDHRA PRADESH,CHITTOOR,PENUMURU,849,1599,102,0,2550
ANDHRA PRADESH,CHITTOOR,PICHATUR,844,43,212,2,1101
ANDHRA PRADESH,CHITTOOR,PILERU,1100,278,285,1,1664
ANDHRA PRADESH,CHITTOOR,PULICHERLA,752,577,155,5,1489
ANDHRA PRADESH,CHITTOOR,PUNGANUR,1446,170,37,1,1654
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,563,2274,158,2,2997
ANDHRA PRADESH,CHITTOOR,PUTTUR,1416,88,287,0,1791
ANDHRA PRADESH,CHITTOOR,RAMA KUPPAM,485,1250,129,1,1865
ANDHRA PRADESH,CHITTOOR,RAMACHANDRAPURAM,1801,45,170,0,2016
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,1124,342,33,25,1524
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,768,452,3,4,1227
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,150,3,787,5,945
ANDHRA PRADESH,CHITTOOR,SANTHI PURAM,0,1088,0,0,1088
ANDHRA PRADESH,CHITTOOR,SATYAVEDU,1227,175,100,16,1518
ANDHRA PRADESH,CHITTOOR,SODAM,524,1587,453,1,2565
ANDHRA PRADESH,CHITTOOR,SOMALA,649,1283,153,0,2085
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,1455,100,46,11,1612
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,703,1254,84,0,2041
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,720,332,6,1,1059
ANDHRA PRADESH,CHITTOOR,THAVANAMPALLE,2838,159,86,63,3146
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDU,1392,20,8,0,1420
ANDHRA PRADESH,CHITTOOR,TIRUPATI RURAL,1109,1,825,0,1935
ANDHRA PRADESH,CHITTOOR,TIRUPATI URBAN,149,9,41,0,199
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,1181,266,426,0,1873
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,704,79,24,0,807
ANDHRA PRADESH,CHITTOOR,VAYALPAD,414,822,29,18,1283
ANDHRA PRADESH,CHITTOOR,VEDURU KUPPAM,2385,679,127,1,3192
ANDHRA PRADESH,CHITTOOR,VENKATAGIRI KOTA,621,1990,53,1,2665
ANDHRA PRADESH,CHITTOOR,VIJAYA PURAM,1298,90,176,0,1564
ANDHRA PRADESH,CHITTOOR,YADAMARI,490,1835,115,6,2446
ANDHRA PRADESH,CHITTOOR,YERPEDU,1429,56,81,4,1570
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,352,121,225,1,699
ANDHRA PRADESH,CUDDAPAH,A.KASINAYANI,202,478,28,7,715
ANDHRA PRADESH,CUDDAPAH,ATLUR,664,366,100,7,1137
ANDHRA PRADESH,CUDDAPAH,B KODUR,249,405,40,6,700
ANDHRA PRADESH,CUDDAPAH,BADVEL,285,328,59,1,673
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATTAM,106,526,204,0,836
ANDHRA PRADESH,CUDDAPAH,CHAKRAYAPET,629,487,49,4,1169
ANDHRA PRADESH,CUDDAPAH,CHAPAD,186,21,84,0,291
ANDHRA PRADESH,CUDDAPAH,CHENNUR,114,2,11,0,127
ANDHRA PRADESH,CUDDAPAH,CHINNAMANDEM,670,846,53,0,1569
ANDHRA PRADESH,CUDDAPAH,CHINTHA KOMMADINNE,726,10,273,16,1025
ANDHRA PRADESH,CUDDAPAH,CHITVEL,540,1,20,0,561
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,158,53,0,0,211
ANDHRA PRADESH,CUDDAPAH,DUVVUR,770,153,2,1,926
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,653,1585,22,16,2276
ANDHRA PRADESH,CUDDAPAH,GOPAVARAM,363,151,16,0,530
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,303,1,0,0,304
ANDHRA PRADESH,CUDDAPAH,KALASAPADU,226,390,0,0,616
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,488,13,1,10,512
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,523,37,26,1,587
ANDHRA PRADESH,CUDDAPAH,KODUR,928,63,256,0,1247
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,24,39,0,2,65
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,869,706,10,4,1589
ANDHRA PRADESH,CUDDAPAH,LINGALA,108,571,50,1,730
ANDHRA PRADESH,CUDDAPAH,MUDDANUR,384,51,3,1,439
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,529,7,4,33,573
ANDHRA PRADESH,CUDDAPAH,NANDALUR,308,211,79,0,598
ANDHRA PRADESH,CUDDAPAH,OBULAVARIPALLE,1263,1,48,0,1312
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,129,1,4,0,134
ANDHRA PRADESH,CUDDAPAH,PENAGALURU,201,57,5,1,264
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,181,0,168,11,360
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,162,1487,57,2,1708
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,96,0,1,0,97
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA,220,250,112,0,582
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,408,414,461,0,1283
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,280,806,318,0,1404
ANDHRA PRADESH,CUDDAPAH,RAJU PALEM,40,11,20,6,77
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,893,20,27,0,940
ANDHRA PRADESH,CUDDAPAH,RAYACHOTI,865,992,35,2,1894
ANDHRA PRADESH,CUDDAPAH,S MYDUKUR,665,560,51,5,1281
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,841,923,17,13,1794
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,688,2,10,0,700
ANDHRA PRADESH,CUDDAPAH,SIMHADRIPURAM,152,485,21,0,658
ANDHRA PRADESH,CUDDAPAH,T SUNDUPALLE,392,1110,14,1,1517
ANDHRA PRADESH,CUDDAPAH,THANDUR,236,268,68,0,572
ANDHRA PRADESH,CUDDAPAH,VALLUR,467,8,45,1,521
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,874,190,22,0,1086
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,214,215,66,1,496
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,376,189,40,5,610
ANDHRA PRADESH,CUDDAPAH,VEMULA,337,256,100,1,694
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,1206,170,192,5,1573
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,219,0,0,1,220
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,0,1,0,0,1
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,1,3,3,0,7
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,16,0,0,0,16
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,98,0,0,0,98
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,115,4,1,0,120
ANDHRA PRADESH,EAST GODAVARI,KARAPA,0,0,0,2,2
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,131,0,0,0,131
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,172,10,0,0,182
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,0,0,40,0,40
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,2,0,0,0,2
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,2,2,22,0,26
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,102,4,0,0,106
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,10,0,159,0,169
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,11,0,0,0,11
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,16,0,0,0,16
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,4,70,159,0,233
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,319,19,0,0,338
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,0,1,0,18,19
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,72,0,2,1,75
ANDHRA PRADESH,EAST GODAVARI,TUNI,560,45,6,1,612
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,3,0,0,0,3
ANDHRA PRADESH,GUNTUR,ACHAMPETA,257,190,101,0,548
ANDHRA PRADESH,GUNTUR,AMARAVATHI,489,158,101,0,748
ANDHRA PRADESH,GUNTUR,AMRUTHALUR,4,0,0,0,4
ANDHRA PRADESH,GUNTUR,BAPATLA,9,3097,0,0,3106
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,238,36,0,0,274
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,13,19,0,0,32
ANDHRA PRADESH,GUNTUR,CHEBROLE,67,714,6,0,787
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,44,1069,1,0,1114
ANDHRA PRADESH,GUNTUR,CHILAKALURIPET,152,313,1,2,468
ANDHRA PRADESH,GUNTUR,DACHEPALLE,0,40,0,0,40
ANDHRA PRADESH,GUNTUR,EDLAPADU,166,106,2,0,274
ANDHRA PRADESH,GUNTUR,GUNTUR,26,7,9,0,42
ANDHRA PRADESH,GUNTUR,GURAZALA,13,0,0,0,13
ANDHRA PRADESH,GUNTUR,IPURU,67,83,0,0,150
ANDHRA PRADESH,GUNTUR,KAREMPUDI,4,22,0,0,26
ANDHRA PRADESH,GUNTUR,KARLAPALEM,9,1480,0,0,1489
ANDHRA PRADESH,GUNTUR,KROSURU,154,167,8,0,329
ANDHRA PRADESH,GUNTUR,MACHAVARAM,1,57,0,0,58
ANDHRA PRADESH,GUNTUR,MACHERLA,158,1,0,0,159
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,153,2,94,0,249
ANDHRA PRADESH,GUNTUR,MEDIKONDURU,52,1,0,0,53
ANDHRA PRADESH,GUNTUR,MUPPALLA,122,72,2,0,196
ANDHRA PRADESH,GUNTUR,NADENDLA,56,75,1,2,134
ANDHRA PRADESH,GUNTUR,NAGARAM,2,306,0,0,308
ANDHRA PRADESH,GUNTUR,NAKARIKALLU,46,14,0,0,60
ANDHRA PRADESH,GUNTUR,NARASARAOPETA,309,7,0,0,316
ANDHRA PRADESH,GUNTUR,NIZAMPATNAM,2,0,0,131,133
ANDHRA PRADESH,GUNTUR,NUZENDLA,76,0,0,0,76
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,71,0,0,0,71
ANDHRA PRADESH,GUNTUR,PEDAKURAPADU,145,152,0,0,297
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,44,26,0,0,70
ANDHRA PRADESH,GUNTUR,PIDUGURALLA,29,26,0,0,55
ANDHRA PRADESH,GUNTUR,PITTALAVANIPALEM,1,749,0,0,750
ANDHRA PRADESH,GUNTUR,PRATHIPADU,14,0,0,0,14
ANDHRA PRADESH,GUNTUR,RAJUPALEM,157,19,0,0,176
ANDHRA PRADESH,GUNTUR,RENTACRINTALA,23,0,0,0,23
ANDHRA PRADESH,GUNTUR,ROMPICHERLA,52,119,0,0,171
ANDHRA PRADESH,GUNTUR,SATTENAPALLE,35,21,1,1,58
ANDHRA PRADESH,GUNTUR,SAVALYAPURAM,15,0,0,0,15
ANDHRA PRADESH,GUNTUR,TADIKONDA,36,0,4,0,40
ANDHRA PRADESH,GUNTUR,THADEPALLE,113,3,0,0,116
ANDHRA PRADESH,GUNTUR,THULLUR,52,0,11,0,63
ANDHRA PRADESH,GUNTUR,VELDURTHI,244,4,2,1,251
ANDHRA PRADESH,GUNTUR,VINUKONDA,6,29,0,0,35
ANDHRA PRADESH,KARIMNAGAR,BEJJANKI,1258,4515,103,0,5876
ANDHRA PRADESH,KARIMNAGAR,BHEEMADEVARPALLE,466,4610,589,0,5665
ANDHRA PRADESH,KARIMNAGAR,BOINPALLE,753,2963,67,4,3787
ANDHRA PRADESH,KARIMNAGAR,CHANDURTHI,200,4115,72,0,4387
ANDHRA PRADESH,KARIMNAGAR,CHIGURUMAMIDI,737,3272,244,1,4254
ANDHRA PRADESH,KARIMNAGAR,CHOPPADANDI,118,3706,0,0,3824
ANDHRA PRADESH,KARIMNAGAR,DHARMAPURI,144,3761,16,0,3921
ANDHRA PRADESH,KARIMNAGAR,DHARMARAM,627,1494,668,7,2796
ANDHRA PRADESH,KARIMNAGAR,ELEGADE,188,1179,2,0,1369
ANDHRA PRADESH,KARIMNAGAR,ELKATHURTHI,498,2767,48,0,3313
ANDHRA PRADESH,KARIMNAGAR,ELLANTHAKUNTA,246,3778,555,111,4690
ANDHRA PRADESH,KARIMNAGAR,GAMBHIRAOPET,475,543,12,2,1032
ANDHRA PRADESH,KARIMNAGAR,GANGADHARA,116,5092,79,0,5287
ANDHRA PRADESH,KARIMNAGAR,GOLLAPALLE,224,3106,12,0,3342
ANDHRA PRADESH,KARIMNAGAR,HUSNABAD,1370,5670,108,0,7148
ANDHRA PRADESH,KARIMNAGAR,HUZURABAD,525,4498,8,0,5031
ANDHRA PRADESH,KARIMNAGAR,IBRAHIMPATNAM,83,3550,12,6,3651
ANDHRA PRADESH,KARIMNAGAR,JAGTIAL,452,4925,8,0,5385
ANDHRA PRADESH,KARIMNAGAR,JAMMIKUNTA,169,6515,23,0,6707
ANDHRA PRADESH,KARIMNAGAR,JULAPALLE,142,786,0,0,928
ANDHRA PRADESH,KARIMNAGAR,KAMALAPUR,1377,2856,14,0,4247
ANDHRA PRADESH,KARIMNAGAR,KAMANPUR,501,1437,1,0,1939
ANDHRA PRADESH,KARIMNAGAR,KARIMNAGAR,608,4003,103,25,4739
ANDHRA PRADESH,KARIMNAGAR,KATARAM,274,335,23,0,632
ANDHRA PRADESH,KARIMNAGAR,KATHLAPUR,485,3788,28,17,4318
ANDHRA PRADESH,KARIMNAGAR,KESAVAPATNAM,59,4192,13,0,4264
ANDHRA PRADESH,KARIMNAGAR,KODIMIAL,102,4467,21,1,4591
ANDHRA PRADESH,KARIMNAGAR,KOHEDA,559,3248,107,1,3915
ANDHRA PRADESH,KARIMNAGAR,KONARAOPETA,893,2255,84,0,3232
ANDHRA PRADESH,KARIMNAGAR,KORATLA,115,3144,41,0,3300
ANDHRA PRADESH,KARIMNAGAR,MAHADEVPUR,94,2,334,0,430
ANDHRA PRADESH,KARIMNAGAR,MALHARRAO,373,363,15,0,751
ANDHRA PRADESH,KARIMNAGAR,MALLAPUR,127,3971,1,0,4099
ANDHRA PRADESH,KARIMNAGAR,MALLIAL,123,5065,78,0,5266
ANDHRA PRADESH,KARIMNAGAR,MANAKONDUR,675,5436,26,55,6192
ANDHRA PRADESH,KARIMNAGAR,MANTHANI,680,406,20,0,1106
ANDHRA PRADESH,KARIMNAGAR,MEDIPALLE,304,4788,207,0,5299
ANDHRA PRADESH,KARIMNAGAR,METPALLE,86,3340,3,0,3429
ANDHRA PRADESH,KARIMNAGAR,MUSTABAD,326,2188,697,0,3211
