-----
{
 "description": "The table refers to district wise distribution of surface lift schemes according to ownership. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftDsttab5.2.csv", 
 "title": "Download CSV for Districtwise Distribution of surface lift schemes according to ownership for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftDsttab5.2.csv"
}
-----
"State","District","Government owned","Cooperative Societies","Panchayat Owned","Group of farmers","Individual farmers","Others","Total"
"RAJASTHAN","DUNGARPUR",9,2,0,38,25,0,74
"RAJASTHAN","JHALAWAR",25,0,0,10,2,1,38
"RAJASTHAN","KOTA",2,0,0,4,0,0,6
"RAJASTHAN","NAGAUR",2,0,0,0,0,0,2
"RAJASTHAN","RAJSAMAND",1,0,0,0,0,0,1
"RAJASTHAN","SIROHI",2,0,0,0,0,0,2
"RAJASTHAN","TONK",0,0,0,0,2,0,2
"RAJASTHAN","UDAIPUR",7,0,0,6,1,1,15
"TAMIL NADU","COIMBATORE",0,0,0,0,481,0,481
"TAMIL NADU","CUDDALORE",1,0,0,3,688,0,692
"TAMIL NADU","DHARMAPURI",0,0,0,0,10,0,10
"TAMIL NADU","DINDIGUL",1,1,1,0,11,1477,1491
"TAMIL NADU","ERODE",17,12,5,3151,1319,83,4587
"TAMIL NADU","KANCHIPURAM",4,0,0,1,14,14,33
"TAMIL NADU","KARUR",0,0,0,0,17,0,17
"TAMIL NADU","NAGAPATTINAM",2,0,0,0,4,0,6
"TAMIL NADU","NAMAKKAL",0,1,0,32,3260,0,3293
"TAMIL NADU","PERAMBALUR",1,0,0,0,372,0,373
"TAMIL NADU","PUDUKOTTAI",9,0,0,0,0,0,9
"TAMIL NADU","RAMNATHAPURAM",12,0,0,0,0,0,12
"TAMIL NADU","SALEM",0,0,0,0,70,0,70
"TAMIL NADU","SIVAGANGA",0,0,0,0,42,0,42
"TAMIL NADU","THANJAVUR",5,0,0,0,0,0,5
"TAMIL NADU","THENI",0,0,0,0,69,0,69
"TAMIL NADU","TIRUVALLUR",74,0,0,31,3,1,109
"TAMIL NADU","TIRUVARUR",13,0,0,0,6,0,19
"TAMIL NADU","TRICHIRAPPALLI",0,0,0,0,20,0,20
