-----
{
 "description": "The table refers to district wise distribution of surface lift schemes according to source of finance. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftDsttab5.7_1.csv", 
 "title": "Download CSV for Districtwise Distribution of surface lift schemes according to finance sources for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftDsttab5.7_1.csv"
}
-----
"State","District","Government fund","Farmers saving","Loan & Saving","Subsidy & Bank Loan","Subsidy Only","Others","Total"
"ANDHRA PRADESH","ADILABAD",871,238,284,346,43,9,1791
"ANDHRA PRADESH","ANANTHAPUR",0,0,0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR",93,12,0,0,0,0,105
"ANDHRA PRADESH","CUDDAPAH",64,0,0,0,0,0,64
"ANDHRA PRADESH","EAST GODAVARI",57,0,3,3,0,0,63
"ANDHRA PRADESH","GUNTUR",866,288,67,19,0,11,1251
"ANDHRA PRADESH","KARIMNAGAR",314,7,1,29,0,0,351
"ANDHRA PRADESH","KHAMMAM",2786,186,1187,321,61,13,4554
"ANDHRA PRADESH","KRISHNA",38,12,6,7,1,0,64
"ANDHRA PRADESH","KURNOOL",1439,32,21,67,11,10,1580
"ANDHRA PRADESH","MAHABOOB NAGAR",475,359,22,21,0,0,877
"ANDHRA PRADESH","MEDAK",156,0,27,1,44,1,229
"ANDHRA PRADESH","NALGONDA",1088,276,41,263,1,2,1671
"ANDHRA PRADESH","NELLORE",1977,314,99,45,5,19,2459
"ANDHRA PRADESH","NIZAMABAD",950,256,54,13,39,22,1334
"ANDHRA PRADESH","PRAKASAM",663,161,114,82,2,2,1024
"ANDHRA PRADESH","RANGA REDDY",408,5,35,1,0,0,449
"ANDHRA PRADESH","SRIKAKULUM",12,4,5,4,0,0,25
"ANDHRA PRADESH","VIJAYA NAGARAM",0,0,0,0,0,124,124
"ANDHRA PRADESH","VISAKHAPATNAM",25,0,4,3,7,1,40
"ANDHRA PRADESH","WARANGAL",395,13,100,63,1,0,572
"ANDHRA PRADESH","WEST GODAVARI",89,8,22,1,0,3,123
"ASSAM","BARPETA",1,25,21,105,52,0,204
"ASSAM","BONGAIGAON",0,7,0,77,34,2,120
"ASSAM","CACHAR",0,0,0,0,0,0,0
"ASSAM","DARRANG",0,157,4,200,169,0,530
"ASSAM","DHEMAJI",0,24,0,0,110,0,134
"ASSAM","DHUBRI",0,11,0,21,19,0,51
"ASSAM","DIBRUGARH",0,0,1,71,301,0,373
"ASSAM","GOALPARA",0,97,8,68,283,0,456
"ASSAM","GOLAGHAT",0,12,38,107,171,0,328
"ASSAM","HAILAKANDI",0,0,0,0,0,0,0
"ASSAM","JORHAT",2,24,2,432,831,0,1291
"ASSAM","KAMRUP",7,15,0,14,629,0,665
"ASSAM","KARBI ANGLONG",0,2,0,3,20,0,25
"ASSAM","KARIMGANJ",0,0,0,0,0,0,0
"ASSAM","KOKRAJHAR",0,0,0,0,82,0,82
"ASSAM","LAKHIMPUR",0,5,0,16,129,0,150
"ASSAM","MARIGAON",0,212,1,0,193,0,406
"ASSAM","NAGAON",0,339,0,0,1550,0,1889
"ASSAM","NALBARI",1,4,3,29,153,0,190
"ASSAM","NORTH CACHAR HILLS",0,0,0,0,0,0,0
"ASSAM","SIBSAGAR",0,1,4,423,123,0,551
"ASSAM","SONITPUR",1,32,22,66,395,0,516
"ASSAM","TINSUKIA",7,46,41,252,17,0,363
"BIHAR","ARARIA",1,0,0,0,0,0,1
"BIHAR","AURANGABAD",23,6,0,1,0,4,34
"BIHAR","BANKA",21,7,2,5,0,1,36
"BIHAR","BEGUSARAI",2,2,0,0,0,0,4
"BIHAR","BHABUA",0,3,0,12,0,0,15
"BIHAR","BHAGALPUR",19,20,3,3,1,0,46
"BIHAR","BHOJPUR",11,10,0,2,2,4,29
"BIHAR","BOKARO",0,0,0,0,0,0,0
"BIHAR","BUXAR",7,0,0,0,0,0,7
"BIHAR","CHAMPARAN EAST",1,0,0,0,9,0,10
"BIHAR","CHAMPARAN WEST",10,2,0,0,0,0,12
"BIHAR","CHATRA",6,4,4,1,5,1,21
"BIHAR","DARBHANGA",6,0,0,0,0,0,6
"BIHAR","DEOGHAR",132,109,8,82,38,12,381
"BIHAR","DHANBAD",8,26,1,1,24,0,60
"BIHAR","DUMKA",185,411,14,415,507,11,1543
"BIHAR","GARHWA",15,4,4,4,27,0,54
"BIHAR","GAYA",9,9,1,0,0,4,23
"BIHAR","GIRIDIH",22,10,2,17,2,0,53
"BIHAR","GODDA",85,6,1,18,6,0,116
"BIHAR","GOPALGANJ",0,0,1,1,0,1,3
"BIHAR","GUMLA",102,43,17,56,1,5,224
"BIHAR","HAZARIBAG",9,4,5,15,15,3,51
"BIHAR","JAMUI",12,13,1,1,1,13,41
"BIHAR","JEHANABAD",0,0,0,0,0,0,0
"BIHAR","KATIHAR",0,0,0,0,0,0,0
"BIHAR","KHAGARIA",189,208,3,31,0,0,431
"BIHAR","KISHANGANJ",0,0,0,0,0,0,0
"BIHAR","KODARMA",8,1,1,14,1,0,25
"BIHAR","LAKHISARAI",0,0,0,0,0,0,0
"BIHAR","LOHARDAGA",6,1,1,14,0,0,22
"BIHAR","MADHEPURA",0,0,0,0,0,0,0
"BIHAR","MADHUBANI",1,33,13,0,0,2,49
"BIHAR","MUNGER",1,9,0,0,0,0,10
