-----
{
 "description": "The table refers to district wise distribution of surface lift schemes according to horse power of lifting devices. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftDsttab5.10.csv", 
 "title": "Download CSV for Districtwise Distribution of surface lift schemes according to horsepower for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftDsttab5.10.csv"
}
-----
"State","District","Horse power (0-2)","Horse power (2-4)","Horse power (4-6)","Horse power (6-8)","Horse power (8-10)","Horse power (Above 10)","Unspecified","Total"
"ANDHRA PRADESH","ADILABAD",52,560,871,89,136,92,0,1800
"ANDHRA PRADESH","ANANTHAPUR",0,1,0,0,0,0,0,1
"ANDHRA PRADESH","CHITTOOR",0,16,59,29,0,1,0,105
"ANDHRA PRADESH","CUDDAPAH",1,0,26,12,4,30,0,73
"ANDHRA PRADESH","EAST GODAVARI",0,0,32,19,7,20,0,78
"ANDHRA PRADESH","GUNTUR",18,190,781,67,149,100,0,1305
"ANDHRA PRADESH","KARIMNAGAR",0,182,96,63,14,23,0,378
"ANDHRA PRADESH","KHAMMAM",337,650,2918,52,524,77,0,4558
"ANDHRA PRADESH","KRISHNA",0,4,22,12,13,49,0,100
"ANDHRA PRADESH","KURNOOL",12,15,1122,238,175,21,0,1583
"ANDHRA PRADESH","MAHABOOB NAGAR",1,3,749,50,98,75,0,976
"ANDHRA PRADESH","MEDAK",0,36,177,6,10,0,0,229
"ANDHRA PRADESH","NALGONDA",21,140,1258,195,122,150,0,1886
"ANDHRA PRADESH","NELLORE",5,112,2153,130,71,29,0,2500
"ANDHRA PRADESH","NIZAMABAD",3,35,1024,142,118,13,0,1335
"ANDHRA PRADESH","PRAKASAM",11,51,602,21,96,243,0,1024
"ANDHRA PRADESH","RANGA REDDY",1,99,329,28,26,13,0,496
"ANDHRA PRADESH","SRIKAKULUM",0,2,26,0,1,15,0,44
"ANDHRA PRADESH","VIJAYA NAGARAM",2,5,92,8,30,15,0,152
"ANDHRA PRADESH","VISAKHAPATNAM",1,9,30,0,8,1,0,49
"ANDHRA PRADESH","WARANGAL",1,325,233,15,33,2,0,609
"ANDHRA PRADESH","WEST GODAVARI",0,0,31,32,25,57,0,145
"ASSAM","BARPETA",0,0,203,0,0,61,0,264
"ASSAM","BONGAIGAON",0,0,120,0,0,16,0,136
"ASSAM","CACHAR",0,0,33,0,0,29,0,62
"ASSAM","DARRANG",0,0,534,0,0,10,0,544
"ASSAM","DHEMAJI",0,0,135,0,0,8,0,143
"ASSAM","DHUBRI",1,0,50,1,1,42,0,95
"ASSAM","DIBRUGARH",0,0,373,0,0,17,0,390
"ASSAM","GOALPARA",0,2,473,0,0,8,0,483
"ASSAM","GOLAGHAT",1,1,327,0,0,28,0,357
"ASSAM","HAILAKANDI",0,0,0,0,0,17,0,17
"ASSAM","JORHAT",1,0,1292,0,0,22,0,1315
"ASSAM","KAMRUP",1,1,663,0,0,82,0,747
"ASSAM","KARBI ANGLONG",0,0,26,0,1,21,0,48
"ASSAM","KARIMGANJ",0,0,0,0,0,24,0,24
"ASSAM","KOKRAJHAR",0,0,82,0,0,37,0,119
"ASSAM","LAKHIMPUR",0,0,151,0,0,2,0,153
"ASSAM","MARIGAON",3,4,407,0,0,53,0,467
"ASSAM","NAGAON",0,0,1896,0,2,68,0,1966
"ASSAM","NALBARI",0,0,190,0,0,36,0,226
"ASSAM","NORTH CACHAR HILLS",0,0,0,0,0,6,0,6
"ASSAM","SIBSAGAR",0,0,582,0,0,40,0,622
"ASSAM","SONITPUR",0,0,518,0,1,22,0,541
"ASSAM","TINSUKIA",0,0,363,0,0,22,0,385
"BIHAR","ARARIA",0,0,2,0,0,7,0,9
"BIHAR","AURANGABAD",0,1,35,11,1,9,0,57
"BIHAR","BANKA",0,0,135,0,4,8,0,147
"BIHAR","BEGUSARAI",0,0,3,1,5,51,0,60
"BIHAR","BHABUA",1,4,16,25,0,15,0,61
"BIHAR","BHAGALPUR",0,0,194,13,6,25,0,238
"BIHAR","BHOJPUR",0,0,7,2,0,36,0,45
"BIHAR","BOKARO",0,0,0,0,0,14,0,14
"BIHAR","BUXAR",0,0,9,2,1,2,0,14
"BIHAR","CHAMPARAN EAST",6,0,23,2,12,35,0,78
"BIHAR","CHAMPARAN WEST",0,9,9,0,4,23,0,45
"BIHAR","CHATRA",129,2,94,4,3,20,0,252
"BIHAR","DARBHANGA",0,0,5,0,9,24,0,38
"BIHAR","DEOGHAR",2,0,553,4,2,0,13,574
"BIHAR","DHANBAD",62,0,31,0,1,5,0,99
"BIHAR","DUMKA",288,113,1354,0,9,34,4,1802
"BIHAR","GARHWA",9,6,40,0,11,18,0,84
"BIHAR","GAYA",8,0,24,0,0,20,7,59
"BIHAR","GIRIDIH",0,1,125,1,8,34,0,169
"BIHAR","GODDA",0,1,361,0,0,34,0,396
"BIHAR","GOPALGANJ",0,0,7,2,0,2,0,11
"BIHAR","GUMLA",198,1,90,0,4,85,0,378
"BIHAR","HAZARIBAG",20,0,39,6,15,14,0,94
"BIHAR","JAMUI",1,2,58,0,6,9,0,76
"BIHAR","JEHANABAD",0,0,3,0,0,2,0,5
"BIHAR","KATIHAR",0,0,0,0,0,7,0,7
"BIHAR","KHAGARIA",0,0,79,350,2,10,0,441
"BIHAR","KISHANGANJ",0,0,0,0,6,4,0,10
"BIHAR","KODARMA",31,1,28,1,7,3,0,71
"BIHAR","LAKHISARAI",0,0,0,0,0,1,0,1
"BIHAR","LOHARDAGA",25,0,8,26,7,32,0,98
"BIHAR","MADHEPURA",2,0,0,0,0,4,0,6
"BIHAR","MADHUBANI",0,3,254,8,14,12,0,291
"BIHAR","MUNGER",0,1,10,0,0,0,0,11
"BIHAR","MUZAFFARPUR",0,0,2,0,4,20,0,26
"BIHAR","NALANDA",17,0,107,0,0,3,0,127
"BIHAR","NAWADA",3,0,21,0,0,5,0,29
"BIHAR","PAKUR",9,1,118,0,6,18,0,152
"BIHAR","PATNA",0,23,24,0,0,2,0,49
"BIHAR","PURNIA",0,0,9,0,0,10,0,19
"BIHAR","RANCHI",236,0,147,3,3,8,20,417
"BIHAR","ROHTAS",37,0,12,2,0,15,0,66
"BIHAR","SAHARSA",0,0,0,0,4,6,0,10
"BIHAR","SAHEBGANJ",250,10,1583,2,10,9,54,1918
"BIHAR","SAMASTIPUR",0,0,5,0,5,41,0,51
