-----
{
 "description": "Total 1053 number of projects sanctioned for urban water supply, sewerage, drainage and solid waste management under the Urban Infrastructure & Governance (UIG) & Urban Infrastructure Development Scheme for Small & Medium Towns (UIDSSMT) components of JNNURM (Jawaharlal Nehru National Urban Renewal ...", 
 "file_name": "Cost_of_Projects.xls", 
 "title": "Download XLS for Investments Under JNNURM In Water And Sanitation", 
 "url": "http://data.gov.in/sites/default/files/Cost_of_Projects.xls"
}
-----
"Particulars","UIG - No. of Projects","UIG - Cost (in Rs. Cr.)","UIDSSMT - No. of Projects","UIDSSMT - Cost (in Rs. Cr.)","Total (UIG + UIDSSMT) - No. of Projects","Total (UIG + UIDSSMT) - Cost (in Rs. Cr.)"
"Water supply",158.0,20562.0,453.0,8901.0,611.0,29463.0
"Sewerage",112.0,14992.0,89.0,2833.0,201.0,17826.0
"Drainage",73.0,8404.0,67.0,790.0,140.0,9193.0
"Solid Waste Management",45.0,2091.0,56.0,342.0,101.0,2433.0
"Total ",388.0,46050.0,665.0,12865.0,1053.0,58915.0
