-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "ArunachalNSDPcurrent.csv", 
 "title": "Download CSV for Arunachal Pradesh Net State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/ArunachalNSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","28057","28000","30204","34521","38361","40539","48781","53102","52634","53933","59323","56969"
"Foresty and Logging","9324","11982","11655","11687","5368","7097","7299","7128","7713","9326","8423","8990"
"Fishing","741","784","834","898","1165","1240","1291","1354","1516","1520","1552","1560"
"Mining and Quarrying","1148","631","411","495","452","643","1247","2686","2711","5023","5276","5713"
"Sub total of primary","39270","41397","43104","47601","45346","49519","58618","64270","64574","69802","74574","73232"
"Manufacturing","2536","2950","3707","4931","3617","3825","3644","3622","3998","3778","3966","4236"
"Registered","0","0","0","0","0","0","0","0","0","0","0","0"
"Unregistered","2536","2950","3707","4931","3617","3825","3644","3622","3998","3778","3966","4236"
"Construction","16444","15823","29004","20092","19905","20595","18738","22196","27878","34919","45950","50506"
"Electricity, Gas and water Supply","-1644","658","-306","-644","1896","4928","4194","-133","35","1709","2393","2567"
"Sub total of secondary","17336","19431","32405","24379","25418","29348","26576","25685","31911","40406","52309","57309"
"Transport Storage and Communication","2927","3305","3632","4178","7054","7809","8831","9908","10738","11920","13190","13849"
"Railways","3","1","1","0","1","1","1","0","1","9","10","10"
"Transport by other means","2599","2997","3269","3808","6522","7506","8223","8721","9384","9695","10560","11219"
"Storage","2","2","2","2","3","3","3","4","4","4","4","4"
"Communication","323","305","360","368","528","299","604","1183","1349","2212","2616","2616"
"Trade, hotels and restaurants","5392","5075","5600","6522","7005","5928","6640","6820","8012","8317","8869","9245"
"Banking and Insurance","989","1114","1366","1737","1908","2452","2711","3787","4488","4635","5321","5321"
"Real estate, ownership of dwelling and business","1623","1708","1839","2006","2359","2767","3416","4189","4592","3800","4132","4481"
"Pubic Administration","7814","8850","10024","11871","17351","20447","23854","27047","29781","29897","32981","35935"
"Other Services","5862","6388","9175","9977","12777","17112","15062","17780","18807","20853","24608","27258"
"Sub total of tertiary","24607","26440","31636","36291","48454","56515","60514","69531","76418","79422","89101","96089"
"State domestic product","81213","87268","107145","108271","119218","135382","145708","159486","172903","189630","215984","226630"

"Figures are in Rs. Lakh"
