-----
{
 "description": "The table refers to district wise distribution of surface lift schemes according to water lifting devices. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftDsttab5.9.csv", 
 "title": "Download CSV for Districtwise Distribution of surface lift schemes according to lifting device for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftDsttab5.9.csv"
}
-----
"State","District","Electric pumps","Diesel pumps","Wind mills","Solar pumps","Others","Total"
"ANDHRA PRADESH","ADILABAD",1742,38,2,0,18,1800
"ANDHRA PRADESH","ANANTHAPUR",1,0,0,0,0,1
"ANDHRA PRADESH","CHITTOOR",73,32,0,0,0,105
"ANDHRA PRADESH","CUDDAPAH",57,14,2,0,0,73
"ANDHRA PRADESH","EAST GODAVARI",63,15,0,0,0,78
"ANDHRA PRADESH","GUNTUR",1103,201,0,1,0,1305
"ANDHRA PRADESH","KARIMNAGAR",374,3,1,0,0,378
"ANDHRA PRADESH","KHAMMAM",2511,2047,0,0,0,4558
"ANDHRA PRADESH","KRISHNA",95,5,0,0,0,100
"ANDHRA PRADESH","KURNOOL",1445,136,1,0,1,1583
"ANDHRA PRADESH","MAHABOOB NAGAR",912,63,0,0,1,976
"ANDHRA PRADESH","MEDAK",205,0,0,0,24,229
"ANDHRA PRADESH","NALGONDA",1832,45,1,1,7,1886
"ANDHRA PRADESH","NELLORE",2040,458,0,0,2,2500
"ANDHRA PRADESH","NIZAMABAD",1324,8,0,0,3,1335
"ANDHRA PRADESH","PRAKASAM",914,100,1,1,8,1024
"ANDHRA PRADESH","RANGA REDDY",495,1,0,0,0,496
"ANDHRA PRADESH","SRIKAKULUM",44,0,0,0,0,44
"ANDHRA PRADESH","VIJAYA NAGARAM",148,1,0,0,3,152
"ANDHRA PRADESH","VISAKHAPATNAM",45,3,0,0,1,49
"ANDHRA PRADESH","WARANGAL",525,84,0,0,0,609
"ANDHRA PRADESH","WEST GODAVARI",90,54,0,1,0,145
"ASSAM","BARPETA",59,205,0,0,0,264
"ASSAM","BONGAIGAON",16,120,0,0,0,136
"ASSAM","CACHAR",29,30,0,0,3,62
"ASSAM","DARRANG",6,538,0,0,0,544
"ASSAM","DHEMAJI",8,135,0,0,0,143
"ASSAM","DHUBRI",39,56,0,0,0,95
"ASSAM","DIBRUGARH",16,374,0,0,0,390
"ASSAM","GOALPARA",8,475,0,0,0,483
"ASSAM","GOLAGHAT",28,329,0,0,0,357
"ASSAM","HAILAKANDI",17,0,0,0,0,17
"ASSAM","JORHAT",13,1302,0,0,0,1315
"ASSAM","KAMRUP",79,667,0,1,0,747
"ASSAM","KARBI ANGLONG",23,25,0,0,0,48
"ASSAM","KARIMGANJ",24,0,0,0,0,24
"ASSAM","KOKRAJHAR",56,63,0,0,0,119
"ASSAM","LAKHIMPUR",0,153,0,0,0,153
"ASSAM","MARIGAON",52,409,0,0,6,467
"ASSAM","NAGAON",68,1895,0,0,3,1966
"ASSAM","NALBARI",33,193,0,0,0,226
"ASSAM","NORTH CACHAR HILLS",3,3,0,0,0,6
"ASSAM","SIBSAGAR",39,583,0,0,0,622
"ASSAM","SONITPUR",18,523,0,0,0,541
"ASSAM","TINSUKIA",19,366,0,0,0,385
"BIHAR","ARARIA",0,9,0,0,0,9
"BIHAR","AURANGABAD",18,38,0,0,1,57
"BIHAR","BANKA",1,136,1,0,9,147
"BIHAR","BEGUSARAI",57,3,0,0,0,60
"BIHAR","BHABUA",17,43,0,0,1,61
"BIHAR","BHAGALPUR",10,219,0,2,7,238
"BIHAR","BHOJPUR",5,36,0,0,4,45
"BIHAR","BOKARO",0,13,0,0,1,14
"BIHAR","BUXAR",6,8,0,0,0,14
"BIHAR","CHAMPARAN EAST",41,35,2,0,0,78
"BIHAR","CHAMPARAN WEST",23,4,2,0,16,45
"BIHAR","CHATRA",5,183,2,0,62,252
"BIHAR","DARBHANGA",31,7,0,0,0,38
"BIHAR","DEOGHAR",1,502,1,0,70,574
