-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 1993-94.", 
 "file_name": "PunjabGSDPconst_1.csv", 
 "title": "Download CSV for Punjab Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/PunjabGSDPconst_1.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","1385362","1412649","1412533","1511102","1440248","1482362","1589775","1635349","1651942","1589512","1684943","1762284"
"Foresty and Logging","3971","3830","4099","3898","4604","4378","5362","5846","5175","5027","5596","5680"
"Fishing","5741","7252","7864","9629","11056","13667","14489","15971","17820","21030","25691","30123"
"Mining and Quarrying","423","96","107","108","181","165","137","92","328","1009","1039","1071"
"Sub total of primary","1395497","1423827","1424603","1524737","1456089","1500572","1609763","1657258","1675265","1616578","1717269","1799158"
"Manufacturing","454512","480983","512598","542363","567520","604540","640473","671290","652155","681746","683790","693734"
"Registered","317253","330362","337551","354595","371954","400711","428259","448978","425115","450600","451075","457435"
"Unregistered","137259","150621","175047","187768","195566","203829","212214","222312","227040","231146","232715","236299"
"Construction","126752","128205","154925","141720","193870","238151","190542","207413","230649","252594","291056","325925"
"Electricity, Gas and water Supply","77042","80643","83324","89609","93944","103704","108177","101132","103268","107823","114846","119830"
"Sub total of secondary","658306","689831","750847","773692","855334","946395","939192","979835","986072","1042163","1089692","1139489"
"Transport Storage and Communication","100287","108287","125394","143160","157826","181353","219713","209389","253829","295638","347132","390871"
"Railways","0","0","0","0","0","0","0","0","0","0","0","0"
"Transport by other means","100287","108287","125394","143160","157826","181353","219713","209389","253829","295638","347132","390871"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","0","0","0","0","0","0","0","0","0","0","0","0"
"Trade, hotels and restaurants","365762","371667","393626","422981","447614","465034","496944","530951","539453","549668","567868","580702"
"Banking and Insurance","96341","105889","124847","173219","195866","183859","209042","228664","232049","260709","280124","310910"
"Real estate, ownership of dwelling and business","150603","153929","157370","160886","164489","168265","172047","175939","179951","184519","188834","193442"
"Pubic Administration","122616","120883","123313","135954","154798","179993","188071","188198","190499","207633","234003","251857"
"Other Services","135402","139583","143333","147239","154454","161506","165527","169893","173201","175441","180018","186788"
"Sub total of tertiary","971011","1000238","1067883","1183439","1275047","1340010","1451344","1503034","1568982","1673608","1797979","1914570"
"State domestic product","3024814","3113896","3243333","3481868","3586470","3786977","4000299","4140127","4230319","4332349","4604940","4853217"

"Figures are in Rs. Lakh"
