-----
{
 "description": "The table refers to Statewise Distribution of Surface Lift Schemes according to ownership. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftNat5.2.csv", 
 "title": "Download CSV for Statewise Distribution of Surface Lift Schemes according to ownership", 
 "url": "http://data.gov.in/sites/default/files/srfcliftNat5.2.csv"
}
-----
"State","Government","Cooperative Societies","Panchayat","Group of farmers","Individual farmers","Others","Total"
"ANDHRA PRADESH",1262,68,27,2353,20385,98,24193
"ARUNACHAL PRADESH",19,1,0,1,0,0,21
"ASSAM",254,10,2,321,1110,11,1708
"BIHAR",1548,12,82,69,1129,47,2887
"CHHATTISGARH",12626,83,163,705,6901,4948,25426
"GOA",127,7,0,94,742,14,984
"GUJARAT",817,72,94,23,2121,64,3191
"HARYANA",20,0,2,171,313,140,646
"HIMACHAL PRADESH",498,1,1,50,173,1,724
"JAMMU & KASHMIR",243,2,1,96,91,72,505
"JHARKHAND",3502,24,13,599,7833,26,11997
"KARNATAKA",450,59,104,62,59517,177,60369
"KERALA",611,31,368,832,11609,42,13493
"MADHYA PRADESH",13020,219,188,6583,174550,1582,196142
"MAHARASHTRA",1672,2029,92,19400,74486,2223,99902
"MANIPUR",39,0,0,5,0,0,44
"MEGHALAYA",9,0,0,0,2,0,11
"MIZORAM",1,0,0,0,215,0,216
"NAGALAND",0,0,0,23,15,0,38
"ORISSA",10314,45,577,3892,17958,58,32844
"PUNJAB",28,1,0,21,1389,2,1441
"RAJASTHAN",381,5,8,832,994,4,2224
"TAMIL NADU",343,114,13,2235,7330,51,10086
"TRIPURA",711,4,9,17,418,8,1167
"UTTAR PRADESH",101,26,7,1,6409,0,6544
"UTTARANCHAL",568,7,52,16,60,5,708
"WEST BENGAL",5721,131,1540,25177,73666,1360,107595
"ANDAMAN & NICOBARS",5,0,1,0,1690,0,1696
"DADRA & NAGAR HAVELI",7,0,0,38,26,0,71
"DELHI",23,0,0,3,12,0,38
"PONDICHERRY",0,0,0,0,7,0,7
"ALL INDIA",54920,2951,3344,63619,471151,10933,606918
