-----
{
 "description": "The table refers to Block wise Distribution of Surface Lift Schemes according to The Farmers holding size. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.3.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Lift Schemes according to The Farmers holding size", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.3.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Marginal (0-1 ha),Small (1-2 ha),Medium (2-10 ha),Big ( > 10 ha),Total
MAHARASHTRA,SOLAPUR,SANGOLA,0,0,0,0,0
MAHARASHTRA,SOLAPUR,SOUTH  SOLAPUR,607,1139,1314,31,3091
MAHARASHTRA,THANE,DHANU,5,9,5,0,19
MAHARASHTRA,THANE,JAWHAR,0,27,132,0,159
MAHARASHTRA,THANE,KALYAN,4,4,5,0,13
MAHARASHTRA,THANE,MURBAD,417,71,25,63,576
MAHARASHTRA,THANE,PALGHAR,68,16,6,2,92
MAHARASHTRA,THANE,SHAHAPUR,68,64,88,2,222
MAHARASHTRA,THANE,VIKRAMGAD,1,20,22,1,44
MAHARASHTRA,THANE,WADA,0,4,39,1,44
MAHARASHTRA,WARDHA,ARVI,0,1,0,0,1
MAHARASHTRA,WARDHA,ASHTI,0,0,0,0,0
MAHARASHTRA,WARDHA,DEOLI,0,1,1,0,2
MAHARASHTRA,WARDHA,HINGANGHAT,0,0,0,1,1
MAHARASHTRA,WARDHA,KARANJA,0,0,0,0,0
MAHARASHTRA,WARDHA,SAMUDRAPUR,2,0,0,0,2
MAHARASHTRA,WARDHA,SELOO,0,0,0,0,0
MAHARASHTRA,WARDHA,WARDHA,0,0,0,0,0
MAHARASHTRA,WASHIM,KARANJA,27,45,41,7,120
MAHARASHTRA,WASHIM,MALEGAON,123,69,60,23,275
MAHARASHTRA,WASHIM,MANGRULPIR,75,60,56,6,197
MAHARASHTRA,WASHIM,MANORA,110,146,155,10,421
MAHARASHTRA,WASHIM,RISOD,52,72,106,7,237
MAHARASHTRA,WASHIM,WASHIM,53,98,70,55,276
MAHARASHTRA,YAVATMAL,ARNI,41,249,255,9,554
MAHARASHTRA,YAVATMAL,BABULGAON,7,51,65,3,126
MAHARASHTRA,YAVATMAL,DARWHA,20,201,266,2,489
MAHARASHTRA,YAVATMAL,DIGRAS,53,206,179,10,448
MAHARASHTRA,YAVATMAL,GHATANJI,45,193,398,25,661
MAHARASHTRA,YAVATMAL,KALAMB,12,49,53,2,116
MAHARASHTRA,YAVATMAL,KELAPUR,12,132,246,23,413
MAHARASHTRA,YAVATMAL,MAHAGAON,31,92,62,3,188
MAHARASHTRA,YAVATMAL,MAREGAON,4,62,117,10,193
MAHARASHTRA,YAVATMAL,NER,6,29,32,3,70
MAHARASHTRA,YAVATMAL,PUSAD,113,336,279,9,737
MAHARASHTRA,YAVATMAL,RALEGAON,5,136,181,6,328
MAHARASHTRA,YAVATMAL,WANI,22,304,405,11,742
MAHARASHTRA,YAVATMAL,YAVATMAL,5,94,178,11,288
MAHARASHTRA,YAVATMAL,ZARI JAMANI,7,94,256,10,367
MANIPUR,IMPHAL EAST,IRILBUNG,0,0,0,0,0
MANIPUR,IMPHAL EAST,SAWOMBUNG,5,0,0,0,5
MANIPUR,IMPHAL WEST,HAORANG SABAL,0,0,0,0,0
MANIPUR,IMPHAL WEST,WANGOI,0,0,0,0,0
MANIPUR,THOUBAL,KAKCHING,0,0,0,0,0
MANIPUR,THOUBAL,THOUBAL,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,SAMANDA,0,0,0,0,0
MEGHALAYA,JAINTIA HILLS,KHLIEHRIAT,1,0,1,0,2
MEGHALAYA,JAINTIA HILLS,LASKEIN,0,0,0,0,0
MEGHALAYA,JAINTIA HILLS,THADLASKEIN,0,0,0,0,0
MEGHALAYA,WEST GARO HILLS,BETASING,0,0,0,0,0
MEGHALAYA,WEST GARO HILLS,DALU,0,0,0,0,0
MIZORAM,CHAMPHAI,KHAWZAWL,14,2,1,0,17
MIZORAM,KOLASIB,THINGDAWL,1,12,13,0,26
MIZORAM,MAMIT,REIEK,0,2,0,0,2
MIZORAM,SERCHHIP,EAST LUNGDAR,95,70,4,1,170
NAGALAND,DIMAPUR,DHANSIRI,0,5,1,1,7
NAGALAND,DIMAPUR,KUHUBOTO,0,0,13,1,14
NAGALAND,DIMAPUR,MEDZIPHEMA,0,2,12,1,15
NAGALAND,DIMAPUR,NIULAND,0,0,2,0,2
ORISSA,ANGUL,ANUGUL,62,55,28,2,147
ORISSA,ANGUL,ATHAMALLIK,0,1,4,0,5
ORISSA,ANGUL,BANRAPALA,0,1,0,1,2
ORISSA,ANGUL,CHHENDIPADA,1,3,0,1,5
ORISSA,ANGUL,KANIHA,1,0,0,0,1
