-----
{
 "description": "Data provide all India (1999, 2004 and 2009) and state-wise (2009) details on women's participation in election to the Lok Sabha (House of People) including the number of constituencies, electors and votes polled.", 
 "file_name": "WOMENS_PARTICIPATION_IN_ELECTION_TO_THE_LOK_SABHA.xls", 
 "title": "Download XLS for Women Participation In Election To The Lok Sabha - House of People", 
 "url": "http://data.gov.in/sites/default/files/WOMENS_PARTICIPATION_IN_ELECTION_TO_THE_LOK_SABHA.xls"
}
-----
"State","Total 
constituencies (Number of constituencies)","Elected
Women (Number of constituencies)","Total (Number of electors)","Women 
Electors (Number of electors)","Total (Number of votes polled)","Women (Number of votes polled)","Elected women over total seats (Percentage)","Women electors over total electors (Percentage)","Womens 
votes over total votes polled (Percentage)","Women 
 voters over women electors (Percentage)"
"Andhra Pradesh",42.0,5.0,57892259.0,29207418.0,42048269.0,20845852.0,11.9047619048,50.4513358168,49.5760051383,71.3717727462
"Arunachal Pradesh",2.0,"NA",734541.0,364877.0,500642.0,245284.0,"NA",49.6741502517,48.9938918429,67.2237493731
"Assam",14.0,2.0,17470329.0,8439234.0,12147016.0,5632823.0,14.2857142857,48.3060965824,46.3720719558,66.7456667276
"Bihar",40.0,4.0,54505246.0,25284439.0,24235476.0,10775241.0,10.0,46.3890007945,44.4606122034,42.6160968017
"Chattisgarh",11.0,2.0,15476577.0,7626789.0,8555661.0,3983764.0,18.1818181818,49.2795596856,46.562901452,52.2338299906
"Goa",2.0,"NA",1020794.0,508319.0,564255.0,273482.0,"NA",49.7964329728,48.4678026779,53.8012547239
"Gujarat",26.0,4.0,36484281.0,17585894.0,17476088.0,7624781.0,15.3846153846,48.2012897554,43.6297928919,43.3573692643
"Haryana",10.0,2.0,12087710.0,5496756.0,8157676.0,3619042.0,20.0,45.473923514,44.3636398406,65.8395970278
"Himachal Pradesh",4.0,"NA",4606674.0,2257953.0,2690850.0,1334297.0,"NA",49.0148206711,49.5864503781,59.0932140749
"Jammu & Kashmir",6.0,"NA",6572896.0,3151188.0,2607880.0,1065887.0,"NA",47.9421551779,40.8717809102,33.8249257106
"Jharkhand",14.0,"NA",17934095.0,8449928.0,9142173.0,4033059.0,"NA",47.1165564808,44.1148838465,47.72891556
"Karnataka",28.0,1.0,41790939.0,20474457.0,24575813.0,11592518.0,3.57142857143,48.9925746823,47.1704354196,56.6194160851
"Kerala",20.0,"NA",21859536.0,11330955.0,16036873.0,8220848.0,"NA",51.8352951316,51.2621631412,72.5521193933
"Madhya Pradesh",29.0,6.0,38085179.0,17902080.0,19486218.0,7852392.0,20.6896551724,47.0053718272,40.2971577142,43.8630148005
"Maharashtra",48.0,3.0,72954058.0,34793896.0,36995037.0,16487190.0,6.25,47.6928863916,44.5659508328,47.3852942482
"Manipur",2.0,"NA",1736251.0,899752.0,1339399.0,690644.0,"NA",51.8215396276,51.5637237298,76.7593736941
"Meghalaya",2.0,1.0,1277739.0,648303.0,822566.0,415923.0,50.0,50.7382963187,50.5640884744,64.1556494417
"Mizoram",1.0,"NA",629374.0,318227.0,325991.0,154086.0,"NA",50.5624636544,47.2669490876,48.4201529097
"Nagaland",1.0,"NA",1321878.0,645156.0,1189601.0,575635.0,"NA",48.8060168941,48.3889135937,89.2241566381
"Orissa",21.0,"NA",27194864.0,13119010.0,17767143.0,8452619.0,"NA",48.240763403,47.5744412031,64.4303114336
"Punjab",13.0,4.0,16958380.0,8129384.0,11832306.0,5645170.0,30.7692307692,47.9372675928,47.7098039892,69.4415468626
"Rajasthan",25.0,3.0,37060011.0,17520650.0,17935280.0,7844124.0,12.0,47.2764295726,43.7357208809,44.7707362455
"Sikkim",1.0,"NA",300584.0,143222.0,251776.0,118668.0,"NA",47.6479120645,47.1323716319,82.8559858122
"Tamil Nadu",39.0,1.0,41620460.0,20725138.0,30397137.0,14903459.0,2.5641025641,49.7955524759,49.0291536338,71.9100591755
"Tripura",2.0,"NA",2082265.0,1016559.0,1758501.0,838874.0,"NA",48.8198668277,47.7039251044,82.5209358237
"Uttar Pradesh",80.0,13.0,116006374.0,52611874.0,55430198.0,23271819.0,16.25,45.3525717475,41.984008428,44.233016676
"Uttarakhand",5.0,"NA",5887724.0,2850182.0,3140699.0,1441326.0,"NA",48.4088928082,45.8918858509,50.5696127475
"West Bengal",42.0,7.0,52493168.0,24925428.0,42731483.0,20003460.0,16.6666666667,47.4831848594,46.8119957363,80.253225742
"Andaman & Nicobar Islands",1.0,"NA",265108.0,123959.0,170103.0,78359.0,"NA",46.757925072,46.0656190661,63.2136432207
"Chandigarh",1.0,"NA",524444.0,232778.0,343557.0,151176.0,"NA",44.3856732082,44.0031785119,64.9442816761
"Dadra & Nagar Haveli",1.0,"NA",150704.0,69643.0,110363.0,52617.0,"NA",46.2117793821,47.6763045586,75.5524604052
"Daman & Diu",1.0,"NA",95382.0,47025.0,68024.0,35522.0,"NA",49.3017550481,52.2198047748,75.538543328
"Delhi",7.0,1.0,11096854.0,4907979.0,5754256.0,2433896.0,14.2857142857,44.2285624376,42.2973187151,49.5905952328
"Lakshadweep",1.0,"NA",45983.0,22481.0,39498.0,19777.0,"NA",48.8898071026,50.0708896653,87.9720652996
"Puduchery",1.0,"NA",762440.0,395367.0,608503.0,315383.0,"NA",51.8554902681,51.8293254101,79.7696823458
