-----
{
 "description": "The table refers to state's gross state domestic product at factor cost at current prices for the base year 2004-05 by economic activity.", 
 "file_name": "GSDPCurrPuducherry.csv", 
 "title": "Download CSV for Gross State Domestic Product of Puducherry at factor cost at current prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/GSDPCurrPuducherry.csv"
}
-----
Sector,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14
Agriculture,19982,22212,26174,27222,36040,43989,45454,45038,47476,49325
Forestry & Logging,3500,4300,5100,6000,7107,8254,10891,9137,10349,10875
Fishing,7000,7100,7400,7500,10568,15789,20347,19589,35029,40546
Agriculture & Allied,30482,33612,38674,40722,53715,68032,76692,73764,92854,100746
Mining & Quarrying,0,0,0,0,0,0,0,177,185,231
Manufacturing,204499,363919,319733,342843,380627,464902,446240,476073,540828,567551
Manufacturing - Registered,168585,324366,272705,288072,321799,403804,377693,413531,474823,495335
Manufacturing - Unregistered,35914,39553,47028,54771,58828,61098,68547,62542,66005,72216
Construction,75301,80214,93383,107762,84221,116703,130380,135299,142953,150653
"Electricity, Gas and Water supply",9001,11534,12100,10536,14643,16172,17118,16696,20024,21287
Industry,288801,455667,425216,461141,479491,597777,593738,628245,703990,739722
"Transport, Storage & Communication",20241,19322,27108,30162,34897,41916,44772,55313,67056,82851
Railways,66,65,124,142,284,333,330,468,558,667
Transport by other means,10598,12251,15413,16825,18325,20633,23231,26206,29557,38709
Storage,63,68,81,97,118,177,213,298,381,480
Communication,9514,6938,11490,13098,16170,20773,20998,28341,36560,42995
"Trade, Hotels and restaurants",109939,144243,170390,193304,180132,196707,225051,215650,273111,372418
Banking & Insurance,19013,21212,27028,30913,35463,42476,46079,51340,56340,66755
"Real estate, Ownership of dwellings and Business services",43947,54413,66063,80258,98069,115152,137476,162643,210604,320176
Public Administration,19608,27513,23825,25633,45110,51364,56670,83518,113638,149754
Other services,43339,41741,55206,63010,78130,117015,128683,159467,201571,252532
Services,256087,308444,369620,423280,471801,564630,638731,727931,922320,1244486
State Domestic Product,575371,797723,833511,925143,1005005,1230437,1309160,1429940,1719165,2084954
