-----
{
 "description": "The table gives the Gross Domestic Product at Factor Cost by Industry of Origin at (Constant 2004-05) Prices. It provides the industry-wise details for the years 1950-51 to 2011-12. ", 
 "file_name": "tab13a.xls", 
 "title": "Download XLS for Gross Domestic Product at Factor Cost by Industry of Origin at Constant Prices(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab13a.xls"
}
-----
"1.3 A GROSS DOMESTIC PRODUCT AT FACTOR COST BY INDUSTRY OF ORIGIN","","","","","",""
"","","","","       At Constant (2004-05) prices","","(`crore)"
"","Agriculture,","Manufacturing,","Trade,","Financing,","Community","Gross"
"","forestry &","construction,","hotels,","insurance, real","social","domestic"
"","fishing,","electricity,","transport &","estate","and","product at"
"Year","mining and","gas and water","communication","and business","personal","factor"
"","quarrying","supply","","services","services","cost"
"","","","","","","(2 to 6)"
1.0,2.0,3.0,4.0,5.0,6.0,7.0
"","","","","","",""
"1950-51",150190.7718,40138.2112998,30792.0032892,23325.4870689,28474.0,279618.02516
"1951-52",152987.328778,41996.2643808,31607.6219115,23862.6850249,29329.0,286146.859178
"1952-53",157763.503049,41833.8630567,32641.0755704,24862.6580464,29934.0,294267.137252
"1953-54",169546.738935,44415.6420017,33861.1716559,25218.534778,30860.0,312177.405197
"1954-55",174610.745246,48324.664589,36065.1351561,26140.0254784,31967.0,325430.742584
"1955-56",173254.664743,53962.1472692,38700.0696491,27190.0648081,32955.0,333766.256945
"1956-57",182650.774744,58808.7590295,41537.0846467,27635.2490085,34219.0,352765.750945
"1957-58",175179.621891,57736.9117535,42831.3881773,28678.5226208,35765.0,348500.159089
"1958-59",192336.64045,62008.5134422,44964.8665623,29491.761844,37233.0,374948.133058
"1959-60",190851.09193,66377.648905,47778.7198783,30618.9303512,38834.0,383153.201185
"1960-61",204339.510541,73555.4946632,51879.2170272,31252.2014934,40741.0,410279.495571
"1961-62",205014.257598,78638.471582,55259.1470934,32595.8729552,42656.0,423011.048022
"1962-63",202234.102508,83516.970992,58503.2969152,33693.2723063,45686.0,431959.659683
"1963-64",207030.261802,92431.6992955,62649.8374911,34735.1927752,48684.0,453828.970834
"1964-65",225287.329693,99250.4351097,66889.9102496,35687.8057753,51894.0,488247.209708
"1965-66",202905.604987,102474.989373,68078.7589485,36766.2611178,53950.0,470402.16488
"1966-67",200481.444912,106304.154851,69862.3160018,37411.7105511,56438.0,475189.541672
"1967-68",228812.578804,109855.790484,72852.3486148,38430.6275811,58659.0,513860.327779
"1968-69",228835.567856,115421.734715,76155.1298699,40304.7312817,61272.0,527270.200647
"1969-70",243347.031948,124372.220664,80275.3148501,41979.9228927,64655.0,561629.738715
"1970-71",258664.708366,126355.953341,84204.8003608,43734.9499683,68218.0,589786.558351
"1971-72",254394.585672,129506.341488,86120.5583234,45989.2869828,71264.0,595741.428939
"1972-73",243081.851563,133917.381155,87991.439244,47767.3174973,73594.0,593843.436233
"1973-74",259750.777254,134648.543547,91686.040989,48936.433452,75541.0,620871.895943
"1974-75",256718.542131,136045.066017,97176.1782053,48779.46881,79120.0,628079.050379
"1975-76",289694.556236,144928.309853,105980.036522,52142.0303233,81914.0,684634.015184
"1976-77",274522.316251,158353.78779,110697.083114,56277.2367557,84190.0,693191.288143
"1977-78",300873.259933,170122.969596,118084.018732,59032.2368527,86450.0,744971.920779
"1978-79",307874.453834,182589.510879,127772.484749,63202.6250153,90186.0,785964.649853
"1979-80",271096.445303,176035.000796,126751.405051,63818.3052924,96779.0,745082.800078
"1980-81",305905.759751,183970.249179,133906.445606,65041.2040504,101666.0,798506.29558
"1981-82",321875.693572,197518.849779,142057.279756,70325.9319716,103842.0,843426.456785
"1982-83",323861.687427,197833.076893,149903.233883,77028.6959212,111849.0,868091.701485
"1983-84",354719.72136,214736.869395,157544.823181,84584.9853317,116027.0,936269.666173
"1984-85",360229.505867,224283.921292,165036.828589,90907.0625645,124065.0,973357.406952
"1985-86",362783.481453,233817.543906,178194.875174,99782.6676762,131184.0,1013865.97018
"1986-87",364989.221749,245385.286333,188888.02839,110295.136134,141043.0,1057612.24487
"1987-88",360948.814937,259640.796959,198577.888409,118383.104641,151240.0,1094992.83204
"1988-89",417580.689916,280863.396923,210404.909213,129934.007428,160385.0,1206243.44246
"1989-90",425074.618551,304460.613316,226073.80004,146087.570655,173022.0,1280228.03988
"1990-91",444880.466669,325450.371888,237736.246627,155164.586399,180564.0,1347889.44656
"1991-92",438685.068917,325149.83657,243177.982274,171956.312227,185232.0,1367171.03589
"1992-93",465083.675612,336716.263099,256896.585977,181320.279328,196332.0,1440503.92519
"1993-94",479591.573996,357236.506378,274682.10662,201567.610568,205101.0,1522343.6451
"1994-95",504477.287584,389902.991749,301997.056968,209400.933183,209742.0,1619694.47509
"1995-96",504526.914001,436862.767556,342535.734775,226347.859763,225157.0,1737740.93294
"1996-97",549201.80483,468146.015689,370200.409291,240354.176273,243288.0,1876319.2749
"1997-98",542312.824146,483585.469383,398108.737983,268494.631519,263486.0,1957031.94841
"1998-99",574374.244467,504484.846764,428613.237584,289440.178182,289085.0,2087828.10729
"1999-00",590696.167945,535729.825574,476087.874174,314990.4866,328771.165224,2246275.51952
"2000-01",592226.631064,570571.373761,506741.951823,329270.974312,343963.292755,2342774.22371
"2001-02",624922.586166,585971.035516,550382.815508,352791.646721,357983.89014,2472051.97405
"2002-03",594280.295758,627374.436485,596906.237364,380081.241573,372047.613335,2570689.82452
"2003-04",643183.345677,676833.041235,663432.283894,402243.254046,392121.168158,2777813.09301
"2004-05",650454.0,744755.0,727720.0,437174.0,411361.0,2971464.0
"2005-06",680628.0,824272.0,815407.0,492340.0,440425.965769,3253072.96577
"2006-07",711768.0,928626.0,910084.0,561063.0,452822.838081,3564363.83808
"2007-08",751077.0,1023998.0,1009520.0,628124.0,483917.409497,3896636.4095
"2008-09",753744.0,1071681.0,1085125.0,703629.0,544496.94795,4158675.94795
"2009-10(3R)",764817.0,1173089.0,1197891.0,771905.0,608369.0,4516071.0
"2010-11(2R)",822415.0,1284941.0,1345660.0,849632.0,634358.0,4937006.0
"2011-12(1R)",847744.0,1334249.0,1440312.0,948808.0,672469.0,5243582.0
"Source : Central Statistics Office.","","","","","",""
"1R : 1st Revised Estimates.","","2R : 2nd Revised Estimates.","","3R : 3rd Revised Estimates.","",""
"Note :  For the year prior to 1999-2000 totals under col. 7 may not add up to totals of individual item under col. 2 to col. 6 due to splicing   technique applied independently at the level of each industry and at the total level.","","","","","",""
