-----
{
 "description": "This table provide details on cumulative achievements of Ministry of New and Renewable Energy (MNRE) as on 30th April 2013.", 
 "file_name": "Ministry_of_New_And_Renewable_Energy_Cumulative_Achievements.xls", 
 "title": "Download XLS for Ministry of New And Renewable Energy Cumulative Achievements as on 30th April 2013", 
 "url": "http://data.gov.in/sites/default/files/Ministry_of_New_And_Renewable_Energy_Cumulative_Achievements.xls"
}
-----
"Type","Sector","Installed Capacity (as on 30.04.2013)"
"Other Renewable Energy Systems","Family Biogas Plants ","46.55 Lakh"
"Other Renewable Energy Systems","Solar Water Heating - Coll. Areas(million m2)","6.98 million Sq.m"
