-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 1993-94.", 
 "file_name": "RajasthanGSDPconst_1.csv", 
 "title": "Download CSV for Rajasthan Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/RajasthanGSDPconst_1.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006"
"Agriculture","1057441","1333197","1284186","1562143","1623209","1614410","1403366","1236146","1574385","1003757","1873140","1656212","1683303"
"Foresty and Logging","59087","60805","62569","63675","66618","67642","69770","75808","77792","79736","81958","84272","86723"
"Fishing","3738","4281","3810","4379","4624","3677","3969","3710","4363","4085","4366","5158","5787"
"Mining and Quarrying","75689","76064","92071","91198","109972","119003","128643","127181","137993","156334","182386","180995","179767"
"Sub total of primary","1195955","1474347","1442636","1721395","1804423","1814372","1604286","1453657","1812874","1269964","2140459","1926637","1955580"
"Manufacturing","404575","545044","605045","580937","722123","689386","879117","787874","763727","754987","812982","884895","940822"
"Registered","210532","333148","379853","370346","448314","408948","590988","502263","458699","442310","458715","503594","537201"
"Unregistered","194043","211896","225192","210591","273809","280438","288129","285611","305028","312677","354267","381301","403621"
"Construction","297273","331673","347932","385593","449533","441199","511954","454716","508230","566306","607778","682098","773933"
"Electricity, Gas and water Supply","121075","121960","125487","122172","143552","228940","206483","215286","222657","240338","264608","276287","290943"
"Sub total of secondary","822923","998677","1078464","1088702","1315208","1359525","1597554","1457876","1494614","1561631","1685368","1843280","2005698"
"Transport Storage and Communication","168805","183167","199494","211897","236351","273338","308689","360804","342312","403180","451440","502249","559398"
"Railways","54141","56707","61719","66057","67445","72454","75778","78551","88113","95524","101654","110803","120775"
"Transport by other means","84242","90124","96048","96344","110166","114490","130975","164546","115457","146642","165407","179382","194702"
"Storage","2966","3219","3384","3122","3058","4889","5113","5792","6369","6268","6207","6917","7715"
"Communication","27456","33117","38343","46374","55682","81505","96823","111915","132373","154746","178172","205147","236206"
"Trade, hotels and restaurants","427155","484123","528493","606560","678868","702682","674900","725095","812897","727163","931357","889230","896026"
"Banking and Insurance","96154","101042","108662","138191","167870","172532","179629","199946","209264","242784","260864","285307","312040"
"Real estate, ownership of dwelling and business","230202","237548","244892","251750","281552","293446","313817","340914","323241","384043","394722","407889","422155"
"Pubic Administration","132724","136644","146312","153085","166651","205426","216541","223300","222337","226176","241506","251548","261507"
"Other Services","223052","249267","273519","303906","331222","370828","395142","426251","464353","485766","537025","579142","636690"
"Sub total of tertiary","1278092","1391791","1501372","1665389","1862514","2018252","2088718","2276310","2374404","2469112","2816914","2915365","3087816"
"State domestic product","3296970","3864817","4022472","4475488","4982145","5182509","5292020","5177032","5663550","5274655","6644133","6685283","7049094"

"Figures are in Rs. Lakh"
