-----
{
 "description": "The table refers to district wise average length of water conveyance channel of surface lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftDsttab5.12.csv", 
 "title": "Download CSV for Districtwise Average length of water conveyance channel of surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftDsttab5.12.csv"
}
-----
"State","District","Total Number of Schemes","Average length - Pucca channel","Average length - Kutcha channel","Average length - Underground channel"
"JAMMU & KASHMIR","Kathua",17,300,150,12
"JAMMU & KASHMIR","Kupwara",7,130,370,0
"JAMMU & KASHMIR","Poonch",3,366,700,0
"JAMMU & KASHMIR","Pulwama",50,400,470,0
"JAMMU & KASHMIR","Rajouri",49,330,120,13
"JAMMU & KASHMIR","Srinagar",49,125,90,0
"JAMMU & KASHMIR","Udhampur",11,136,174,0
"KARNATAKA","BANGALORE RURAL",218,27,13,7
"KARNATAKA","BANGALORE URBAN",77,14,15,0
"KARNATAKA","BELGAUM",12006,147,140,513
"KARNATAKA","BELLARY",3283,69,53,45
"KARNATAKA","BIDAR",460,177,93,104
"KARNATAKA","BIJAPUR",6317,663,70,389
"KARNATAKA","CHIKKAMAGALORE",296,511,379,27
"KARNATAKA","CHITRADURGA",1295,34,87,45
"KARNATAKA","DAKSHINA KANNADA",531,2,52,59
"KARNATAKA","DHARWAR",2736,55,140,209
"KARNATAKA","GULBARGA",359,118,111,41
"KARNATAKA","HASSAN",121,8,232,288
"KARNATAKA","KODAGU",25,25,41,0
"KARNATAKA","KOLAR",33,14,99,18
"KARNATAKA","MANDYA",145,74,12,83
"KARNATAKA","MYSORE",153,856,446,1
"KARNATAKA","RAICHUR",1636,47,52,112
"KARNATAKA","SHIMOGA",2373,51,96,45
"KARNATAKA","TUMKUR",135,21,6,91
"KARNATAKA","UTTARA KANNADA",149,1824,445,18
"KERALA","ALAPUZHA",276,223,18,2
