-----
{
 "description": "This table consists of the financial progress of the total sanitation campaign in eleventh plan during financial years from 2007-08 to 2011-12 in terms of total outlay and total expenditure.", 
 "file_name": "Financial_Progress_Of_The_Total_Sanitation_Campaign.xls", 
 "title": "Download XLS for Financial Progress Of The Total Sanitation Campaign In Eleventh Plan During Financial Years From 2007-08 To 2011-12", 
 "url": "http://data.gov.in/sites/default/files/Financial_Progress_Of_The_Total_Sanitation_Campaign.xls"
}
-----
"Financial Year","Total outlay (Rs. in Crore)","Total expenditure (Rs. in Crore)"
"2007-08",1060.0,996.0
"2008-09",1200.0,1193.0
"2009-10",1200.0,1200.0
"2010-11",1580.0,1580.0
"2011-12",1500.0,1500.0
"Total (in crore)",6540.0,6469.0
