-----
{
 "description": "The table shows the Annual Growth Rate of Gross National Product and Net National Product for the years 1951-52 to 2011-12. It gives the percentage growth rate of Gross National Income at factor cost, Net National Income at factor cost and Per Capita Net National Income at current prices and at ...", 
 "file_name": "tab12.xls", 
 "title": "Download XLS for Annual Growth Rate of Gross National Product and Net National Product(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab12.xls"
}
-----
"1.2 ANNUAL GROWTH RATES OF GROSS NATIONAL INCOME AND NET NATIONAL INCOME","","","","","",""
"","","","","","","(Per cent)"
"","Gross national income","","Net national income","","Per capita net",""
"Year","at factor cost","","at factor cost","","national income",""
"","At current","At 2004-05","At current","At 2004-05","At current","At 2004-05"
"","prices","prices","prices","prices","prices","prices"
1.0,2.0,3.0,4.0,5.0,6.0,7.0
"1951-52",5.66260505152,2.46917072111,5.50399477869,2.89690377996,3.76968253575,1.20544782742
"1952-53",-1.29174689896,2.88282429972,-1.44883706641,3.32453522618,-3.30329443344,1.38025633751
"1953-54",8.96752511697,6.12447538538,9.78483502871,6.77249745926,7.7571467828,4.800446055
"1954-55",-6.15907544649,4.18436376595,-6.00451014052,5.53690880655,-7.70909156285,3.62302704063
"1955-56",1.792997051,2.68219211668,1.5230467932,2.69723804942,-0.285251750187,0.868025157957
"1956-57",19.3317563686,5.65900638625,19.9216162794,5.71358375786,17.5291650818,3.60458458064
"1957-58",2.21252112297,-1.26211060622,1.76627179442,-1.56522981047,-0.224266529188,-3.4906042885
"1958-59",11.7689989011,7.5434967809,11.9027143353,7.66441079396,9.49332574914,5.3462775472
"1959-60",4.89861898554,2.04311163145,4.80061169078,1.94823139567,2.83252508626,0.0337106182877
"1960-61",9.41136213524,7.03772367774,9.59249547149,7.48032145026,7.57235730612,5.49911736822
"1961-62",5.39671241574,2.98811226505,5.12490098905,2.87296045364,2.75722303885,0.556001884864
"1962-63",6.90880734429,2.05272778793,6.83302836464,1.83316557745,4.47987796014,-0.409855690776
"1963-64",14.3462906906,5.08683750426,14.4845955752,5.05014757698,12.0172551533,2.78613577575
"1964-65",16.762095186,7.47530603684,16.8892776757,7.49056519892,14.4232591593,5.22283175591
"1965-66",4.66057641704,-3.71777844152,4.26972280243,-4.31197183999,1.90484249145,-6.48221577764
"1966-67",13.6599493765,1.04224070019,13.4628345531,0.617204015516,11.1706560773,-1.41546677268
"1967-68",17.5584365773,8.03805517147,17.7423568431,8.12726109071,15.18274039,5.77666845831
"1968-69",5.50342565916,2.66531388617,5.41756448903,2.46775409438,2.97545874797,0.0939837292598
"1969-70",9.9976258197,6.51205388982,9.71622766602,6.50374756335,7.43479382042,4.28911387111
"1970-71",6.38623326048,5.02462387194,5.47135262304,4.51993389518,3.13187714896,2.20156197884
"1971-72",6.4220182189,1.02973967508,6.19563893102,0.758431662953,3.70368350484,-1.60593586704
"1972-73",10.0390445251,-0.264444124772,9.95101704536,-0.60262393527,7.43009425596,-2.88157612018
"1973-74",22.6402323663,4.63617113152,22.8242658681,4.6530326383,20.0713081848,2.30736121709
"1974-75",17.8518241132,1.28573673471,17.0909311027,0.84582076558,14.5240135574,-1.36496451259
"1975-76",6.28076354363,9.10053968645,5.36740324901,9.43499517815,2.93718307523,6.91095904554
"1976-77",7.54469187378,1.28093057107,7.44593396368,0.816522854706,5.19303534832,-1.29737197934
"1977-78",14.1691981297,7.5426307867,14.7342690513,7.84071875992,12.2007047505,5.45937796711
"1978-79",7.57137819909,5.52655702075,7.31835261738,5.65760596244,4.99974623367,3.37487990769
"1979-80",9.42865223214,-5.0395619106,8.38222515571,-5.9243728782,5.77060527244,-8.19125545945
"1980-81",19.6504262516,7.21447846477,20.0400716782,7.38460336327,17.3882291522,5.01233672048
"1981-82",16.8173713594,5.48782521772,16.3575121118,5.5161139267,14.1716050924,3.53387479224
"1982-83",11.2928595777,2.60758174928,10.8682018213,2.30008663329,8.36270573493,-0.0117797313051
"1983-84",16.8553880269,7.84033845061,17.3859879624,8.12810175229,14.9505940212,5.88478013917
"1984-85",12.1281235567,3.80172596625,11.6940515933,3.49352598783,9.27577713393,1.2528001207
"1985-86",11.8101832356,4.18746399044,11.0185165705,3.93060008718,8.66580628553,1.72809730387
"1986-87",11.4169688883,4.2730264901,11.2766849394,4.08633713111,8.96744115339,1.9263093826
"1987-88",13.166294025,3.34314565164,12.7390407299,2.94667709795,10.306853303,0.725746246856
"1988-89",18.9255563633,9.89566061624,19.1360570377,10.3910488995,16.6201403053,8.05980935755
"1989-90",15.0614307563,6.12130517508,14.9065716532,6.13893053125,12.5301583708,3.94384316016
"1990-91",16.2949659639,5.07376306882,16.287936636,4.87236788699,13.9316852381,2.74742121944
"1991-92",15.1033531774,1.38997318245,14.2499243535,0.796170806512,11.9809422109,-1.2056223053
"1992-93",14.6867841418,5.42043966832,14.6831534374,5.3608816352,12.5788753926,3.42765444924
"1993-94",16.443619991,5.86540996392,17.0056050884,6.05171892995,14.3821610281,3.67387769834
"1994-95",16.9282934212,6.44864223032,16.9467777396,6.41423675287,14.6335447733,4.30933976215
"1995-96",17.2767677699,7.28543917818,17.3806188832,7.39142200087,15.1038396376,5.3083987293
"1996-97",16.6142028006,8.0985710048,16.7595970765,8.28952102011,14.5379556945,6.22904387596
"1997-98",11.3060580246,4.50893465145,11.0697866316,4.14146966099,8.99586945387,2.19691939761
