-----
{
 "description": "The table refers to District wise Distribution of Deep Tubewells in use and their Potential Created/Utilised according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwlstate3.15.csv", 
 "title": "Download CSV for Districtwise Distribution of Deep Tubewells in use and their Potential Created/Utilised according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/dptbwlstate3.15.csv"
}
-----
"State","District","No. in use - Public","No. in use - Private","No. in use - Total","Potential created (Ha) - Public","Potential created (Ha) - Private","Potential created (Ha) - Total","Potential utilised (Ha) - Public","Potential utilised (Ha) - Private","Potential utilised (Ha) - Total"
"ANDHRA PRADESH","ADILABAD",0,57,57,0,178,178,0,178,178
"ANDHRA PRADESH","ANANTHAPUR",0,560,560,0,1857,1857,0,1296,1296
"ANDHRA PRADESH","CHITTOOR",42,28228,28270,88,47865,47953,78,35012,35090
"ANDHRA PRADESH","CUDDAPAH",194,19513,19707,633,74928,75560,321,54139,54460
"ANDHRA PRADESH","EAST GODAVARI",97,3902,3999,1511,23853,25364,1324,22921,24246
"ANDHRA PRADESH","GUNTUR",5,2341,2346,29,11746,11775,28,11726,11754
"ANDHRA PRADESH","KARIMNAGAR",56,250,306,1736,438,2175,661,294,955
"ANDHRA PRADESH","KHAMMAM",56,1049,1105,456,3124,3580,447,3062,3509
"ANDHRA PRADESH","KRISHNA",39,886,925,326,5426,5752,301,4400,4701
"ANDHRA PRADESH","KURNOOL",65,2488,2553,252,8628,8880,225,7681,7906
"ANDHRA PRADESH","MEDAK",0,532,532,0,1059,1059,0,729,729
"ANDHRA PRADESH","NALGONDA",0,62,62,0,116,116,0,104,104
"ANDHRA PRADESH","NELLORE",0,269,269,0,590,590,0,509,509
"ANDHRA PRADESH","NIZAMABAD",0,10,10,0,12,12,0,11,11
"ANDHRA PRADESH","PRAKASAM",102,1566,1668,177,2779,2956,174,2546,2720
"ANDHRA PRADESH","RANGAREDDY",18,1494,1512,30,2300,2330,6,1740,1747
"ANDHRA PRADESH","SRIKAKULAM",0,55,55,0,177,177,0,149,149
"ANDHRA PRADESH","VISAKHAPATNAM",0,3,3,0,9,9,0,9,9
"ANDHRA PRADESH","WARANGAL",28,714,742,137,1499,1636,103,1270,1374
"ANDHRA PRADESH","WEST GODAVARI",114,20806,20920,1914,99262,101176,1736,89325,91060
"ARUNACHAL PRADESH","PAPUMPARE",1,0,1,10,0,10,10,0,10
"ASSAM","BARPETA",1,9,10,8,30,38,8,21,29
"ASSAM","BONGAIGAON",0,4,4,0,200,200,0,97,97
"ASSAM","CACHAR",1,0,1,32,0,32,32,0,32
