-----
{
 "description": "The table refers to Statewise Distribution of Surface Lift Schemes according to Horse Power of Lifting Device. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftNat5.10.csv", 
 "title": "Download CSV for Statewise Distribution of Surface Lift Schemes according to Horse Power of Lifting Device", 
 "url": "http://data.gov.in/sites/default/files/srfcliftNat5.10.csv"
}
-----
"State","Horse Power (0-2)","Horse Power (2 - 4)","Horse Power (4 - 6)","Horse Power (6 -8)","Horse Power (8 - 10)","Horse Power (Above 10)","Unspecified","Total"
"ANDHRA PRADESH",294,3618,16227,1337,1336,834,547,24193
"ARUNACHAL PRADESH",0,0,1,0,6,12,2,21
"ASSAM",17,16,1145,8,39,410,73,1708
"BIHAR",54,35,1908,248,117,324,201,2887
"CHHATTISGARH",671,985,14711,109,359,455,8136,25426
"GOA",154,138,324,43,106,155,64,984
"GUJARAT",34,29,1625,160,94,183,1066,3191
"HARYANA",5,0,10,132,193,101,205,646
"HIMACHAL PRADESH",45,35,54,50,90,436,14,724
"JAMMU & KASHMIR",17,9,101,51,125,174,28,505
"JHARKHAND",826,864,7700,153,229,48,2177,11997
"KARNATAKA",1751,5182,26571,6898,15564,1177,3226,60369
"KERALA",5147,2947,2926,363,756,1069,285,13493
"MADHYA PRADESH",3389,47737,121033,7524,6022,2627,7810,196142
"MAHARASHTRA",4414,19387,45494,9696,9212,6059,5640,99902
"MANIPUR",0,0,0,0,2,42,0,44
"MEGHALAYA",0,0,1,0,2,6,2,11
"MIZORAM",0,2,202,2,10,0,0,216
"NAGALAND",0,0,24,0,8,0,6,38
"ORISSA",3550,3927,7634,1119,3892,1215,11507,32844
"PUNJAB",2,33,421,782,100,72,31,1441
"RAJASTHAN",20,33,1076,655,207,184,49,2224
"TAMIL NADU",1061,780,5333,820,569,673,850,10086
"TRIPURA",57,26,333,2,12,719,18,1167
"UTTAR PRADESH",121,6,379,4744,1070,70,154,6544
"UTTARANCHAL",2,4,36,49,31,63,523,708
"WEST BENGAL",2843,16183,53117,1988,2638,4204,26622,107595
"ANDAMAN & NICOBARS",496,1,435,18,0,0,746,1696
"DADRA & NAGAR HAVELI",0,5,24,0,10,32,0,71
"DELHI",0,1,5,3,0,0,29,38
"PONDICHERRY",0,0,1,0,0,6,0,7
"ALL INDIA",24970,101983,308851,36954,42799,21350,70011,606918
