-----
{
 "description": "The table refers to Statewise Construction of Dugwells over the years. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.\r", 
 "file_name": "dgwlNat1.1_1.csv", 
 "title": "Download CSV for Statewise Construction of Dugwells over the years", 
 "url": "http://data.gov.in/sites/default/files/dgwlNat1.1_1.csv"
}
-----
"State","Upto 1993-94","During 1994-95","During 1995-96","During 1996-97","During 1997-98","During 1998-99","During 1999-00","During 2000-01","Total (1994-01)"
"ANDHRA PRADESH",939471,82221,55427,36624,27038,20930,12218,11287,1185216
"ARUNACHAL PRADESH",0,0,1,1,1,0,0,1,4
"ASSAM",29,6,13,5,10,39,30,22,154
"BIHAR",102029,11380,8149,5096,3602,2467,1415,1039,135177
"CHHATTISGARH",170753,7986,6261,4562,4295,2891,1827,6408,204983
"GOA",4156,98,153,110,156,118,78,247,5116
"GUJARAT",772947,41722,41654,26407,18235,10815,12204,11616,935600
"HARYANA",12481,1517,1165,958,720,550,411,1017,18819
"HIMACHAL PRADESH",1442,73,82,62,60,93,45,39,1896
"JAMMU & KASHMIR",1543,138,202,177,184,169,50,55,2518
"JHARKHAND",226581,27972,23073,16866,10861,9525,4813,3864,323555
"KARNATAKA",217273,31701,21399,19032,12716,9734,5470,10658,327983
"KERALA",89849,15465,15760,12271,9348,10070,8490,4703,165956
"MADHYA PRADESH",926246,96026,80740,54714,48156,29970,18973,21881,1276706
"MAHARASHTRA",999394,160205,136727,110279,103813,65400,42267,40473,1658558
"MANIPUR",0,0,0,1,0,1,0,1,3
"MEGHALAYA",0,2,0,2,0,2,4,1,11
"NAGALAND",258,2,1,9,11,2,0,0,283
"ORISSA",291430,28776,17850,13366,9668,7779,5808,3702,378379
"PUNJAB",2420,116,97,71,65,58,48,56,2931
"RAJASTHAN",960378,57038,45563,35477,27939,20869,14355,9879,1171498
"TAMIL NADU",1533839,50161,31528,16549,9586,5978,3358,5502,1656501
"TRIPURA",3,22,28,15,43,70,64,14,259
"UTTAR PRADESH",77806,11917,9991,7468,5561,4691,3092,3877,124403
"UTTARANCHAL",478,69,49,122,34,18,16,51,837
"WEST BENGAL",23589,3177,2449,2095,1873,1577,1129,3488,39377
"ANDAMAN & NICOBARS",7,0,0,0,0,0,0,1,8
"DADRA & NAGAR HAVELI",435,23,32,34,16,10,17,5,572
"PONDICHERRY",68,1,1,0,2,0,6,0,78
"ALL INDIA",7354905,627814,498395,362373,293993,203826,136188,139887,9617381
