-----
{
 "description": "The table refers to statewise culturable command area and potential created through shallow tubewells . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Stateshtbwl2.13.csv", 
 "title": "Download CSV for Statewise Culturable Command Area and Potential Created through Shallow Tubewells for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Stateshtbwl2.13.csv"
}
-----
State,Culturable Command Area,Irrigation potential created - Kharif,Irrigation potential created - Rabi,Irrigation potential created - Perennial,Irrigation potential created - Others,Total - Irrigation potential created
ANDHRA PRADESH,532443,379221,280491,72829,16154,748695
ARUNACHAL PRADESH,0,0,0,0,0,0
ASSAM,59314,52275,36056,123,2659,91113
BIHAR,1853817,948008,1332318,111423,173373,2565122
GOA,51,0,5,45,2,52
GUJARAT,NA,NA,NA,NA,NA,NA
HARYANA,1333977,1055035,1055038,0,0,2110073
HIMACHAL PRADESH,4905,2508,4555,77,29,7169
JAMMU & KASHMIR,1563,1600,1526,0,0,3126
KARNATAKA,153320,112698,53813,37968,13699,218178
KERALA,2534,411,333,881,1339,2964
MADHYA PRADESH,544517,115037,509245,15571,5106,644959
MAHARASHTRA,NA,NA,NA,NA,NA,NA
MANIPUR,308,0,308,0,0,308
MEGHALAYA,285,153,226,5,0,384
MIZORAM,0,0,0,0,0,0
NAGALAND,22,13,13,0,0,26
ORISSA,71053,52761,69219,4645,4625,131250
PUNJAB,3535501,3270578,3372497,122111,82631,6847817
RAJASTHAN,273532,3587,277113,202,430,281332
SIKKIM,0,0,0,0,0,0
TAMIL NADU,148320,105329,64411,19257,13518,202516
TRIPURA,506,357,212,4,16,589
UTTAR PRADESH,7692769,3793641,4816958,1329017,616806,10556422
WEST BENGAL,1015476,648432,476087,33361,385706,1543586
ANDAMAN & NICOBARS,0,0,0,0,0,0
CHANDIGARH,0,0,0,0,0,0
DADRA & NAGAR HAVELI,0,0,0,0,0,0
DAMAN & DIU,NA,NA,NA,NA,NA,NA
DELHI,24639,19310,24759,57,38,44164
LAKSHADWEEP,NA,NA,NA,NA,NA,NA
PONDICHERRY,5863,3757,2697,1500,560,8514
All India,17254715,10564712,12377880,1749076,1316691,26008359
