-----
{
 "description": "The table refers to District wise Distribution of Shallow Tubewells by type. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.5.csv", 
 "title": "Download CSV for Districtwise Distribution of Shallow Tubewells by type", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.5.csv"
}
-----
"State","District","Shallow tubewell","Point","Borewell","Others","Total"
"ANDHRA PRADESH","ADILABAD",13925,640,422,206,15193
"ANDHRA PRADESH","ANANTHAPUR",24921,1770,7195,78,33964
"ANDHRA PRADESH","CHITTOOR",15707,847,3278,17,19849
"ANDHRA PRADESH","CUDDAPAH",10733,3845,2447,34,17059
"ANDHRA PRADESH","EAST GODAVARI",14527,8351,471,174,23523
"ANDHRA PRADESH","GUNTUR",11824,3655,3630,83,19192
"ANDHRA PRADESH","KARIMNAGAR",7245,1837,7893,503,17478
"ANDHRA PRADESH","KHAMMAM",5890,632,1072,138,7732
"ANDHRA PRADESH","KRISHNA",13034,1129,1161,90,15414
"ANDHRA PRADESH","KURNOOL",12024,905,3056,71,16056
"ANDHRA PRADESH","MAHABOOBNAGAR",55933,4555,16063,551,77102
"ANDHRA PRADESH","MEDAK",63820,3541,21080,110,88551
"ANDHRA PRADESH","NALGONDA",34341,5714,14383,1192,55630
"ANDHRA PRADESH","NELLORE",20484,6643,2779,177,30083
"ANDHRA PRADESH","NIZAMABAD",66284,2709,26328,1550,96871
"ANDHRA PRADESH","PRAKASAM",11926,1754,8076,95,21851
"ANDHRA PRADESH","RANGAREDDY",27320,1419,7160,148,36047
"ANDHRA PRADESH","SRIKAKULAM",6094,303,258,65,6720
"ANDHRA PRADESH","VISAKHAPATNAM",6834,216,428,8,7486
"ANDHRA PRADESH","VIZIANAGARAM",5046,130,477,3,5656
"ANDHRA PRADESH","WARANGAL",17306,3317,7535,856,29014
"ANDHRA PRADESH","WEST GODAVARI",7442,6274,2125,47,15888
"ASSAM","BARPETA",9676,60,15,31,9782
"ASSAM","BONGAIGAON",5498,682,0,94,6274
"ASSAM","DARRANG",5655,49,4,165,5873
"ASSAM","DHEMAJI",769,283,73,15,1140
"ASSAM","DHUBRI",9293,189,2,341,9825
"ASSAM","DIBRUGARH",4067,100,2,1,4170
"ASSAM","GOALPARA",1351,309,1226,18,2904
"ASSAM","GOLAGHAT",1675,708,35,805,3223
"ASSAM","HAILAKANDI",2,0,0,0,2
"ASSAM","JORHAT",1645,293,4,6,1948
"ASSAM","KAMRUP",6728,19,27,198,6972
"ASSAM","KARBIANGLONG",65,0,0,0,65
"ASSAM","KARIMGANJ",4,0,0,0,4
"ASSAM","KOKRAJHAR",2138,5,3,334,2480
"ASSAM","LAKHIMPUR",1191,141,3,1,1336
"ASSAM","MORIGAON",4399,1049,3,26,5477
"ASSAM","NAGOAN",6641,5,2,18,6666
"ASSAM","NALBARI",3366,62,8,0,3436
"ASSAM","SIBSAGAR",1278,799,9,0,2086
"ASSAM","SONITPUR",1773,742,198,7,2720
"ASSAM","TINSUKIA",2189,66,10,16,2281
"BIHAR","ARARIA",13043,213,396,0,13652
"BIHAR","AURANGABAD",7148,312,1024,105,8589
"BIHAR","BANKA",4286,1164,48,18,5516
"BIHAR","BEGUSARAI",19686,1076,366,52,21180
"BIHAR","BHAGALPUR",10541,81,1032,251,11905
"BIHAR","BHOJPUR",17191,405,649,61,18306
"BIHAR","BUXAR",12467,395,700,255,13817
"BIHAR","DARBHANGA",10673,508,1304,84,12569
"BIHAR","EAST CHAMPARAN",33901,386,477,140,34904
"BIHAR","GAYA",20736,1503,2167,404,24810
"BIHAR","GOPAALGANJ",20777,204,179,83,21243
"BIHAR","JAMUI",3398,228,321,23,3970
"BIHAR","JEHANABAD",18678,643,364,117,19802
"BIHAR","KAIMUR (BHABUA)",10340,237,1978,115,12670
"BIHAR","KATIHAR",33067,294,89,702,34152
"BIHAR","KHAGARIA",13959,40,52,30,14081
"BIHAR","KISHANGANJ",10407,0,29,0,10436
"BIHAR","LAKHISARAI",6187,379,522,47,7135
"BIHAR","MADHEPURA",16870,275,309,207,17661
"BIHAR","MADHUBANI",14567,319,306,515,15707
"BIHAR","MUNGER",3063,287,4,18,3372
"BIHAR","MUZAFFARPUR",33726,633,169,87,34615
"BIHAR","NALANDA",16950,623,3231,234,21038
"BIHAR","NAWADA",9378,2304,4774,1022,17478
"BIHAR","PATNA",25025,1041,1639,225,27930
"BIHAR","PURNIA",21161,237,687,355,22440
"BIHAR","ROHTAS(SASARAM)",18569,287,1862,167,20885
"BIHAR","SAHARSA",11042,313,304,125,11784
"BIHAR","SAMASTIPUR",30825,538,46,21,31430
"BIHAR","SARAN",22715,60,31,206,23012
"BIHAR","SHEKHPURA",4607,0,118,14,4739
"BIHAR","SHEOHAR",6164,6,60,3,6233
"BIHAR","SITAMARHI",18086,18,194,5,18303
"BIHAR","SIWAN",27889,489,261,13,28652
"BIHAR","SUPAUL",13569,197,436,39,14241
"BIHAR","VAISHALI",23906,629,644,88,25267
"BIHAR","WEST CHAMPARAN",17551,179,89,40,17859
"CHANDIGARH","UT CHANDIGARH",132,0,0,0,132
"CHHATTISGARH","BASTER",1323,12,46,678,2059
"CHHATTISGARH","BILASPUR",12683,31,522,157,13393
"CHHATTISGARH","DANTEWADA",109,0,1,93,203
"CHHATTISGARH","DHAMTARI",7291,180,1694,498,9663
"CHHATTISGARH","DURG",13627,125,760,1034,15546
"CHHATTISGARH","JANJGIR-CHAMPA",8345,16,113,12,8486
"CHHATTISGARH","JASHPUR",94,0,2,0,96
"CHHATTISGARH","KANKER",917,3,15,24,959
"CHHATTISGARH","KORBA",186,8,0,9,203
"CHHATTISGARH","KORIA",76,1,1,0,78
"CHHATTISGARH","KVARDHA",2477,68,292,507,3344
"CHHATTISGARH","MAHASAMUND",3312,3,152,502,3969
"CHHATTISGARH","RAIGARH",17022,5,141,13,17181
"CHHATTISGARH","RAIPUR",7359,114,257,762,8492
"CHHATTISGARH","RAJNANDGAON",1683,4,40,309,2036
"CHHATTISGARH","SURGUJA",865,1,1,0,867
"DELHI","ALIPUR",5895,8,10,2,5915
"DELHI","NAJAFGARH",3117,9,8,2,3136
"DELHI","NANGLOI",634,5,3,0,642
"DELHI","SHADARA-NORTHEAST",144,0,0,0,144
"DELHI","SHAHDARA-EAST",495,5,6,1,507
"GOA","NORTH GOA",4,0,10,0,14
"GOA","SOUTH GOA",1,0,15,0,16
"GUJARAT","AHMEDABAD",429,77,89,22,617
"GUJARAT","AMRELI",229,793,169,0,1191
"GUJARAT","ANAND",1050,23,431,2183,3687
"GUJARAT","BANASKANTHA",3306,119,1186,339,4950
"GUJARAT","BHARUCH",3342,8,43,127,3520
"GUJARAT","DAHOD",7,0,1,0,8
"GUJARAT","GANDHINAGAR",660,0,0,0,660
"GUJARAT","KACHCHH",807,149,486,20,1462
"GUJARAT","KHEDA",4277,13,2074,40,6404
"GUJARAT","MEHSANA",679,25,4,0,708
"GUJARAT","NARMADA",2,0,0,0,2
"GUJARAT","NAVSARI",1919,46,3166,0,5131
"GUJARAT","PANCHMAHAL",2,1,257,0,260
