-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "AndhraNSDPconst.csv", 
 "title": "Download CSV for Andhra Pradesh Net State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/AndhraNSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006"
"Agriculture","1685975","1647965","1754606","1868969","1507276","1926900","1844877","2141924","2112500","1817700","2130700","2215800","2337800"
"Foresty and Logging","65284","65670","67403","66224","64385","69045","71564","73082","70300","70400","70000","71700","72900"
"Fishing","105721","118093","114452","120747","126155","141652","157894","168392","178300","215600","217400","214100","227000"
"Mining and Quarrying","106286","98425","107209","123088","131077","135695","169023","171143","198800","234500","248500","263200","284200"
"Sub total of primary","1963266","1930153","2043670","2179028","1828893","2273292","2243358","2554541","2559900","2338200","2666600","2764800","2921900"
"Manufacturing","640032","731113","816595","883463","887453","929184","897130","878020","968700","1067300","1127300","1183100","1252400"
"Registered","399045","466387","509604","571924","557774","580613","545747","524115","586700","671400","714900","750000","795000"
"Unregistered","240987","264726","306991","311539","329679","348571","351383","353905","382000","395900","412400","433100","457400"
"Construction","274181","313096","317859","318087","365960","382969","433574","465822","505300","558900","604700","650300","702400"
"Electricity, Gas and water Supply","56005","89892","76186","81408","84053","100283","111453","109251","68000","127100","119700","128600","133400"
"Sub total of secondary","970218","1134101","1210640","1282958","1337466","1412436","1442157","1453093","1542000","1753300","1851700","1962000","2088200"
"Transport Storage and Communication","267114","274847","308984","333612","366998","406370","443827","513121","608800","722100","846000","972700","1121000"
"Railways","57738","58875","69690","79534","82849","91636","91716","98817","103100","109700","117800","126300","137200"
"Transport by other means","158634","162500","175026","174851","185445","188228","212497","227429","256700","281700","318500","345600","367800"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","50742","53472","64268","79227","98704","126506","139614","186875","249000","330700","409700","500800","616000"
"Trade, hotels and restaurants","739074","801145","858163","944574","898150","1009858","1041787","1128269","1179400","1217900","1307500","1379200","1463800"
"Banking and Insurance","197759","229119","241559","271123","315250","364162","387704","403511","460400","536800","576800","618900","669200"
"Real estate, ownership of dwelling and business","341793","355229","371962","390098","413617","438808","475146","504207","542200","584700","629400","675800","726500"
"Pubic Administration","213895","230851","239360","248033","273443","283559","342936","369531","372900","383300","394200","424300","463500"
"Other Services","472392","500938","520746","546077","598303","615155","713493","781419","820700","854400","911600","972200","1059700"
"Sub total of tertiary","2232027","2392129","2540774","2733517","2865761","3117912","3404893","3700058","3984400","4299200","4665500","5043100","5503700"
"State domestic product","5165511","5456383","5795084","6195503","6032120","6803640","7090408","7707692","8086400","8390700","9183800","9769900","10513800"

"Figures are in Rs. Lakh"
