-----
{
 "description": "The table gives outstanding advances against Sensitive Commodities for Scheduled Commercial Banks since 2003. Sensitive commodities include food commodities as well as non food commodities.\r\r", 
 "file_name": "tab44.xls", 
 "title": "Download XLS for Scheduled Commercial Banks: Outstanding Advances Against Sensitive Commodities(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab44.xls"
}
-----
"","","","","","","","","","","","","","REVISED","","","",""
"4.4 SCHEDULED COMMERCIAL BANKS' OUTSTANDING ADVANCES AGAINST SENSITIVE COMMODITIES","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","March","March","March","March","March","March","March","March ","March ","March ","October","","April-October","","","",""
"Commodities",2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2011.0,2012.0,"2011-12 a","2012-13 a","","",""
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,"","",""
"1. Paddy and rice",4209.0,3636.0,4309.0,4961.0,6967.0,10213.0,11183.0,11099.1876,14324.0,18314.0,13298.0,18005.0,-1026.0,-309.0,"",-1026.0,-309.0
"2. Wheat",484.0,689.0,601.0,1401.0,881.0,1518.0,1530.0,2369.966,2187.0,3000.0,2326.0,4087.0,139.0,1087.0,"",139.0,1087.0
"3. Pulses",253.0,465.0,443.0,498.0,632.0,1730.0,1127.0,1443.47,1594.0,3594.0,1424.0,3477.0,-170.0,-117.0,"",-170.0,-117.0
"4. Other food grains",1029.0,1030.0,994.0,1110.0,827.0,1247.0,1068.0,1317.9958,1563.0,2303.0,1604.0,2139.0,41.0,-164.0,"",41.0,-164.0
"5. Sugar",3549.0,4255.0,3754.0,4364.0,6130.0,8468.0,9251.0,9219.4612,10123.0,15718.0,8369.0,12918.0,-1754.0,-2800.0,"",-1754.0,-2800.0
"6. Khandsari",42.0,29.0,207.0,58.0,56.0,87.0,175.0,163.2957,167.0,330.0,135.0,271.0,-32.0,-59.0,"",-32.0,-59.0
"7. Gur",27.0,11.0,15.0,85.0,140.0,199.0,193.0,298.5373,108.0,212.0,51.0,176.0,-57.0,-36.0,"",-57.0,-36.0
"8. Groundnut",214.0,246.0,275.0,326.0,369.0,401.0,480.0,436.9611,527.0,478.0,429.0,435.0,-98.0,-43.0,"",-98.0,-43.0
"9. Rapeseed/Mustardseed",99.0,43.0,68.0,718.0,675.0,437.0,257.0,514.1232,328.0,528.0,390.0,508.0,62.0,-20.0,"",62.0,-20.0
"10. Linseed",12.0,12.0,9.0,58.0,5.0,9.0,9.0,10.0982,25.0,16.0,23.0,16.0,-2.0,0.0,"",-2.0,0.0
"11. Castorseed",8.0,4.0,30.0,54.0,85.0,75.0,42.0,117.9111,118.0,163.0,130.0,149.0,12.0,-14.0,"",12.0,-14.0
"12. Cottonseed",50.0,76.0,62.0,186.0,114.0,213.0,196.0,204.5409,242.0,259.0,106.0,215.0,-136.0,-44.0,"",-136.0,-44.0
"13. Soyabean",470.0,590.0,495.0,819.0,958.0,1324.0,761.0,735.7252,1115.0,1359.0,783.0,721.0,-332.0,-638.0,"",-332.0,-638.0
"14. Other oilseeds",57.0,84.0,204.0,104.0,106.0,127.0,215.0,324.8373,317.0,775.0,511.0,851.0,194.0,76.0,"",194.0,76.0
"15. Groundnut oil",77.0,104.0,67.0,98.0,129.0,117.0,131.0,141.0023,314.0,810.0,351.0,833.0,37.0,23.0,"",37.0,23.0
"16. Rapeseed/Mustard",133.0,139.0,108.0,260.0,338.0,276.0,280.0,241.9364,312.0,386.0,272.0,418.0,-40.0,32.0,"",-40.0,32.0
"17. Castor oil",161.0,236.0,227.0,107.0,261.0,335.0,145.0,328.0,322.0,10.0,360.0,473.0,38.0,463.0,"",38.0,463.0
"18. Linseed oil",10.0,15.0,9.0,9.0,5.0,16.0,7.0,5.0,9.0,456.0,7.0,10.0,-2.0,-446.0,"",-2.0,-446.0
"19. Cottonseed oil",67.0,35.0,76.0,112.0,106.0,105.0,150.0,218.0653,300.0,639.0,225.0,515.0,-75.0,-124.0,"",-75.0,-124.0
"20. Soyabean oil",235.0,254.0,181.0,321.0,696.0,635.0,570.0,788.1914,839.0,1321.0,727.0,1597.0,-112.0,276.0,"",-112.0,276.0
