-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 1993-94.", 
 "file_name": "HaryanaGSDPcurrent.csv", 
 "title": "Download CSV for Haryana Gross State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/HaryanaGSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","925330","1068923","1080235","1323640","1327259","1488262","1573953","1672480","1685401","1737357","1933523","2024275"
"Foresty and Logging","5752","6054","7511","9660","8935","10409","11637","11958","13460","13603","13144","18108"
"Fishing","3048","4343","6301","6753","7211","7318","6750","7434","7778","8238","9899","11415"
"Mining and Quarrying","5227","4939","5463","12743","12225","13399","15759","19022","24600","17489","19441","19398"
"Sub total of primary","939357","1084259","1099510","1352796","1355630","1519388","1608099","1710894","1731239","1776687","1976007","2073196"
"Manufacturing","414039","523806","656947","755278","838914","926002","1043480","1159312","1334407","1492887","1689872","1966573"
"Registered","278578","366498","473286","546966","612864","671594","773159","863859","1019872","1153519","1308846","1528803"
"Unregistered","135461","157308","183661","208312","226050","254408","270321","295453","314535","339368","381026","437770"
"Construction","154581","179448","201589","223304","262753","301607","324299","346890","376830","369774","394728","432527"
"Electricity, Gas and water Supply","12000","27256","78032","82659","92736","75422","78043","97235","117612","180144","188922","180015"
"Sub total of secondary","580620","730510","936568","1061241","1194403","1303031","1445822","1603437","1828849","2042805","2273522","2579115"
"Transport Storage and Communication","144353","163875","185542","224280","246300","303360","351801","405035","480007","547338","633081","739241"
"Railways","20630","24166","27849","31155","30849","32874","46181","46454","56465","71456","72943","85124"
"Transport by other means","107760","117258","129353","158839","170629","208392","240097","294132","344897","398258","466977","547820"
"Storage","1589","2592","3802","2977","3063","4805","7081","7815","12420","7323","7716","8121"
"Communication","14374","19859","24538","31309","41759","57289","58442","56634","66225","70301","85445","98176"
"Trade, hotels and restaurants","255778","307586","362548","460895","516138","537981","642798","845704","985225","1105692","1261966","1531667"
"Banking and Insurance","53037","61882","80272","96321","132528","144017","190528","209073","231651","272174","304547","345356"
"Real estate, ownership of dwelling and business","79990","91972","100870","109224","126364","153430","212230","263903","292802","324848","356858","389829"
"Pubic Administration","55430","64721","73466","88439","99865","157087","160173","158886","167854","177021","194375","219226"
"Other Services","104565","119672","140117","171042","193679","246305","279542","303613","338517","370978","395718","422624"
"Sub total of tertiary","693153","809708","942815","1150201","1314874","1542180","1837072","2186214","2496056","2798051","3146545","3647943"
"State domestic product","2213130","2624477","2978893","3564238","3864907","4364599","4890993","5500545","6056144","6617543","7396074","8300254"

"Figures are in Rs. Lakh"
