-----
{
 "description": "This data provides details of Hon\u2019ble Members of the Twelfth Lok Sabha from 10th March 1998 to 26th April 1999. It consists of name of members, constituency name, state name and party name.", 
 "file_name": "Members_of_Twelfth_Lok_Sabha_From_10th_March_1998_to_26th_April_1999.xls", 
 "title": "Download XLS for Members of Twelfth Lok Sabha from 10th March 1998 to 26th April 1999", 
 "url": "http://data.gov.in/sites/default/files/Members_of_Twelfth_Lok_Sabha_From_10th_March_1998_to_26th_April_1999.xls"
}
-----
"Lok Sabha","Member Name","Gender","Constituency Name","State Name","Party Name"
"Twelfth Lok Sabha","Shri Omar Abdullah","MALE","Srinagar                                                                                            ","Jammu and Kashmir                                           ","National Conference"
"Twelfth Lok Sabha","Shri Basudeb Acharia","Male","Bankura                                                                                             ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Twelfth Lok Sabha","Shri Prasanna Acharya","MALE","Sambalpur                                                                                           ","Odisha                                                      ","Biju Janata Dal"
"Twelfth Lok Sabha","Shri Yogi Adityanath ","Male","Gorakhpur                                                                                           ","Uttar Pradesh                                               ","Bharatiya Janata Party"
"Twelfth Lok Sabha","Shri Lal Krishna Advani","Male","Gandhinagar                                                                                         ","Gujarat                                                     ","Bharatiya Janata Party"
"Twelfth Lok Sabha","Shri Dhirendra Agarwal","Male","Chatra                                                                                              ","Bihar                                                       ","Bharatiya Janata Party"
"Twelfth Lok Sabha","Shri Rajendra Agnihotri","Male","Jhansi                                                                                              ","Uttar Pradesh                                               ","Bharatiya Janata Party"
"Twelfth Lok Sabha","Shri E. Ahamed","Male","Manjeri                                                                                             ","Kerala                                                      ","Indian Union  Muslim League "
"Twelfth Lok Sabha","Shri Moinul Hassan Ahamed","Male","Murshidabad                                                                                         ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Twelfth Lok Sabha","Shri Dhanaji Sitaram Ahire","Male","Dhule-ST                                                                                            ","Maharashtra                                                 ","Indian National Congress"
"Twelfth Lok Sabha","Shri Akbar Ahmad","Male","Azamgarh                                                                                            ","Uttar Pradesh                                               ","Bahujan Samaj Party"
"Twelfth Lok Sabha","Dr. Shakeel Ahmad","Male","Madhubani                                                                                           ","Bihar                                                       ","Indian National Congress"
"Twelfth Lok Sabha","Shri S. Ajaya Kumar","Male","Ottapalam-SC                                                                                        ","Kerala                                                      ","Communist Party of India (Marxist)"
"Twelfth Lok Sabha","Shri Chandulal Ajmeera","Male","Warangal                                                                                            ","Andhra Pradesh                                              ","Telugu Desam Party"
"Twelfth Lok Sabha","Shri Udai Lal Ajna","Male","Chittorgarh                                                                                         ","Rajasthan                                                   ","Indian National Congress"
"Twelfth Lok Sabha","Shri Amrik Singh Aliwal","Male","Ludhiana                                                                                            ","Punjab                                                      ","Shiromani Akali Dal"
"Twelfth Lok Sabha","Shri M.H. Ambareesh","Male","Mandya                                                                                              ","Karnataka                                                   ","Janata Dal"
"Twelfth Lok Sabha","Shri Prakash Yashwant Ambedkar","Male","Akola                                                                                               ","Maharashtra                                                 ","Republican Party of India"
"Twelfth Lok Sabha","Shri Anand Mohan","Male","Sheohar                                                                                             ","Bihar                                                       ","All India Rashtriya Janata Party"
"Twelfth Lok Sabha","Shri Ananth Kumar","Male","Bangalore South                                                                                     ","Karnataka                                                   ","Bharatiya Janata Party"
"Twelfth Lok Sabha","Shri Sai Prathap Annayyagari","Male","Rajampet                                                                                            ","Andhra Pradesh                                              ","Indian National Congress"
"Twelfth Lok Sabha","Shri Tariq Anwar Shah","Male","Katihar                                                                                             ","Bihar                                                       ","Indian National Congress"
"Twelfth Lok Sabha","Shri Omak Apang","Male","Arunachal West                                                                                      ","Arunachal Pradesh                                           ","Arunachal Congress"
"Twelfth Lok Sabha","Shri Ashok Argal","Male","Morena-SC                                                                                           ","Madhya Pradesh                                              ","Bharatiya Janata Party"
"Twelfth Lok Sabha","Shri S. Arumugham","Male","Pondicherry                                                                                         ","Pondicherry                                                 ","Dravida Munnetra Kazhagam"
"Twelfth Lok Sabha","Shri Ramdas Athawale","Male","Mumbai North Central                                                                                ","Maharashtra                                                 ","Republican Party of India"
"Twelfth Lok Sabha","Shri Kallappa Baburao Awade","Male","Ichalkaranji                                                                                        ","Maharashtra                                                 ","Indian National Congress"
"Twelfth Lok Sabha","Shri Manjunath Ayanur","Male","Shimoga                                                                                             ","Karnataka                                                   ","Bharatiya Janata Party"
"Twelfth Lok Sabha","Thiru Thalikkottai Rajuthevar Baalu","Male","Madras South                                                                                        ","Tamil Nadu                                                  ","Dravida Munnetra Kazhagam"
"Twelfth Lok Sabha","Shri Sukhbir Singh Badal","Male","Faridkot                                                                                            ","Punjab                                                      ","Shiromani Akali Dal"
"Twelfth Lok Sabha","Prof. S.P. Singh Baghel","Male","Jalesar                                                                                             ","Uttar Pradesh                                               ","Samajwadi Party"
"Twelfth Lok Sabha","Choudhary Ramchandra Bainda","Male","Faridabad                                                                                           ","Haryana                                                     ","Bharatiya Janata Party"
"Twelfth Lok Sabha","Shri Dowarka Parshad Bairwa","Male","Tonk-SC                                                                                             ","Rajasthan                                                   ","Indian National Congress"
"Twelfth Lok Sabha","Shri Ramesh Bais","Male","Raipur                                                                                              ","Madhya Pradesh                                              ","Bharatiya Janata Party"
"Twelfth Lok Sabha","Shri Mahendra Baitha","Male","Bagaha-SC                                                                                           ","Bihar                                                       ","Samata Party"
"Twelfth Lok Sabha","Dr. Asim Bala","Male","Nabadwip-SC                                                                                         ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Twelfth Lok Sabha","Shri Ganti Mohana Chandra Balayogi","Male","Amalapuram-SC                                                                                       ","Andhra Pradesh                                              ","Telugu Desam Party"
"Twelfth Lok Sabha","Shri Gulam Mehmood Banatwalla","Male","Ponnani                                                                                             ","Kerala                                                      ","Indian Union  Muslim League "
"Twelfth Lok Sabha","Shri Sudip Bandyopadhyay","Male","Calcutta North West                                                                                 ","West Bengal                                                 ","West Bengal Trinamul Congress"
"Twelfth Lok Sabha","Kum. Mamata Banerjee","Female","Calcutta South                                                                                      ","West Bengal                                                 ","West Bengal Trinamul Congress"
"Twelfth Lok Sabha","Shri Ranen Barman","Male","Balurghat-SC                                                                                        ","West Bengal                                                 ","Revolutionary Socialist Party"
"Twelfth Lok Sabha","Shri Surjit Singh Barnala","Male","Sangrur                                                                                             ","Punjab                                                      ","Shiromani Akali Dal"
