-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 1993-94.", 
 "file_name": "MeghalayaGSDPcurrent.csv", 
 "title": "Download CSV for Meghalaya Gross State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/MeghalayaGSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","34424","37814","46718","52508","59555","65184","76376","85013","93639","98744","103706","108628"
"Foresty and Logging","2157","3054","3588","3488","3284","3409","3488","3906","4070","4493","5161","5971"
"Fishing","1622","1465","1441","1686","1869","1935","2154","3087","2770","3301","2941","3124"
"Mining and Quarrying","9530","12084","12175","13531","13214","22333","22627","24304","32879","29280","32773","37081"
"Sub total of primary","47733","54417","63922","71213","77922","92861","104645","116310","133358","135818","144581","154804"
"Manufacturing","3956","5162","5987","6679","6128","6097","6843","7776","7635","11362","12452","13668"
"Registered","1401","1591","1783","2346","1867","1930","2271","2477","2740","6208","6747","7333"
"Unregistered","2555","3571","4204","4333","4261","4167","4572","5299","4895","5154","5705","6335"
"Construction","10383","10441","14298","16264","21462","24736","27292","36227","40952","45681","49850","50490"
"Electricity, Gas and water Supply","7218","5664","7931","8747","10173","11027","11770","13655","13280","14571","15754","17033"
"Sub total of secondary","21557","21267","28216","31690","37763","41860","45905","57658","61867","71614","78056","81191"
"Transport Storage and Communication","7663","8680","10143","11362","12987","15173","17246","19200","20547","23319","25683","28396"
"Railways","0","0","0","0","0","0","0","0","0","0","0","0"
"Transport by other means","7024","7950","9175","10303","11730","13777","15151","16689","18063","18699","20242","21820"
"Storage","5","5","9","7","12","14","9","17","11","11","12","12"
"Communication","634","725","959","1052","1245","1382","2086","2494","2473","4609","5429","6564"
"Trade, hotels and restaurants","19641","23318","27002","29687","31498","38387","42475","49596","56939","57826","64867","72262"
"Banking and Insurance","2972","3440","4292","4870","5828","7152","7506","9740","11067","13848","15923","18309"
"Real estate, ownership of dwelling and business","18719","20291","21860","24397","26417","27878","30366","35138","36515","40590","44322","48597"
"Pubic Administration","20882","22202","26306","29132","37108","44945","49166","52987","54938","60183","67237","77273"
"Other Services","11920","12879","17778","17474","20212","25672","31712","32207","38701","38592","40906","45476"
"Sub total of tertiary","81797","90810","107381","116922","134050","159207","178471","198868","218707","234358","258938","290313"
"State domestic product","151087","166494","199519","219825","249735","293928","329021","372836","413932","441790","481575","526308"

"Figures are in Rs. Lakh"
