-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "AssamNSDPconst.csv", 
 "title": "Download CSV for Assam Net State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/AssamNSDPconst.csv"
}
-----
-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "AssamNSDPconst.csv", 
 "title": "Download CSV for Assam Net State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/AssamNSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006"
"Agriculture","502168","509476","515814","512065","547705","519522","518891","508652","561963","567759","555827","550423","563470"
"Foresty and Logging","29460","27351","29862","30129","30478","30941","31703","32716","32727","33131","33568","33984","34569"
"Fishing","35319","35093","35706","34863","34535","34217","33304","33977","34545","38697","38930","40045","42441"
"Mining and Quarrying","80501","79911","78706","74882","90456","91538","94341","89526","90248","78460","77743","78402","79524"
"Sub total of primary","647448","651831","660088","651939","703174","676218","678239","664871","719483","718047","706068","702854","720004"
"Manufacturing","113446","120892","120619","119596","132620","116171","128711","125022","116853","124784","136190","148554","168987"
"Registered","85422","93418","92051","91310","100853","83412","98552","96872","82485","90443","100936","112348","132162"
"Unregistered","28024","27474","28568","28286","31767","32759","30159","28150","34368","34341","35254","36206","36825"
"Construction","66758","74452","68588","80598","77514","86208","60112","90781","74632","78848","85238","106921","112763"
"Electricity, Gas and water Supply","-104","-1929","1095","90","-3865","-6895","-7850","-10093","-15311","-2604","-331","3182","10723"
"Sub total of secondary","180100","193415","190302","200284","206269","195484","180973","205710","176174","201028","221097","258657","292473"
"Transport Storage and Communication","33007","32234","32587","30765","20646","22761","22469","35036","52500","72018","79539","109591","123700"
"Railways","4061","3777","4780","2879","2222","2560","2228","2554","6156","6220","6926","8449","8876"
"Transport by other means","22203","21941","21284","20948","10079","12800","13155","13900","13607","16141","16273","17280","18702"
"Storage","339","371","313","306","842","-83","-190","-139","-173","-243","-281","-286","-342"
"Communication","6404","6145","6210","6632","7503","7484","7276","18721","32910","49900","56621","84148","96464"
"Trade, hotels and restaurants","238505","250675","256073","271189","212879","219055","213989","227860","244416","254350","306940","338551","371939"
"Banking and Insurance","41518","45092","50864","65371","74243","78140","89297","81059","85693","99195","106677","112818","123902"
"Real estate, ownership of dwelling and business","40019","39979","40820","41369","41661","41588","47839","49936","56805","59736","61992","62837","65744"
"Pubic Administration","74282","77644","78109","76833","95900","95955","113127","116521","121056","114547","118719","123212","122630"
"Other Services","92804","88777","103667","108927","115585","128243","161891","186098","188000","192515","199399","195578","202244"
"Sub total of tertiary","520135","534401","562120","594454","560914","585742","648612","696510","748470","792361","873266","942587","1010159"
"State domestic product","1347683","1379647","1412510","1446677","1470357","1457444","1507824","1567090","1644127","1711438","1800432","1904099","2022636"

"Figures are in Rs. Lakh"
