-----
{
 "description": "The table refers to Block wise Distribution of Deep Tubewells according to Water Lifting Device. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwldistr3.8.csv", 
 "title": "Download CSV for Blockwise Distribution of Deep Tubewells according to Water Lifting Device", 
 "url": "http://data.gov.in/sites/default/files/dptbwldistr3.8.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Submersible pumps,Turbine pumps,Others,Total
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,493,0,0,493
ANDHRA PRADESH,CUDDAPAH,KODUR,695,0,0,695
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,71,0,0,71
ANDHRA PRADESH,CUDDAPAH,LINGALA,711,0,0,711
ANDHRA PRADESH,CUDDAPAH,MUDDANUR,607,0,0,607
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,48,0,0,48
ANDHRA PRADESH,CUDDAPAH,NANDALUR,219,0,0,219
ANDHRA PRADESH,CUDDAPAH,OBULAVARIPALLE,1212,0,0,1212
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,107,0,0,107
ANDHRA PRADESH,CUDDAPAH,PENAGALURU,734,0,0,734
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,255,0,0,255
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,777,0,0,777
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA,678,0,0,678
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,1318,0,0,1318
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,910,0,0,910
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,177,0,0,177
ANDHRA PRADESH,CUDDAPAH,RAYACHOTI,157,0,0,157
ANDHRA PRADESH,CUDDAPAH,S MYDUKUR,233,0,0,233
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,287,0,0,287
ANDHRA PRADESH,CUDDAPAH,SIMHADRIPURAM,605,0,0,605
ANDHRA PRADESH,CUDDAPAH,T SUNDUPALLE,225,0,0,225
ANDHRA PRADESH,CUDDAPAH,THANDUR,489,0,0,489
ANDHRA PRADESH,CUDDAPAH,VALLUR,118,0,0,118
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,65,0,0,65
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,72,0,0,72
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,116,0,0,116
ANDHRA PRADESH,CUDDAPAH,VEMULA,814,0,0,814
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,700,0,0,700
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,78,0,0,78
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHI,80,0,0,80
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,200,0,0,200
ANDHRA PRADESH,EAST GODAVARI,GANDEPALLE,997,0,1,998
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,9,0,1,10
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,218,13,0,231
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,4,2,0,6
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,1,0,0,1
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,1,0,0,1
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,449,0,0,449
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,87,0,0,87
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,268,0,1,269
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,10,0,0,10
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,53,7,0,60
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY(RURAL),256,0,1,257
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,873,0,2,875
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,382,1,3,386
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,5,0,0,5
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,8,0,0,8
ANDHRA PRADESH,EAST GODAVARI,SEETHANAGARAM,102,0,0,102
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,52,0,0,52
ANDHRA PRADESH,GUNTUR,DACHEPALLE,2,0,0,2
ANDHRA PRADESH,GUNTUR,DURGI,707,2,260,969
ANDHRA PRADESH,GUNTUR,MACHERLA,445,0,4,449
ANDHRA PRADESH,GUNTUR,MEDIKONDURU,1,0,0,1
ANDHRA PRADESH,GUNTUR,NARASARAOPETA,1,0,1,2
ANDHRA PRADESH,GUNTUR,VELDURTHI,973,58,0,1031
ANDHRA PRADESH,KARIMNAGAR,KATARAM,23,0,3,26
ANDHRA PRADESH,KARIMNAGAR,MAHADEVPUR,32,0,0,32
ANDHRA PRADESH,KARIMNAGAR,MALHARRAO,37,0,0,37
ANDHRA PRADESH,KARIMNAGAR,MANTHANI,12,1,0,13
ANDHRA PRADESH,KARIMNAGAR,MUSTABAD,211,0,0,211
ANDHRA PRADESH,KARIMNAGAR,MUTHARAM MAHADEVPUR,18,0,0,18
ANDHRA PRADESH,KARIMNAGAR,MUTHARAM MANTHANI,1,0,0,1
ANDHRA PRADESH,KHAMMAM,ASWAPURAM,1,0,0,1
ANDHRA PRADESH,KHAMMAM,ASWARAOPETA,219,0,3,222
ANDHRA PRADESH,KHAMMAM,CHANDRUGONDA,58,0,1,59
ANDHRA PRADESH,KHAMMAM,DAMMAPETA,457,0,1,458
ANDHRA PRADESH,KHAMMAM,JULURPAD,44,9,0,53
ANDHRA PRADESH,KHAMMAM,KUSUMANCHI,1,0,0,1
ANDHRA PRADESH,KHAMMAM,SATHUPALLE,224,10,83,317
ANDHRA PRADESH,KHAMMAM,TEKULAPALLE,1,0,0,1
ANDHRA PRADESH,KRISHNA,AGIRIPALLE,80,0,0,80
ANDHRA PRADESH,KRISHNA,BAPULAPADU,189,0,1,190
ANDHRA PRADESH,KRISHNA,CHATRAI,12,0,0,12
ANDHRA PRADESH,KRISHNA,G KONDURU,23,0,3,26
ANDHRA PRADESH,KRISHNA,MUSUNURU,118,0,3,121
ANDHRA PRADESH,KRISHNA,NUZVID,487,12,2,501
ANDHRA PRADESH,KRISHNA,TIRUVURU,5,0,0,5
ANDHRA PRADESH,KRISHNA,UNGUTURU,1,0,0,1
ANDHRA PRADESH,KRISHNA,VEERULLAPADU,18,1,0,19
ANDHRA PRADESH,KURNOOL,ADONI,14,0,0,14
ANDHRA PRADESH,KURNOOL,ALLAGADDA,700,5,2,707
ANDHRA PRADESH,KURNOOL,ATMAKUR,8,0,0,8
ANDHRA PRADESH,KURNOOL,CHAGALAMARRI,1280,2,0,1282
ANDHRA PRADESH,KURNOOL,DEVANAKONDA,12,0,0,12
ANDHRA PRADESH,KURNOOL,KOTHAPALLE,55,0,0,55
ANDHRA PRADESH,KURNOOL,KURNOOL,100,0,0,100
ANDHRA PRADESH,KURNOOL,NANDI KOTKUR,50,0,0,50
ANDHRA PRADESH,KURNOOL,ORVAKAL,2,0,1,3
ANDHRA PRADESH,KURNOOL,PEAPALLY,1,0,0,1
ANDHRA PRADESH,KURNOOL,RUDRAVARAM,325,3,2,330
ANDHRA PRADESH,KURNOOL,SIRVEL,2,0,0,2
ANDHRA PRADESH,KURNOOL,VELDURTHI,13,0,0,13
ANDHRA PRADESH,MEDAK,JAGDEVPUR,53,0,0,53
ANDHRA PRADESH,MEDAK,KOHIR,181,0,0,181
ANDHRA PRADESH,MEDAK,KONDAPAK,33,0,0,33
ANDHRA PRADESH,MEDAK,ZAHIRABAD,272,0,0,272
ANDHRA PRADESH,NALGONDA,DAMERACHERLA,48,14,0,62
ANDHRA PRADESH,NELLORE,ANANTHASAGARAM,73,1,0,74
ANDHRA PRADESH,NELLORE,ANUMASAMUDRAMPETA,102,0,0,102
ANDHRA PRADESH,NELLORE,CHEJERLA,150,0,3,153
ANDHRA PRADESH,NELLORE,JALADANKI,0,0,3,3
ANDHRA PRADESH,NELLORE,MANUBOLU,1,0,0,1
ANDHRA PRADESH,NIZAMABAD,TADWAI,10,0,0,10
ANDHRA PRADESH,PRAKASAM,ARDHAVEEDU,84,0,0,84
ANDHRA PRADESH,PRAKASAM,CHADRASEKARAPURAM,2,0,0,2
ANDHRA PRADESH,PRAKASAM,DORNALA,1456,0,0,1456
ANDHRA PRADESH,PRAKASAM,JANAKAVARAMPANGULURU,74,0,0,74
ANDHRA PRADESH,PRAKASAM,PAMUR,9,0,0,9
ANDHRA PRADESH,PRAKASAM,PULLALACHERUVU,49,0,1,50
ANDHRA PRADESH,PRAKASAM,YERRAGONDAPALEM,19,0,0,19
ANDHRA PRADESH,RANGAREDDY,IBRAHIMPATAM,670,0,4,674
ANDHRA PRADESH,RANGAREDDY,MARPALLE,2,0,0,2
ANDHRA PRADESH,RANGAREDDY,MEDCHAL,144,1,2,147
ANDHRA PRADESH,RANGAREDDY,MOINABAD,155,0,1,156
ANDHRA PRADESH,RANGAREDDY,NAWABPET,11,0,0,11
ANDHRA PRADESH,RANGAREDDY,RAJENDRANAGAR,12,0,0,12
ANDHRA PRADESH,RANGAREDDY,SHABAD,74,0,0,74
ANDHRA PRADESH,RANGAREDDY,SHAMIRPET,378,0,1,379
ANDHRA PRADESH,RANGAREDDY,YACHARAM,98,0,0,98
ANDHRA PRADESH,SRIKAKULAM,RANASTALAM,56,0,1,57
ANDHRA PRADESH,VISAKHAPATNAM,BHEEMUNIPATNAM,1,0,0,1
ANDHRA PRADESH,VISAKHAPATNAM,MADUGULA,1,0,1,2
ANDHRA PRADESH,VISAKHAPATNAM,PADMANABHAM,3,0,0,3
ANDHRA PRADESH,VISAKHAPATNAM,YELAMANCHILI,2,0,0,2
ANDHRA PRADESH,WARANGAL,ETURNAGARAM,28,0,1,29
ANDHRA PRADESH,WARANGAL,GHANAPUR,436,0,12,448
ANDHRA PRADESH,WARANGAL,GHANPUR(stn),28,0,0,28
ANDHRA PRADESH,WARANGAL,GOVINDARAOPET,6,0,0,6
ANDHRA PRADESH,WARANGAL,GUDUR,4,0,0,4
ANDHRA PRADESH,WARANGAL,HANAMKONDA,17,0,5,22
ANDHRA PRADESH,WARANGAL,KOTHAGUDEM,155,13,0,168
ANDHRA PRADESH,WARANGAL,MANGAPET,2,0,0,2
ANDHRA PRADESH,WARANGAL,NARSIMHULAPET,0,0,4,4
ANDHRA PRADESH,WARANGAL,TADVAI,23,0,0,23
ANDHRA PRADESH,WARANGAL,THORRUR,19,0,4,23
ANDHRA PRADESH,WARANGAL,VENKATAPUR,4,2,24,30
ANDHRA PRADESH,WEST GODAVARI,BHIMADOLE,207,0,0,207
ANDHRA PRADESH,WEST GODAVARI,BUTTAYAGUDEM,482,9,0,491
ANDHRA PRADESH,WEST GODAVARI,CHAGALLU,563,0,0,563
ANDHRA PRADESH,WEST GODAVARI,CHINTALAPUDI,880,0,0,880
ANDHRA PRADESH,WEST GODAVARI,DENDULURU,968,0,0,968
ANDHRA PRADESH,WEST GODAVARI,DEVARAPALLE,1373,0,0,1373
ANDHRA PRADESH,WEST GODAVARI,DWARAKA TIRUMALA,2270,0,0,2270
ANDHRA PRADESH,WEST GODAVARI,ELURU,104,0,0,104
ANDHRA PRADESH,WEST GODAVARI,GOPALAPURAM,541,77,0,618
ANDHRA PRADESH,WEST GODAVARI,JANGAREDDIGUDEM,1161,0,0,1161
ANDHRA PRADESH,WEST GODAVARI,JEELUGUMILLI,273,0,0,273
ANDHRA PRADESH,WEST GODAVARI,KAMAVARAPUKOTA,2178,56,0,2234
ANDHRA PRADESH,WEST GODAVARI,KOYYALAGUDEM,322,0,0,322
ANDHRA PRADESH,WEST GODAVARI,LINGAPALEM,928,0,0,928
ANDHRA PRADESH,WEST GODAVARI,NALLAJERLA,1986,0,0,1986
ANDHRA PRADESH,WEST GODAVARI,NIDADAVOLE,971,5,0,976
ANDHRA PRADESH,WEST GODAVARI,PEDAPADU,360,0,0,360
ANDHRA PRADESH,WEST GODAVARI,PEDAVEGI,1158,0,0,1158
ANDHRA PRADESH,WEST GODAVARI,POLAVARAM,1,0,0,1
ANDHRA PRADESH,WEST GODAVARI,T NARASAPURAM,869,0,0,869
ANDHRA PRADESH,WEST GODAVARI,TADEPALLIGUDEM,2240,0,0,2240
ANDHRA PRADESH,WEST GODAVARI,THALLAPUDI,8,0,0,8
ANDHRA PRADESH,WEST GODAVARI,UNGUTURU,1084,0,0,1084
ARUNACHAL PRADESH,PAPUMPARE,KIMIN-DOIMUKH,2,0,1,3
ASSAM,BARPETA,BARPETA,0,2,0,2
ASSAM,BARPETA,CHENGA,1,4,0,5
ASSAM,BARPETA,GOBARDHANA,0,4,0,4
ASSAM,BONGAIGAON,DANGTOLA,9,2,0,11
ASSAM,BONGAIGAON,SIDLI- CHIRANG PT,3,0,0,3
ASSAM,BONGAIGAON,TAPALARI,3,0,0,3
ASSAM,CACHAR,NARSINGPUR,1,0,0,1
ASSAM,CACHAR,SILCHAR,1,0,0,1
ASSAM,DARRANG,BECHIMARI,1,0,0,1
ASSAM,DARRANG,BHERGAON,10,4,0,14
ASSAM,DARRANG,DOLGAON-SIALMARI,8,5,0,13
ASSAM,DARRANG,KALAIGAON,22,0,0,22
ASSAM,DARRANG,MAZBAT,14,0,0,14
ASSAM,DARRANG,PACHIM-MANGALDAI,16,0,0,16
ASSAM,DARRANG,PUB-MANGALDAI,9,0,0,9
ASSAM,DARRANG,SIPAJHAR,0,40,0,40
ASSAM,DARRANG,UDALGURI,1,1,0,2
ASSAM,DHEMAJI,DHEMAJI,9,0,1,10
ASSAM,DHEMAJI,SISSIBOR GAON,1,4,0,5
ASSAM,DHUBRI,CHAPAR-SALKOCHS,0,1,0,1
ASSAM,DHUBRI,GAURIPUR,0,11,0,11
ASSAM,DHUBRI,GOLOKGANJ,2,0,0,2
ASSAM,DHUBRI,MANKACHAR,0,1,0,1
ASSAM,DHUBRI,SOUTH SALMARA,0,1,0,1
ASSAM,DIBRUGARH,KHOWANG,2,0,0,2
ASSAM,DIBRUGARH,LAHOWAL,4,0,0,4
ASSAM,DIBRUGARH,TENGAKHAT,3,0,0,3
ASSAM,GOALPARA,BALIJAN,2,0,0,2
ASSAM,GOALPARA,DUDHNAI,10,1,0,11
ASSAM,GOALPARA,JALESWAR,2,1,0,3
ASSAM,GOALPARA,KHARMUJA,2,4,0,6
ASSAM,GOALPARA,KRISHNAI,2,0,0,2
ASSAM,GOALPARA,KUSHDHAWA,0,2,0,2
ASSAM,GOALPARA,MATIA,3,0,0,3
ASSAM,GOLAGHAT,GOLAGHAT CENTRAL,0,4,0,4
ASSAM,GOLAGHAT,GOLAGHAT EAST,2,0,0,2
ASSAM,GOLAGHAT,GOLAGHAT NORTH,1,0,0,1
ASSAM,GOLAGHAT,GOLAGHAT SOUTH,3,8,0,11
ASSAM,HAILAKANDI,ALGAPUR,5,1,0,6
ASSAM,HAILAKANDI,LALA,1,0,0,1
ASSAM,JORHAT,JORHAT,11,18,0,29
ASSAM,JORHAT,JORHAT CENTRAL,0,12,6,18
ASSAM,JORHAT,JORHAT NORTH WEST,4,8,0,12
ASSAM,JORHAT,KALIAPANI,0,15,0,15
ASSAM,JORHAT,MAJULI,0,1,0,1
ASSAM,JORHAT,TITABAR,1,0,0,1
ASSAM,JORHAT,UJANI MAJULI,2,23,0,25
ASSAM,KAMRUP,BOKO BONGAON,3,4,0,7
ASSAM,KAMRUP,GAROI MARI,0,1,0,1
ASSAM,KAMRUP,GORESWAR,1,0,0,1
ASSAM,KAMRUP,HAJO,1,0,0,1
ASSAM,KAMRUP,KAMALPUR,0,0,1,1
ASSAM,KAMRUP,RANGIA,19,1,1,21
ASSAM,KAMRUP,RANI,1,0,0,1
ASSAM,KARBIANGLONG,HOWRAGHAT,1,2,0,3
ASSAM,KARIMGANJ,NORTH KARIMGANJ,2,0,0,2
ASSAM,KARIMGANJ,SOUTH KARIMGANJ,7,2,0,9
ASSAM,KOKRAJHAR,GOSSAIGAON,1,0,0,1
ASSAM,KOKRAJHAR,KOKRAJHAR,3,0,0,3
ASSAM,LAKHIMPUR,BIHPURIA,1,4,0,5
ASSAM,LAKHIMPUR,BOGINODI,7,0,0,7
ASSAM,LAKHIMPUR,DHAKUAKHANA,0,1,0,1
ASSAM,LAKHIMPUR,GHILAMARI,0,1,0,1
ASSAM,LAKHIMPUR,KARUNABARI,0,22,0,22
ASSAM,LAKHIMPUR,LAKHIMPUR,3,0,4,7
ASSAM,LAKHIMPUR,NARAYANPUR,3,34,0,37
ASSAM,LAKHIMPUR,NOWBOICHA,13,2,0,15
ASSAM,MORIGAON,BHUR- BANDHA,4,1,0,5
ASSAM,MORIGAON,DULONGGHAT,0,0,1,1
ASSAM,MORIGAON,LAHORIGHAT,1,0,0,1
ASSAM,MORIGAON,MAIRABARI,1,0,0,1
ASSAM,MORIGAON,MAYONG,0,1,0,1
ASSAM,NAGOAN,BAJIAGAON,0,1,0,1
ASSAM,NAGOAN,BARHAMPUR,0,1,0,1
ASSAM,NAGOAN,JOGIJAN,0,1,0,1
ASSAM,NAGOAN,KALIABOR,0,6,0,6
ASSAM,NAGOAN,KATHITOLI,0,4,0,4
ASSAM,NAGOAN,UDALI,3,6,0,9
ASSAM,NALBARI,BARIGOG-BANBHAG,3,3,0,6
ASSAM,NALBARI,BARKHETRI,3,1,0,4
ASSAM,NALBARI,BASKA,1,1,0,2
ASSAM,NALBARI,DHAMDHAMA,1,0,0,1
ASSAM,NALBARI,MADHUPUR,2,0,0,2
ASSAM,NALBARI,PACHIM NALBARI,7,3,0,10
ASSAM,NALBARI,PUB-NALBARI,18,0,0,18
ASSAM,NALBARI,TIHU BARAMA,0,1,0,1
ASSAM,NC HILLS,DIYUNGBRA,1,0,0,1
ASSAM,SIBSAGAR,GOURISAGAR,2,0,0,2
ASSAM,SIBSAGAR,NAZIRA,0,1,0,1
ASSAM,SIBSAGAR,SEPEKHATI,1,1,0,2
ASSAM,SIBSAGAR,SIBSAGAR,9,6,0,15
ASSAM,SIBSAGAR,SONARI,0,1,0,1
ASSAM,SONITPUR,BAGHMARA,0,4,0,4
ASSAM,SONITPUR,BIHAGURI,1,0,0,1
ASSAM,SONITPUR,BORCHALA,2,0,0,2
ASSAM,SONITPUR,PUB-CHAIDUAR,0,1,0,1
ASSAM,TINSUKIA,GUIJAN,2,2,0,4
ASSAM,TINSUKIA,HAPJAN,1,0,0,1
ASSAM,TINSUKIA,KAKAPATHAR,7,0,0,7
ASSAM,TINSUKIA,MARGHERITA,2,0,0,2
ASSAM,TINSUKIA,SAIKHOWA,138,1,0,139
BIHAR,AURANGABAD,AURANGABAD,1,0,0,1
