-----
{
 "description": "The table refers to Statewise Construction of Deep Tubewells over the years. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwlNat3.1.csv", 
 "title": "Download CSV for Statewise Construction of Deep Tubewells over the years", 
 "url": "http://data.gov.in/sites/default/files/dptbwlNat3.1.csv"
}
-----
"State","Upto 1993-94","During 1994-95","During 1995-96","During 1996-97","During 1997-98","During 1998-99","During 1999-00","During 2000-01","Total (1994-01)"
"ANDHRA PRADESH",32359,8109,7501,8580,8543,9904,8018,4468,87482
"ARUNACHAL PRADESH",3,0,0,0,0,0,0,0,3
"ASSAM",610,20,6,15,17,24,42,26,760
"BIHAR",5193,376,241,171,71,44,47,47,6190
"CHHATTISGARH",3177,165,271,294,329,417,319,255,5227
"GOA",49,1,1,2,0,2,3,2,60
"GUJARAT",47990,8155,9817,6498,6385,4382,6279,4676,94182
"HARYA N A",11703,2737,2072,1874,1540,2092,1501,820,24339
"HIMACHAL PRADESH",273,7,6,10,9,16,26,4,351
"JAMMU & KASHMIR",12,4,0,1,0,3,0,0,20
"JHARKHAND",22,2,0,1,1,0,2,0,28
"KARNATAKA",11,3,7,4,1,2,3,1,32
"KERALA",79,20,15,19,19,17,28,30,227
"MADHYA PRADESH",11023,3262,4332,4255,4449,4325,2923,1829,36398
"MAHARASHTRA",21401,7179,8989,9273,8702,8187,7196,6296,77223
"MEGHALAYA",6,0,0,0,0,1,0,1,8
"NAGALAND",3,0,0,0,0,0,0,0,3
"ORISSA",3535,189,188,172,168,170,99,71,4592
"PUNJAB",5921,554,601,507,423,650,840,494,9990
"RAJASTHAN",14381,3829,5574,6267,8027,8316,6402,3968,56764
"TAMIL NADU",36462,6532,8044,8518,7194,8188,5978,3094,84010
"TRIPURA",80,11,4,5,11,10,24,23,168
"UTTAR PRADESH",27403,1196,1389,1217,727,674,574,1905,35085
"UTTARANCHAL",719,36,24,48,14,14,12,16,883
"WEST BENGAL",4033,199,201,150,155,132,123,146,5139
"CHANDIGARH",45,1,3,2,0,1,3,2,57
"DELHI",405,80,59,45,44,11,1,0,645
"PONDICHERRY",172,34,20,40,35,5,13,9,328
"ALL INDIA",227070,42701,49365,47968,46864,47587,40456,28183,530194
