-----
{
 "description": "Wholesale price index comprises as far as possible all transactions at first point of bulk sale in the domestic market. Provisional monthly WPI for All Commodities is released on 14th of every month (next working day, if 14th is holiday). Detailed item level WPI is put on official website ...", 
 "file_name": "WPI_August_2013.xls", 
 "title": "Download XLS for Wholesale Price Index for the base year 2004-05 - Upto August 2013", 
 "url": "http://data.gov.in/sites/default/files/WPI_August_2013.xls"
}
-----
-----
{
 "description": "This table contains data related to Administration of Mineral Conservation and Development Rules upto quarter ending 20th June 2013 for financial year 2013-14.", 
 "file_name": "Administration_of_Mines-18092013_1.xls", 
 "title": "Download XLS for Administration Of Mineral Conservation And Development Rules 1988", 
 "url": "http://data.gov.in/sites/default/files/Administration_of_Mines-18092013_1.xls"
}
-----
"Year","       2013-14  (Quarter ending 20th June, 2013)"
"Yeary Target of inspections",2500.0
"Number of mines inspected",517.0
"Number of mines where violations observed",319.0
"Number of rules & subrules for which violations pointed out",844.0
"Number of mines where pointed out violations rectified",142.0
"Number of rules & subrules rectified after pointing of violations",271.0
"Number of mines to whom show cause notices issued for violations of MCDR (i.e. cases where rectification not done after observation)",50.0
"Number of mines where rectification done after issue of show cause notices",41.0
"Number of rules & subrules rectified after issue of show cause notice",86.0
"Number of mines where prosecution cases launched",14.0
"Number of mines where prosecution cases compounded by courts  ( cases compounded by IBM)",6.0
"Compounded fee recovered- Rs.",46000.0
"Prosecution launched by IBM were upheld by the court",0.0
"Fine recovered - Rs.",0.0
"Number of mines where operations suspended -under rule 13(2)",190.0
"Number of mines where operations suspended -under rule 45(7)",48.0
"Number of mines where suuspension revoked-Rule 13(2)",18.0
"Number of mines where suuspension revoked-Rule 45(7)",18.0
"Number of mines recommended to the State Govt for termination under rule 27(1)(u) and 27(5) of MCR-1960 ",72.0
