-----
{
 "description": "The table refers to district wise distribution of surface lift schemes according to social status. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftDsttab5.4.csv", 
 "title": "Download CSV for Districtwise Distribution of surface lift schemes according to social status for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftDsttab5.4.csv"
}
-----
"State","District","Schedule Caste","Schedule Tribe","Others","Total","Owned by other than Individual/Group of farmers","Grand Total"
"ANDHRA PRADESH","ADILABAD",286,260,1243,1789,11,1800
"ANDHRA PRADESH","ANANTHAPUR",0,0,0,0,1,1
"ANDHRA PRADESH","CHITTOOR",23,2,80,105,0,105
"ANDHRA PRADESH","CUDDAPAH",1,0,63,64,9,73
"ANDHRA PRADESH","EAST GODAVARI",1,0,58,59,19,78
"ANDHRA PRADESH","GUNTUR",52,23,1169,1244,61,1305
"ANDHRA PRADESH","KARIMNAGAR",21,7,303,331,47,378
"ANDHRA PRADESH","KHAMMAM",139,1434,2518,4091,467,4558
"ANDHRA PRADESH","KRISHNA",5,1,52,58,42,100
"ANDHRA PRADESH","KURNOOL",65,3,1461,1529,54,1583
"ANDHRA PRADESH","MAHABOOB NAGAR",64,2,808,874,102,976
"ANDHRA PRADESH","MEDAK",4,5,220,229,0,229
"ANDHRA PRADESH","NALGONDA",74,92,1485,1651,235,1886
"ANDHRA PRADESH","NELLORE",247,68,2114,2429,71,2500
"ANDHRA PRADESH","NIZAMABAD",91,40,1189,1320,15,1335
"ANDHRA PRADESH","PRAKASAM",35,3,814,852,172,1024
"ANDHRA PRADESH","RANGA REDDY",56,0,393,449,47,496
"ANDHRA PRADESH","SRIKAKULUM",2,0,22,24,20,44
"ANDHRA PRADESH","VIJAYA NAGARAM",6,3,111,120,32,152
"ANDHRA PRADESH","VISAKHAPATNAM",0,9,30,39,10,49
"ANDHRA PRADESH","WARANGAL",27,180,363,570,39,609
"ANDHRA PRADESH","WEST GODAVARI",1,3,98,102,43,145
"ASSAM","BARPETA",10,40,154,204,60,264
"ASSAM","BONGAIGAON",14,59,47,120,16,136
"ASSAM","CACHAR",0,0,0,0,62,62
"ASSAM","DARRANG",34,123,373,530,14,544
"ASSAM","DHEMAJI",5,80,48,133,10,143
"ASSAM","DHUBRI",1,3,47,51,44,95
"ASSAM","DIBRUGARH",33,82,258,373,17,390
"ASSAM","GOALPARA",33,280,143,456,27,483
"ASSAM","GOLAGHAT",20,42,266,328,29,357
"ASSAM","HAILAKANDI",0,0,0,0,17,17
"ASSAM","JORHAT",100,292,899,1291,24,1315
"ASSAM","KAMRUP",49,241,374,664,83,747
"ASSAM","KARBI ANGLONG",0,9,16,25,23,48
"ASSAM","KARIMGANJ",0,0,0,0,24,24
"ASSAM","KOKRAJHAR",0,32,50,82,37,119
"ASSAM","LAKHIMPUR",6,48,96,150,3,153
"ASSAM","MARIGAON",9,68,329,406,61,467
"ASSAM","NAGAON",200,191,1498,1889,77,1966
"ASSAM","NALBARI",25,31,134,190,36,226
"ASSAM","NORTH CACHAR HILLS",0,0,0,0,6,6
"ASSAM","SIBSAGAR",2,17,532,551,71,622
"ASSAM","SONITPUR",56,119,341,516,25,541
"ASSAM","TINSUKIA",7,104,251,362,23,385
"BIHAR","ARARIA",0,0,0,0,9,9
"BIHAR","AURANGABAD",0,0,30,30,27,57
"BIHAR","BANKA",2,2,29,33,114,147
"BIHAR","BEGUSARAI",0,0,4,4,56,60
"BIHAR","BHABUA",0,9,6,15,46,61
"BIHAR","BHAGALPUR",3,0,38,41,197,238
"BIHAR","BHOJPUR",21,0,8,29,16,45
"BIHAR","BOKARO",0,0,0,0,14,14
"BIHAR","BUXAR",0,1,6,7,7,14
"BIHAR","CHAMPARAN EAST",1,0,9,10,68,78
"BIHAR","CHAMPARAN WEST",0,0,12,12,33,45
"BIHAR","CHATRA",0,2,11,13,239,252
"BIHAR","DARBHANGA",0,0,5,5,33,38
"BIHAR","DEOGHAR",78,45,257,380,194,574
"BIHAR","DHANBAD",1,37,22,60,39,99
"BIHAR","DUMKA",108,949,474,1531,271,1802
"BIHAR","GARHWA",5,13,33,51,33,84
"BIHAR","GAYA",2,0,21,23,36,59
"BIHAR","GIRIDIH",9,3,35,47,122,169
"BIHAR","GODDA",15,59,41,115,281,396
"BIHAR","GOPALGANJ",1,0,2,3,8,11
