-----
{
 "description": "The table refers to Block wise Distribution of Dugwells in use and their Potential Created/Utilised according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.16.csv", 
 "title": "Download CSV for Blockwise Distribution of Dugwells in use and their Potential Created/Utilised according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.16.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No in use - Public,No in use - Private,Total,Potential created (Ha) - Public,Potential created (Ha) - Private,Total potential created,Potential utilised - Public,Potential utilised - Private,Total potential utilised
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,0,1196,1196,0,1538,1538,0,1424,1424
ANDHRA PRADESH,ADILABAD,LOHESRA,0,160,160,0,211,211,0,211,211
ANDHRA PRADESH,ADILABAD,LUXETTIPET,0,1408,1408,0,1336,1336,0,940,940
ANDHRA PRADESH,ADILABAD,MAMDA,0,468,468,0,652,652,0,571,571
ANDHRA PRADESH,ADILABAD,MANCHERIAL,0,1870,1870,0,2069,2069,0,2045,2045
ANDHRA PRADESH,ADILABAD,MANDAMARRI,0,590,590,0,953,953,0,705,705
ANDHRA PRADESH,ADILABAD,NARNOOR,0,470,470,0,616,616,0,565,565
ANDHRA PRADESH,ADILABAD,NENNAL,0,350,350,0,217,217,0,215,215
ANDHRA PRADESH,ADILABAD,NERADIGONDA,0,118,118,0,137,137,0,130,130
ANDHRA PRADESH,ADILABAD,NIRMAL,0,1752,1752,0,2520,2520,0,2453,2453
ANDHRA PRADESH,ADILABAD,REBBANA,0,164,164,0,197,197,0,113,113
ANDHRA PRADESH,ADILABAD,SARANGAPUR,0,190,190,0,239,239,0,239,239
ANDHRA PRADESH,ADILABAD,SIRPUR (T),0,341,341,0,238,238,0,216,216
ANDHRA PRADESH,ADILABAD,SIRPUR (U),1,253,254,1,216,217,1,200,201
ANDHRA PRADESH,ADILABAD,TALAMADUGU,82,635,717,221,1234,1455,185,829,1014
ANDHRA PRADESH,ADILABAD,TAMSI,0,376,376,0,596,596,0,577,577
ANDHRA PRADESH,ADILABAD,TANDUR,0,71,71,0,50,50,0,12,12
ANDHRA PRADESH,ADILABAD,TIRYANI,0,41,41,0,43,43,0,33,33
ANDHRA PRADESH,ADILABAD,UTNUR,0,731,731,0,1419,1419,0,1393,1393
ANDHRA PRADESH,ADILABAD,VEMANPALLE,0,207,207,0,164,164,0,96,96
ANDHRA PRADESH,ADILABAD,WANKDI,0,97,97,0,86,86,0,67,67
ANDHRA PRADESH,ANANTHAPUR,AGALI,2,338,340,1,651,652,0,298,298
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,4,757,761,9,3751,3760,2,761,762
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,0,270,270,0,568,568,0,292,292
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,0,570,570,0,1569,1569,0,838,838
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,0,551,551,0,1090,1090,0,656,656
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,0,513,513,0,1322,1322,0,691,691
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,0,299,299,0,730,730,0,710,710
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,0,117,117,0,322,322,0,169,169
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,18,626,644,37,1335,1372,31,1099,1130
ANDHRA PRADESH,ANANTHAPUR,BUKKAPATNAM,1,738,739,1,960,961,1,755,756
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,2,1675,1677,9,3428,3436,7,2814,2822
ANDHRA PRADESH,ANANTHAPUR,CHENNE KOTHAPALLE,0,167,167,0,379,379,0,178,178
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,50,1298,1348,65,1810,1875,12,467,479
ANDHRA PRADESH,ANANTHAPUR,D.HIRCHAL,0,117,117,0,274,274,0,208,208
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,6,1137,1143,15,2805,2819,10,976,987
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,1,574,575,1,985,986,0,503,503
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,1,426,427,0,1120,1121,0,720,721
ANDHRA PRADESH,ANANTHAPUR,GOOTY,1,336,337,1,729,730,0,503,504
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,0,186,186,0,266,266,0,166,166
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,0,427,427,0,909,909,0,573,573
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATTA,5,605,610,11,1441,1452,10,1210,1220
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,1,434,435,1,608,610,0,283,284
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,0,270,270,0,607,607,0,299,299
ANDHRA PRADESH,ANANTHAPUR,KADIRI,0,310,310,0,556,556,0,556,556
ANDHRA PRADESH,ANANTHAPUR,KALYANDURG,28,901,929,36,1900,1936,31,1428,1459
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,11,768,779,33,1713,1747,17,1050,1067
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,7,594,601,14,1475,1489,12,850,862
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,0,142,142,0,584,584,0,554,554
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,4,981,985,3,1207,1209,0,799,800
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,1,572,573,3,1401,1404,3,1008,1011
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,1,980,981,3,2318,2321,1,1153,1155
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,1,80,81,4,139,143,0,89,89
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,3,59,62,1,79,80,0,24,24
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,0,1190,1190,0,2134,2134,0,679,679
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,0,167,167,0,522,522,0,257,257
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,5,833,838,21,1768,1789,11,782,793
ANDHRA PRADESH,ANANTHAPUR,NAMBULIPULIKUNTA,14,715,729,19,1074,1093,15,531,546
ANDHRA PRADESH,ANANTHAPUR,NARPALA,8,1646,1654,21,4734,4755,16,3865,3881
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,0,978,978,0,2024,2024,0,1212,1212
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,1,288,289,1,635,636,1,361,362
ANDHRA PRADESH,ANANTHAPUR,PARIGI,2,138,140,2,224,226,0,1,1
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,0,370,370,0,629,629,0,585,585
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,0,29,29,0,69,69,0,59,59
ANDHRA PRADESH,ANANTHAPUR,PENU KONDA,1,643,644,1,1202,1204,1,605,606
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,1,922,923,5,2991,2996,1,992,993
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,5,646,651,9,1009,1017,8,755,762
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,0,311,311,0,1146,1146,0,230,230
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,0,429,429,0,923,923,0,589,589
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,1,456,457,9,1448,1457,3,776,779
ANDHRA PRADESH,ANANTHAPUR,RODDAM,0,269,269,0,844,844,0,273,273
ANDHRA PRADESH,ANANTHAPUR,ROLLA,0,229,229,0,430,430,0,256,256
ANDHRA PRADESH,ANANTHAPUR,SETTUR,0,682,682,0,1473,1473,0,1248,1248
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,0,625,625,0,1383,1383,0,1232,1232
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,5,462,467,6,643,649,1,194,195
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,0,789,789,0,1721,1721,0,1059,1059
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,10,525,535,23,1948,1971,20,1777,1797
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,11,1069,1080,21,1765,1786,12,872,884
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,3,476,479,7,807,814,3,484,488
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,4,464,468,4,1138,1142,0,1129,1129
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,1,211,212,2,638,640,1,420,421
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,0,175,175,0,384,384,0,272,272
ANDHRA PRADESH,ANANTHAPUR,YADIKI,0,398,398,0,1471,1471,0,1308,1308
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,0,695,695,0,2613,2613,0,1763,1763
ANDHRA PRADESH,CHITTOOR,B KOTHAKOTA,2,186,188,2,237,239,0,99,99
ANDHRA PRADESH,CHITTOOR,BAIREDDI PALLE,11,2660,2671,10,3094,3104,7,1905,1912
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,56,3059,3115,57,5486,5544,52,4308,4360
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,0,592,592,0,1053,1053,0,1039,1039
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,5,2264,2269,10,2613,2622,5,2139,2144
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,0,640,640,0,1130,1130,0,143,143
ANDHRA PRADESH,CHITTOOR,CHITTOOR,3,2218,2221,8,2341,2349,6,2058,2064
ANDHRA PRADESH,CHITTOOR,CHOWDEPALLE,1,1151,1152,0,1361,1361,0,712,712
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,11,2789,2800,10,3039,3048,7,2211,2219
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,0,1735,1735,0,2307,2307,0,1785,1785
ANDHRA PRADESH,CHITTOOR,GUDI PALLE,0,887,887,0,937,937,0,772,772
ANDHRA PRADESH,CHITTOOR,GUDIPALA,0,1813,1813,0,2094,2094,0,1458,1458
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,4,1437,1441,3,1757,1761,2,1532,1534
ANDHRA PRADESH,CHITTOOR,IRALA,1,2324,2325,1,2336,2337,0,1732,1732
ANDHRA PRADESH,CHITTOOR,K V P PURAM,0,991,991,0,1932,1932,0,1311,1311
ANDHRA PRADESH,CHITTOOR,KALAKADA,0,1410,1410,0,1731,1731,0,1050,1050
ANDHRA PRADESH,CHITTOOR,KALIKIRI,0,1129,1129,0,1078,1078,0,586,586
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,0,1257,1257,0,1462,1462,0,243,243
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,0,2171,2171,0,3424,3424,0,2493,2493
ANDHRA PRADESH,CHITTOOR,KUPPAM,0,2469,2469,0,3122,3122,0,2370,2370
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,1,765,766,1,1259,1260,0,533,533
ANDHRA PRADESH,CHITTOOR,MANDANPALLE,0,857,857,0,1173,1173,0,942,942
