-----
{
 "description": "The table refers to Block wise Distribution of Dugwells in use and their Potential Created/Utilised according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.16.csv", 
 "title": "Download CSV for Blockwise Distribution of Dugwells in use and their Potential Created/Utilised according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.16.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No in use - Public,No in use - Private,Total,Potential created (Ha) - Public,Potential created (Ha) - Private,Total potential created,Potential utilised - Public,Potential utilised - Private,Total potential utilised
ANDHRA PRADESH,NELLORE,PELLAKUR,0,343,343,0,684,684,0,488,488
ANDHRA PRADESH,NELLORE,PODLAKUR,1,2287,2288,3,3411,3414,3,3363,3366
ANDHRA PRADESH,NELLORE,RAPUR,0,1580,1580,0,2502,2502,0,2425,2425
ANDHRA PRADESH,NELLORE,SEETHARAMAPURAM,4,714,718,6,1521,1527,4,1082,1086
ANDHRA PRADESH,NELLORE,SULLURPETA,0,291,291,0,325,325,0,303,303
ANDHRA PRADESH,NELLORE,SYDAPURAM,1,1982,1983,1,2870,2871,1,2822,2823
ANDHRA PRADESH,NELLORE,TADA,0,326,326,0,368,368,0,185,185
ANDHRA PRADESH,NELLORE,UDAYAGIRI,34,1357,1391,35,2256,2291,25,1809,1834
ANDHRA PRADESH,NELLORE,VAKADU,0,34,34,0,70,70,0,68,68
ANDHRA PRADESH,NELLORE,VARIKUNTAPADU,0,880,880,0,1595,1595,0,1593,1593
ANDHRA PRADESH,NELLORE,VENKATACHALAM,1,312,313,5,373,378,2,238,240
ANDHRA PRADESH,NELLORE,VENKATAGIRI,41,1049,1090,65,1196,1261,48,1154,1202
ANDHRA PRADESH,NELLORE,VINJAMUR,1,1175,1176,3,2497,2500,2,1705,1706
ANDHRA PRADESH,NIZAMABAD,ARMUR,0,669,669,0,1094,1094,0,1077,1077
ANDHRA PRADESH,NIZAMABAD,BALKONDA,0,1678,1678,0,2097,2097,0,2081,2081
ANDHRA PRADESH,NIZAMABAD,BANSWADA,0,19,19,0,43,43,0,41,41
ANDHRA PRADESH,NIZAMABAD,BHEEMGAL,0,596,596,0,1004,1004,0,1002,1002
ANDHRA PRADESH,NIZAMABAD,BHIKNUR,2,138,140,16,152,168,0,77,77
ANDHRA PRADESH,NIZAMABAD,BICHKUNDA,0,34,34,0,54,54,0,51,51
ANDHRA PRADESH,NIZAMABAD,BIRKOOR,0,147,147,0,185,185,0,181,181
ANDHRA PRADESH,NIZAMABAD,BODHAN,0,18,18,0,51,51,0,23,23
ANDHRA PRADESH,NIZAMABAD,DHAR PALLE,0,1044,1044,0,1381,1381,0,1379,1379
ANDHRA PRADESH,NIZAMABAD,DICH PALLE,0,142,142,0,187,187,0,185,185
ANDHRA PRADESH,NIZAMABAD,DOMAKONDA,0,273,273,0,252,252,0,244,244
ANDHRA PRADESH,NIZAMABAD,GANDHARI,0,279,279,0,224,224,0,220,220
ANDHRA PRADESH,NIZAMABAD,JAKRANPALLE,0,364,364,0,410,410,0,406,406
ANDHRA PRADESH,NIZAMABAD,JUKKAL,0,23,23,0,64,64,0,64,64
ANDHRA PRADESH,NIZAMABAD,KAMAREDDY,0,157,157,0,204,204,0,204,204
ANDHRA PRADESH,NIZAMABAD,KAMMAR PALLE,0,1906,1906,0,3192,3192,0,3181,3181
ANDHRA PRADESH,NIZAMABAD,KOTGIRI,0,7,7,0,11,11,0,8,8
ANDHRA PRADESH,NIZAMABAD,LINGAMPET,0,20,20,0,35,35,0,33,33
ANDHRA PRADESH,NIZAMABAD,MACHAREDDY,1,1385,1386,1,1659,1660,0,1039,1040
ANDHRA PRADESH,NIZAMABAD,MADNUR,0,35,35,0,132,132,0,131,131
ANDHRA PRADESH,NIZAMABAD,MAKLOOR,0,3,3,0,1,1,0,1,1
ANDHRA PRADESH,NIZAMABAD,MORTAD,2,1107,1109,2,1945,1947,2,1931,1933
ANDHRA PRADESH,NIZAMABAD,NAGA REDDIPET,0,118,118,0,217,217,0,197,197
ANDHRA PRADESH,NIZAMABAD,NANDIPET,0,18,18,0,27,27,0,27,27
ANDHRA PRADESH,NIZAMABAD,NAVIPET,0,6,6,0,14,14,0,14,14
ANDHRA PRADESH,NIZAMABAD,NIZAM SAGAR,0,65,65,0,126,126,0,85,85
ANDHRA PRADESH,NIZAMABAD,NIZAMABAD,0,64,64,0,77,77,0,72,72
ANDHRA PRADESH,NIZAMABAD,PITLAM,0,17,17,0,26,26,0,24,24
ANDHRA PRADESH,NIZAMABAD,RANJAL,0,15,15,0,33,33,0,20,20
ANDHRA PRADESH,NIZAMABAD,SADASIVANAGAR,0,603,603,0,687,687,0,668,668
ANDHRA PRADESH,NIZAMABAD,SIRKONDA,0,915,915,0,1276,1276,0,1210,1210
ANDHRA PRADESH,NIZAMABAD,TADWAI,0,1179,1179,0,1337,1337,0,1327,1327
ANDHRA PRADESH,NIZAMABAD,VARNI,0,84,84,0,204,204,0,200,200
ANDHRA PRADESH,NIZAMABAD,YEDA PALLE,0,476,476,0,1080,1080,0,887,887
ANDHRA PRADESH,NIZAMABAD,YELLAREDDY,0,61,61,0,144,144,0,81,81
ANDHRA PRADESH,PRAKASAM,ADDANKI,5,324,329,11,463,474,8,79,87
ANDHRA PRADESH,PRAKASAM,ARDHAVEEDU,1,3,4,2,4,5,0,0,0
ANDHRA PRADESH,PRAKASAM,BALLIKURUVA,0,708,708,0,734,734,0,212,212
ANDHRA PRADESH,PRAKASAM,BESTAVARIPETA,0,258,258,0,677,677,0,16,16
ANDHRA PRADESH,PRAKASAM,CHADRASEKARAPURAM,0,1083,1083,0,3545,3545,0,5,5
ANDHRA PRADESH,PRAKASAM,CHIMAKURTHI,7,647,654,10,954,964,1,289,291
ANDHRA PRADESH,PRAKASAM,CHINAGANJAM,0,3,3,0,49,49,0,49,49
ANDHRA PRADESH,PRAKASAM,CUMBUM,0,2,2,0,2,2,0,0,0
ANDHRA PRADESH,PRAKASAM,DARSI,1,278,279,1,449,450,0,38,38
ANDHRA PRADESH,PRAKASAM,DONAKONDA,0,149,149,0,253,253,0,0,0
ANDHRA PRADESH,PRAKASAM,GIDDALURU,3,264,267,6,682,688,0,0,0
ANDHRA PRADESH,PRAKASAM,GUDLURU,21,149,170,25,182,207,0,0,0
ANDHRA PRADESH,PRAKASAM,HANUMANTHUNIPADU,5,792,797,8,2587,2595,6,98,104
ANDHRA PRADESH,PRAKASAM,INKOLLU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,PRAKASAM,JANAKAVARAMPANGULURU,0,95,95,0,475,475,0,78,78
ANDHRA PRADESH,PRAKASAM,KANDUKUR,0,491,491,0,679,679,0,0,0
ANDHRA PRADESH,PRAKASAM,KANIGIRI,47,1218,1265,59,2380,2438,0,6,6
ANDHRA PRADESH,PRAKASAM,KOMAROLU,13,700,713,13,1390,1404,0,0,0
ANDHRA PRADESH,PRAKASAM,KONAKANAMITLA,9,1005,1014,18,2027,2045,0,2,2
ANDHRA PRADESH,PRAKASAM,KONDAPI,0,319,319,0,372,372,0,0,0
ANDHRA PRADESH,PRAKASAM,KORISAPADU,0,273,273,0,575,575,0,0,0
ANDHRA PRADESH,PRAKASAM,KOTHAPATNAM,0,93,93,0,196,196,0,0,0
ANDHRA PRADESH,PRAKASAM,KURICHEDU,1,75,76,82,73,155,0,5,5
ANDHRA PRADESH,PRAKASAM,LINGASAMUDRAM,0,311,311,0,553,553,0,2,2
ANDHRA PRADESH,PRAKASAM,MADDIPADU,0,141,141,0,160,160,0,0,0
ANDHRA PRADESH,PRAKASAM,MARKAPUR,0,3,3,0,3,3,0,0,0
ANDHRA PRADESH,PRAKASAM,MARRIPUDI,6,843,849,15,2404,2419,0,5,5
ANDHRA PRADESH,PRAKASAM,MARTUR,3,205,208,4,196,200,4,144,148
ANDHRA PRADESH,PRAKASAM,MUNDLAMURU,0,170,170,0,240,240,0,0,0
ANDHRA PRADESH,PRAKASAM,NAGULUPPALAPADU,0,29,29,0,41,41,0,1,1
ANDHRA PRADESH,PRAKASAM,ONGOLE,0,23,23,0,22,22,0,0,0
ANDHRA PRADESH,PRAKASAM,PAMUR,10,907,917,24,1829,1853,0,227,227
ANDHRA PRADESH,PRAKASAM,PARCHUR,0,1,1,0,289,289,0,0,0
ANDHRA PRADESH,PRAKASAM,PEDAARAVEEDU,2,149,151,3,289,292,1,0,1
ANDHRA PRADESH,PRAKASAM,PEDACHERLOPALLE,0,1506,1506,0,3062,3062,0,1,1
ANDHRA PRADESH,PRAKASAM,PODILI,16,633,649,44,1638,1682,0,2,2
ANDHRA PRADESH,PRAKASAM,PONNALURU,2,220,222,8,236,244,0,0,0
ANDHRA PRADESH,PRAKASAM,RACHERLA,6,381,387,14,739,753,0,1,1
ANDHRA PRADESH,PRAKASAM,SANTHAMAGULURU,0,418,418,0,488,488,0,0,0
ANDHRA PRADESH,PRAKASAM,SANTHANUTHLAPADU,0,94,94,0,140,140,0,0,0
ANDHRA PRADESH,PRAKASAM,SINGARAYAKONDA,0,36,36,0,48,48,0,0,0
ANDHRA PRADESH,PRAKASAM,TANGUTUR,5,97,102,8,127,134,0,0,0
ANDHRA PRADESH,PRAKASAM,TARLAPADU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,PRAKASAM,THALLUR,11,900,911,38,2117,2155,0,267,267
ANDHRA PRADESH,PRAKASAM,TRIPURANTHAKAM,1,30,31,1,39,40,0,5,5
ANDHRA PRADESH,PRAKASAM,ULAVAPADU,12,136,148,17,252,268,0,0,0
ANDHRA PRADESH,PRAKASAM,VELIGANDLA,0,1074,1074,0,2293,2293,0,1,1
ANDHRA PRADESH,PRAKASAM,VOLETIVARIPALEM,0,303,303,0,366,366,0,0,0
ANDHRA PRADESH,PRAKASAM,YEDDANAPUDI,8,55,63,19,75,94,6,15,21
ANDHRA PRADESH,PRAKASAM,ZARUGUMILLI,0,541,541,0,782,782,0,1,1
ANDHRA PRADESH,RANGAREDDY,BALANAGAR,0,28,28,0,35,35,0,18,18
ANDHRA PRADESH,RANGAREDDY,BANTARAM,0,982,982,0,930,930,0,558,558
ANDHRA PRADESH,RANGAREDDY,BASHEERABAD,0,266,266,0,427,427,0,365,365
ANDHRA PRADESH,RANGAREDDY,CHEVELLA,0,1940,1940,0,3083,3083,0,1053,1053
ANDHRA PRADESH,RANGAREDDY,DHARUR,1,541,542,1,657,658,0,370,370
ANDHRA PRADESH,RANGAREDDY,DOMA,0,134,134,0,170,170,0,79,79
ANDHRA PRADESH,RANGAREDDY,GANDEED,2,682,684,2,3986,3988,1,2741,2742
ANDHRA PRADESH,RANGAREDDY,GHATKESAR,0,355,355,0,985,985,0,402,402
ANDHRA PRADESH,RANGAREDDY,HAYATHNAGAR,1,594,595,1,856,856,1,614,615
ANDHRA PRADESH,RANGAREDDY,IBRAHIMPATAM,32,1033,1065,20,1465,1485,15,1297,1312
ANDHRA PRADESH,RANGAREDDY,KANDUKUR,3,250,253,6,404,410,1,174,175
ANDHRA PRADESH,RANGAREDDY,KEESARA,0,271,271,0,259,259,0,39,39
ANDHRA PRADESH,RANGAREDDY,KULKACHARLA,0,860,860,0,625,625,0,469,469
ANDHRA PRADESH,RANGAREDDY,MAHESWARAM,5,418,423,10,683,693,3,249,252
ANDHRA PRADESH,RANGAREDDY,MALKAJGIRI,0,100,100,0,270,270,0,153,153
ANDHRA PRADESH,RANGAREDDY,MANCHAL,1,1037,1038,2,2111,2114,1,1023,1025
ANDHRA PRADESH,RANGAREDDY,MARPALLE,14,1364,1378,4,1574,1578,3,1296,1300
ANDHRA PRADESH,RANGAREDDY,MEDCHAL,0,104,104,0,175,175,0,67,67
ANDHRA PRADESH,RANGAREDDY,MOINABAD,0,649,649,0,950,950,0,294,294
ANDHRA PRADESH,RANGAREDDY,MOMINPET,2,878,880,4,1332,1336,3,1092,1095
ANDHRA PRADESH,RANGAREDDY,NAWABPET,2,882,884,2,1226,1228,2,919,921
ANDHRA PRADESH,RANGAREDDY,PARGI,0,683,683,0,1100,1100,0,500,500
ANDHRA PRADESH,RANGAREDDY,PEDDEMUL,0,146,146,0,378,378,0,182,182
ANDHRA PRADESH,RANGAREDDY,PUDUR,1,1157,1158,1,1751,1752,1,1153,1154
ANDHRA PRADESH,RANGAREDDY,QUTHBULLAPUR,0,32,32,0,41,41,0,18,18
ANDHRA PRADESH,RANGAREDDY,RAJENDRANAGAR,0,251,251,0,687,687,0,567,567
ANDHRA PRADESH,RANGAREDDY,SAROORNAGAR,0,400,400,0,878,878,0,267,267
ANDHRA PRADESH,RANGAREDDY,SERILINGAMPALLE,0,135,135,0,187,187,0,155,155
ANDHRA PRADESH,RANGAREDDY,SHABAD,4,48,52,9,110,119,7,73,80
ANDHRA PRADESH,RANGAREDDY,SHAMIRPET,3,164,167,1,186,187,1,124,125
ANDHRA PRADESH,RANGAREDDY,SHAMSHABAD,1,61,62,2,108,109,0,25,25
ANDHRA PRADESH,RANGAREDDY,SHANKARPALLE,0,823,823,0,1546,1546,0,883,883
ANDHRA PRADESH,RANGAREDDY,TANDUR,1,247,248,3,479,482,2,359,361
ANDHRA PRADESH,RANGAREDDY,UPPAL,1,34,35,32,163,194,7,76,83
ANDHRA PRADESH,RANGAREDDY,VIKARABAD,1,1259,1260,1,1836,1837,0,1137,1137
ANDHRA PRADESH,RANGAREDDY,YACHARAM,9,967,976,5,904,909,4,615,619
ANDHRA PRADESH,RANGAREDDY,YELAL,0,311,311,0,710,710,0,660,660
ANDHRA PRADESH,SRIKAKULAM,AMADALAVALASA,1,223,224,0,101,101,0,95,95
ANDHRA PRADESH,SRIKAKULAM,BHAMINI,0,97,97,0,83,83,0,67,67
ANDHRA PRADESH,SRIKAKULAM,BURJA,0,385,385,0,194,194,0,183,183
ANDHRA PRADESH,SRIKAKULAM,ETCHERLA,5,1015,1020,2,425,427,2,380,382
ANDHRA PRADESH,SRIKAKULAM,GANGUVARI SINGADAM,75,2707,2782,41,1268,1309,19,643,663
ANDHRA PRADESH,SRIKAKULAM,GARA,0,414,414,0,196,196,0,193,193
ANDHRA PRADESH,SRIKAKULAM,HIRAMANDALAM,1,334,335,0,139,139,0,115,115
ANDHRA PRADESH,SRIKAKULAM,ICHCHAPURAM,0,211,211,0,84,84,0,63,63
ANDHRA PRADESH,SRIKAKULAM,JALUMURU,55,689,744,28,195,223,28,180,207
ANDHRA PRADESH,SRIKAKULAM,KANCHILI,11,336,347,4,250,254,4,248,252
ANDHRA PRADESH,SRIKAKULAM,KAVITI,0,9,9,0,15,15,0,12,12
ANDHRA PRADESH,SRIKAKULAM,KOTABOMMILI,97,4934,5031,18,945,963,18,757,775
ANDHRA PRADESH,SRIKAKULAM,KOTHURU,12,131,143,9,78,87,9,30,39
ANDHRA PRADESH,SRIKAKULAM,L.N.PETA,1,63,64,1,32,34,1,32,34
ANDHRA PRADESH,SRIKAKULAM,LAVERU,0,2805,2805,0,1683,1683,0,1421,1421
ANDHRA PRADESH,SRIKAKULAM,MANDASA,0,87,87,0,32,32,0,32,32
ANDHRA PRADESH,SRIKAKULAM,MEILAPUTTI,0,705,705,0,347,347,0,297,297
ANDHRA PRADESH,SRIKAKULAM,NANDIGAM,91,1462,1553,23,415,438,14,266,280
ANDHRA PRADESH,SRIKAKULAM,NARASANNAPETA,0,122,122,0,29,29,0,26,26
ANDHRA PRADESH,SRIKAKULAM,PALAKONDA,2,179,181,2,155,157,2,148,151
ANDHRA PRADESH,SRIKAKULAM,PALASA,10,812,822,7,556,563,1,114,115
ANDHRA PRADESH,SRIKAKULAM,PATHAPATNAM,4,840,844,1,188,188,0,66,66
ANDHRA PRADESH,SRIKAKULAM,POLAKI,4,634,638,3,326,329,2,224,226
ANDHRA PRADESH,SRIKAKULAM,PONDURU,0,2531,2531,0,1168,1168,0,1035,1035
ANDHRA PRADESH,SRIKAKULAM,RAJAM,5,1995,2000,3,961,964,1,497,498
ANDHRA PRADESH,SRIKAKULAM,RANASTALAM,0,2633,2633,0,1492,1492,0,1215,1215
ANDHRA PRADESH,SRIKAKULAM,REGIDIAMADALAVALASA,1,1350,1351,4,873,877,4,618,622
ANDHRA PRADESH,SRIKAKULAM,SANTHABOMMALI,3,961,964,1,259,260,0,132,132
ANDHRA PRADESH,SRIKAKULAM,SANTHAKAVITI,1,819,820,2,543,545,2,454,456
ANDHRA PRADESH,SRIKAKULAM,SARAVAKOTA,1,1720,1721,0,398,399,0,173,173
ANDHRA PRADESH,SRIKAKULAM,SARUBUJJILI,0,218,218,0,137,137,0,96,96
ANDHRA PRADESH,SRIKAKULAM,SEETHAMPETA,0,29,29,0,42,42,0,38,38
ANDHRA PRADESH,SRIKAKULAM,SOMPETA,8,247,255,16,182,197,16,172,188
ANDHRA PRADESH,SRIKAKULAM,SRIKAKULAM,2,443,445,3,302,305,3,291,294
ANDHRA PRADESH,SRIKAKULAM,TEKKALI,11,891,902,4,212,216,2,80,83
ANDHRA PRADESH,SRIKAKULAM,VAJRAPUKOTHURU,0,87,87,0,51,51,0,23,23
ANDHRA PRADESH,SRIKAKULAM,VANGARA,1,122,123,1,153,154,1,120,121
ANDHRA PRADESH,SRIKAKULAM,VEERAGHATTAM,1,153,154,1,133,134,1,117,118
ANDHRA PRADESH,VISAKHAPATNAM,ANAKAPALLI,8,1317,1325,14,2552,2566,12,2061,2073
ANDHRA PRADESH,VISAKHAPATNAM,ANANDAPURAM,0,2111,2111,0,1697,1697,0,1522,1522
ANDHRA PRADESH,VISAKHAPATNAM,ANANTHAGIRI,0,38,38,0,60,60,0,54,54
ANDHRA PRADESH,VISAKHAPATNAM,ARAKU VALLEY,0,103,103,0,181,181,0,144,144
ANDHRA PRADESH,VISAKHAPATNAM,ATCHUTAPURAM,0,957,957,0,1077,1077,0,703,703
ANDHRA PRADESH,VISAKHAPATNAM,BHEEMUNIPATNAM,2,1701,1703,1,1268,1270,1,886,887
ANDHRA PRADESH,VISAKHAPATNAM,BUTCHAYYAPETA,54,784,838,74,702,776,68,639,707
ANDHRA PRADESH,VISAKHAPATNAM,CHEEDIKADA,0,332,332,0,274,274,0,136,136
ANDHRA PRADESH,VISAKHAPATNAM,CHINTAPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,VISAKHAPATNAM,CHODAVARAM,0,524,524,0,544,544,0,250,250
ANDHRA PRADESH,VISAKHAPATNAM,DEVARAPALLE,0,119,119,0,288,288,0,281,281
ANDHRA PRADESH,VISAKHAPATNAM,DUMBRIGUDA,0,82,82,0,122,122,0,95,95
ANDHRA PRADESH,VISAKHAPATNAM,GAJUWAKA,0,243,243,0,198,198,0,103,103
ANDHRA PRADESH,VISAKHAPATNAM,GANGARAJU MADUGULA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,VISAKHAPATNAM,GOLUGONDA,0,265,265,0,359,359,0,242,242
ANDHRA PRADESH,VISAKHAPATNAM,GUDEM KOTHAVEEDHI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,VISAKHAPATNAM,HUKUMPETA,0,3,3,0,3,3,0,1,1
ANDHRA PRADESH,VISAKHAPATNAM,K KOTAPADU,0,1340,1340,0,1320,1320,0,570,570
ANDHRA PRADESH,VISAKHAPATNAM,KASIMKOTA,0,1141,1141,0,1706,1706,0,1599,1599
ANDHRA PRADESH,VISAKHAPATNAM,KOTAURATLA,0,443,443,0,411,411,0,355,355
ANDHRA PRADESH,VISAKHAPATNAM,KOYYURU,0,81,81,0,71,71,0,59,59
ANDHRA PRADESH,VISAKHAPATNAM,MADUGULA,1,114,115,2,187,188,0,170,170
ANDHRA PRADESH,VISAKHAPATNAM,MAKAVARAPALEM,1,799,800,0,859,859,0,725,726
ANDHRA PRADESH,VISAKHAPATNAM,MUNAGAPAKA,1,456,457,1,669,670,1,610,612
ANDHRA PRADESH,VISAKHAPATNAM,MUNCHINGIPUTTU,0,8,8,0,22,22,0,22,22
ANDHRA PRADESH,VISAKHAPATNAM,NAKKAPALLI,26,1023,1049,213,1319,1532,155,1017,1172
ANDHRA PRADESH,VISAKHAPATNAM,NARSIPATNAM,0,386,386,0,370,370,0,346,346
ANDHRA PRADESH,VISAKHAPATNAM,NATHAVARAM,0,178,178,0,308,308,0,276,276
ANDHRA PRADESH,VISAKHAPATNAM,PADERU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,VISAKHAPATNAM,PADMANABHAM,0,1502,1502,0,1962,1962,0,1758,1758
ANDHRA PRADESH,VISAKHAPATNAM,PARAVADA,0,610,610,0,563,563,0,345,345
ANDHRA PRADESH,VISAKHAPATNAM,PAYAKARAOPETA,0,180,180,0,334,334,0,312,312
ANDHRA PRADESH,VISAKHAPATNAM,PEDABAYALU,0,1,1,0,1,1,0,1,1
ANDHRA PRADESH,VISAKHAPATNAM,PENDURTHI,0,895,895,0,1041,1041,0,324,324
ANDHRA PRADESH,VISAKHAPATNAM,RAMBILLI,8,665,673,956,613,1569,2,600,602
ANDHRA PRADESH,VISAKHAPATNAM,RAVIKAMATHAM,0,664,664,0,628,628,0,551,551
ANDHRA PRADESH,VISAKHAPATNAM,ROLUGUNTA,21,391,412,41,438,478,31,353,384
ANDHRA PRADESH,VISAKHAPATNAM,S RAYAVARAM,0,576,576,0,558,558,0,519,519
ANDHRA PRADESH,VISAKHAPATNAM,SABBAVARAM,0,1621,1621,0,1994,1994,0,1246,1246
ANDHRA PRADESH,VISAKHAPATNAM,VISAKHAPATNAM,0,68,68,0,60,60,0,25,25
ANDHRA PRADESH,VISAKHAPATNAM,YELAMANCHILI,8,783,791,8,784,792,8,754,762
ANDHRA PRADESH,VIZIANAGARAM,BADANGI,0,941,941,0,368,368,0,288,288
ANDHRA PRADESH,VIZIANAGARAM,BALAJIPETA,44,407,451,52,387,439,48,322,370
ANDHRA PRADESH,VIZIANAGARAM,BHOGHAPURAM,0,1130,1130,0,814,814,0,341,341
ANDHRA PRADESH,VIZIANAGARAM,BOBBILI,5,1330,1335,5,523,528,2,427,429
ANDHRA PRADESH,VIZIANAGARAM,BONDAPALLE,3,647,650,2,648,650,0,277,277
ANDHRA PRADESH,VIZIANAGARAM,CHEEPURUPALLE,0,2470,2470,0,1917,1917,0,917,917
ANDHRA PRADESH,VIZIANAGARAM,DATTIRAJERU,0,1857,1857,0,876,876,0,518,518
ANDHRA PRADESH,VIZIANAGARAM,DENKADA,1,918,919,1,929,930,1,546,547
ANDHRA PRADESH,VIZIANAGARAM,GAJAPATHINAGARAM,0,783,783,0,517,517,0,370,370
ANDHRA PRADESH,VIZIANAGARAM,GANTYADA,4,463,467,4,523,527,0,183,183
ANDHRA PRADESH,VIZIANAGARAM,GARIVIDI,0,2175,2175,0,1821,1821,0,814,814
ANDHRA PRADESH,VIZIANAGARAM,GARUGUBILLI,0,614,614,0,244,244,0,233,233
ANDHRA PRADESH,VIZIANAGARAM,GUMMALAKSHMIPURAM,0,4,4,0,8,8,0,8,8
ANDHRA PRADESH,VIZIANAGARAM,GURLA,0,2093,2093,0,1230,1230,0,969,969
ANDHRA PRADESH,VIZIANAGARAM,JAMI,0,559,559,0,465,465,0,432,432
ANDHRA PRADESH,VIZIANAGARAM,JIYYAMMA VALASA,0,31,31,0,27,27,0,24,24
ANDHRA PRADESH,VIZIANAGARAM,KOMARADA,56,62,118,46,46,92,32,28,60
ANDHRA PRADESH,VIZIANAGARAM,KOTHAVALASA,1,932,933,1,483,483,0,128,128
ANDHRA PRADESH,VIZIANAGARAM,KURUPAM,0,10,10,0,6,6,0,6,6
ANDHRA PRADESH,VIZIANAGARAM,LAKKAVARAPUKOTA,0,522,522,0,347,347,0,77,77
ANDHRA PRADESH,VIZIANAGARAM,MAKKUVA,0,219,219,0,151,151,0,142,142
ANDHRA PRADESH,VIZIANAGARAM,MENTADA,0,515,515,0,457,457,0,196,196
ANDHRA PRADESH,VIZIANAGARAM,MERAKAMUDIDAM,0,1363,1363,0,1234,1234,0,699,699
ANDHRA PRADESH,VIZIANAGARAM,NELLIMARLA,4,1925,1929,1,1082,1084,0,380,380
ANDHRA PRADESH,VIZIANAGARAM,PACHIPENTA,9,38,47,10,41,51,0,0,0
ANDHRA PRADESH,VIZIANAGARAM,PARVATHIPURAM,2,699,701,2,614,616,1,110,111
ANDHRA PRADESH,VIZIANAGARAM,PUSAPATIREGA,3,2584,2587,2,2537,2539,0,901,901
ANDHRA PRADESH,VIZIANAGARAM,RAMABHADRAPURAM,0,845,845,0,500,500,0,374,374
ANDHRA PRADESH,VIZIANAGARAM,SALUR,6,133,139,4,161,165,4,150,154
ANDHRA PRADESH,VIZIANAGARAM,SEETHANAGARAM,1,569,570,0,389,389,0,95,95
ANDHRA PRADESH,VIZIANAGARAM,SRUNGAVARAPUKOTA,0,94,94,0,88,88,0,38,38
ANDHRA PRADESH,VIZIANAGARAM,THERLAM,75,1190,1265,35,765,799,35,672,706
ANDHRA PRADESH,VIZIANAGARAM,VEPADA,3,538,541,2,394,397,2,253,255
ANDHRA PRADESH,VIZIANAGARAM,VIZIANAGARAM,0,786,786,0,667,667,0,410,410
ANDHRA PRADESH,WARANGAL,ATMAKUR,0,3656,3656,0,5943,5943,0,5784,5784
ANDHRA PRADESH,WARANGAL,BACHANNAPETA,8,2581,2589,14,4442,4456,11,3065,3076
ANDHRA PRADESH,WARANGAL,BHUPALPALLE,0,1741,1741,0,1568,1568,0,1357,1357
ANDHRA PRADESH,WARANGAL,CHENNARAOPET,32,3391,3423,42,4169,4211,41,4150,4191
ANDHRA PRADESH,WARANGAL,CHERIYAL,0,1697,1697,0,1578,1578,0,1271,1271
ANDHRA PRADESH,WARANGAL,CHITYAL,0,5286,5286,0,5773,5773,0,5388,5388
ANDHRA PRADESH,WARANGAL,DEVARUPPULA,7,1571,1578,12,2851,2863,11,2329,2341
ANDHRA PRADESH,WARANGAL,DHARMASAGAR,6,5284,5290,5,5568,5574,5,5262,5266
ANDHRA PRADESH,WARANGAL,DORNAKAL,0,3496,3496,0,4493,4493,0,3240,3240
ANDHRA PRADESH,WARANGAL,DUGGONDI,2,3758,3760,2,4217,4219,2,3826,3828
ANDHRA PRADESH,WARANGAL,ETURNAGARAM,0,32,32,0,26,26,0,26,26
ANDHRA PRADESH,WARANGAL,GEESUGONDA,26,3773,3799,23,4634,4657,23,4530,4553
ANDHRA PRADESH,WARANGAL,GHANAPUR,0,675,675,0,1013,1013,0,833,833
ANDHRA PRADESH,WARANGAL,GHANPUR(stn),1,5924,5925,1,7619,7620,0,5804,5805
ANDHRA PRADESH,WARANGAL,GOVINDARAOPET,12,93,105,14,156,170,14,148,162
ANDHRA PRADESH,WARANGAL,GUDUR,1,3036,3037,1,3862,3863,1,3333,3335
ANDHRA PRADESH,WARANGAL,HANAMKONDA,0,3128,3128,0,4387,4387,0,3485,3485
ANDHRA PRADESH,WARANGAL,HASANPARTHY,2,3173,3175,5,5271,5276,3,5084,5087
ANDHRA PRADESH,WARANGAL,JANGAON,1,2330,2331,1,2041,2042,1,1886,1887
ANDHRA PRADESH,WARANGAL,KESAMUDRAM,0,4442,4442,0,4709,4709,0,4127,4127
ANDHRA PRADESH,WARANGAL,KHANAPUR,0,1312,1312,0,1312,1312,0,1308,1308
ANDHRA PRADESH,WARANGAL,KODAKANDLA,0,2794,2794,0,3816,3816,0,3365,3365
ANDHRA PRADESH,WARANGAL,KOTHAGUDEM,34,216,250,57,296,353,56,283,339
ANDHRA PRADESH,WARANGAL,KURAVI,37,5161,5198,38,6314,6352,30,5179,5209
ANDHRA PRADESH,WARANGAL,LINGALA GHANPUR,0,2281,2281,0,2231,2231,0,2021,2021
ANDHRA PRADESH,WARANGAL,MADDUR,0,1749,1749,0,1325,1325,0,910,910
